Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.553,115.167,1382.004,0,0,1382.004
165.765,0.54747,114.031,1368.372,9.503,0.694,1358.869
331.529,0.54194,112.896,1354.752,18.815,1.389,1335.937
497.294,0.53641,111.76,1341.12,27.934,2.083,1313.186
663.058,0.53088,110.625,1327.5,36.862,2.777,1290.638
828.823,0.52535,109.489,1313.868,45.597,3.47,1268.271
994.588,0.51982,108.354,1300.248,54.141,4.164,1246.107
1160.352,0.51429,107.218,1286.616,62.492,4.857,1224.124
1326.117,0.50876,106.083,1272.996,70.652,5.55,1202.344
1491.881,0.50323,104.947,1259.364,78.619,6.243,1180.745
1657.646,0.4977,103.812,1245.744,86.395,6.935,1159.349
1823.411,0.49217,102.676,1232.112,93.978,7.627,1138.134
1989.175,0.48664,101.54,1218.48,101.37,8.319,1117.11
2154.94,0.48111,100.405,1204.86,108.57,9.011,1096.29
2320.704,0.47558,99.269,1191.228,115.577,9.702,1075.651
2486.469,0.47005,98.134,1177.608,122.393,10.393,1055.215
2652.234,0.46452,96.998,1163.976,129.016,11.084,1034.96
2817.998,0.45899,95.863,1150.356,135.448,11.774,1014.908
2983.763,0.45346,94.727,1136.724,141.688,12.465,995.036
3149.527,0.44793,93.592,1123.104,147.735,13.154,975.369
3315.292,0.4424,92.456,1109.472,153.591,13.844,955.881
3481.057,0.43687,91.32,1095.84,159.255,14.533,936.585
3646.821,0.43134,90.185,1082.22,164.726,15.221,917.494
3812.586,0.42581,89.049,1068.588,170.006,15.909,898.582
3978.35,0.42028,87.914,1054.968,175.094,16.597,879.874
4144.115,0.41475,86.778,1041.336,179.989,17.284,861.347
4309.88,0.40922,85.643,1027.716,184.693,17.971,843.023
4475.644,0.40369,84.507,1014.084,189.205,18.658,824.879
4641.409,0.39816,83.372,1000.464,193.525,19.344,806.939
4807.173,0.39263,82.236,986.832,197.652,20.029,789.18
4972.938,0.3871,81.101,973.212,201.588,20.714,771.624
5138.703,0.38157,79.965,959.58,205.332,21.398,754.248
5304.467,0.37604,78.829,945.948,208.884,22.082,737.064
5470.232,0.37051,77.694,932.328,212.243,22.765,720.085
5635.996,0.36498,76.558,918.696,215.411,23.447,703.285
5801.761,0.35945,75.423,905.076,218.387,24.129,686.689
5967.526,0.35392,74.287,891.444,221.171,24.81,670.273
6133.29,0.34839,73.152,877.824,223.763,25.491,654.061
6299.055,0.34286,72.016,864.192,226.163,26.17,638.029
6464.819,0.33733,70.881,850.572,228.37,26.849,622.202
6630.584,0.3318,69.745,836.94,230.386,27.527,606.554
6796.349,0.32627,68.609,823.308,232.21,28.205,591.098
6962.113,0.32074,67.474,809.688,233.842,28.881,575.846
7127.878,0.31521,66.338,796.056,235.282,29.556,560.774
7293.642,0.30968,65.203,782.436,236.53,30.23,545.906
7459.407,0.30415,64.067,768.804,237.586,30.903,531.218
7625.172,0.29862,62.932,755.184,238.45,31.575,516.734
7790.936,0.29309,61.796,741.552,239.122,32.246,502.43
7956.701,0.28756,60.661,727.932,239.602,32.915,488.33
8122.465,0.28203,59.525,714.3,239.89,33.584,474.41
8288.23,0.2765,58.39,700.68,239.986,34.25,460.694
8453.995,0.27097,57.254,687.048,239.89,34.916,447.158
8619.759,0.26544,56.118,673.416,239.602,35.58,433.814
8785.524,0.25991,54.983,659.796,239.122,36.242,420.674
8951.288,0.25438,53.847,646.164,238.45,36.902,407.714
9117.053,0.24885,52.712,632.544,237.586,37.56,394.958
9282.818,0.24332,51.576,618.912,236.53,38.217,382.382
9448.582,0.23779,50.441,605.292,235.282,38.871,370.01
9614.347,0.23226,49.305,591.66,233.842,39.523,357.818
9780.111,0.22673,48.17,578.04,232.21,40.172,345.83
9945.876,0.2212,47.034,564.408,230.386,40.819,334.022
10111.641,0.21567,45.898,550.776,228.37,41.463,322.406
10277.405,0.21014,44.763,537.156,226.163,42.104,310.993
10443.17,0.20461,43.627,523.524,223.763,42.742,299.761
10608.934,0.19908,42.492,509.904,221.171,43.375,288.733
10774.699,0.19355,41.356,496.272,218.387,44.006,277.885
10940.464,0.18802,40.221,482.652,215.411,44.631,267.241
11106.228,0.18249,39.085,469.02,212.243,45.252,256.777
11271.993,0.17696,37.95,455.4,208.884,45.868,246.516
11437.757,0.17143,36.814,441.768,205.332,46.48,236.436
11603.522,0.1659,35.679,428.148,201.588,47.084,226.56
11769.287,0.16037,34.543,414.516,197.652,47.683,216.864
11935.051,0.15484,33.407,400.884,193.525,48.275,207.359
12100.816,0.14931,32.272,387.264,189.205,48.857,198.059
12266.58,0.14378,31.136,373.632,184.693,49.432,188.939
12432.345,0.13825,30.001,360.012,179.989,49.995,180.023
12598.11,0.13272,28.865,346.38,175.094,50.55,171.286
12763.874,0.12719,27.73,332.76,170.006,51.09,162.754
12929.639,0.12166,26.594,319.128,164.726,51.618,154.402
13095.403,0.11613,25.459,305.508,159.255,52.128,146.253
13261.168,0.1106,24.323,291.876,153.591,52.622,138.285
13426.933,0.10507,23.187,278.244,147.735,53.095,130.509
13592.697,0.09954,22.052,264.624,141.688,53.543,122.936
13758.462,0.09401,20.916,250.992,135.448,53.965,115.544
13924.226,0.08848,19.781,237.372,129.016,54.352,108.356
14089.991,0.08295,18.645,223.74,122.393,54.703,101.347
14255.756,0.07742,17.51,210.12,115.577,55.005,94.543
14421.52,0.07189,16.374,196.488,108.57,55.255,87.918
14587.285,0.06636,15.239,182.868,101.37,55.433,81.498
14753.049,0.06083,14.103,169.236,93.978,55.531,75.258
14918.814,0.0553,12.968,155.616,86.395,55.518,69.221
15084.579,0.04977,11.832,141.984,78.619,55.372,63.365
15250.343,0.04424,10.696,128.352,70.652,55.045,57.7
15416.108,0.03871,9.561,114.732,62.492,54.468,52.24
15581.872,0.03318,8.425,101.1,54.141,53.552,46.959
15747.637,0.02765,7.29,87.48,45.597,52.123,41.883
15913.402,0.02212,6.154,73.848,36.862,49.916,36.986
16079.166,0.01659,5.019,60.228,27.934,46.38,32.294
16244.931,0.01106,3.883,46.596,18.815,40.379,27.781
16410.695,0.00553,2.748,32.976,9.503,28.818,23.473
16576.46,0,1.612,19.344,0,0,19.344
