Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.249,29.195,350.34,0,0,350.34
63.417,0.24651,28.91,346.92,1.637,0.472,345.283
126.834,0.24402,28.625,343.5,3.241,0.944,340.259
190.252,0.24153,28.34,340.08,4.812,1.415,335.268
253.669,0.23904,28.055,336.66,6.35,1.886,330.31
317.086,0.23655,27.77,333.24,7.855,2.357,325.385
380.503,0.23406,27.485,329.82,9.326,2.828,320.494
443.92,0.23157,27.2,326.4,10.765,3.298,315.635
507.338,0.22908,26.915,322.98,12.171,3.768,310.809
570.755,0.22659,26.63,319.56,13.543,4.238,306.017
634.172,0.2241,26.345,316.14,14.883,4.708,301.257
697.589,0.22161,26.06,312.72,16.189,5.177,296.531
761.006,0.21912,25.775,309.3,17.462,5.646,291.838
824.423,0.21663,25.49,305.88,18.702,6.114,287.178
887.841,0.21414,25.205,302.46,19.91,6.583,282.55
951.258,0.21165,24.92,299.04,21.084,7.051,277.956
1014.675,0.20916,24.635,295.62,22.225,7.518,273.395
1078.092,0.20667,24.35,292.2,23.333,7.985,268.867
1141.509,0.20418,24.065,288.78,24.407,8.452,264.373
1204.927,0.20169,23.78,285.36,25.449,8.918,259.911
1268.344,0.1992,23.495,281.94,26.458,9.384,255.482
1331.761,0.19671,23.21,278.52,27.434,9.85,251.086
1395.178,0.19422,22.925,275.1,28.376,10.315,246.724
1458.595,0.19173,22.64,271.68,29.286,10.78,242.394
1522.013,0.18924,22.355,268.26,30.162,11.244,238.098
1585.43,0.18675,22.07,264.84,31.005,11.707,233.835
1648.847,0.18426,21.785,261.42,31.816,12.17,229.604
1712.264,0.18177,21.5,258,32.593,12.633,225.407
1775.681,0.17928,21.215,254.58,33.337,13.095,221.243
1839.099,0.17679,20.93,251.16,34.048,13.556,217.112
1902.516,0.1743,20.645,247.74,34.726,14.017,213.014
1965.933,0.17181,20.36,244.32,35.371,14.477,208.949
2029.35,0.16932,20.075,240.9,35.983,14.937,204.917
2092.767,0.16683,19.79,237.48,36.561,15.395,200.919
2156.184,0.16434,19.505,234.06,37.107,15.854,196.953
2219.602,0.16185,19.22,230.64,37.62,16.311,193.02
2283.019,0.15936,18.935,227.22,38.099,16.767,189.121
2346.436,0.15687,18.65,223.8,38.546,17.223,185.254
2409.853,0.15438,18.365,220.38,38.959,17.678,181.421
2473.27,0.15189,18.08,216.96,39.34,18.132,177.62
2536.688,0.1494,17.795,213.54,39.687,18.585,173.853
2600.105,0.14691,17.51,210.12,40.001,19.037,170.119
2663.522,0.14442,17.225,206.7,40.282,19.488,166.418
2726.939,0.14193,16.94,203.28,40.53,19.938,162.75
2790.356,0.13944,16.655,199.86,40.745,20.387,159.115
2853.774,0.13695,16.37,196.44,40.927,20.834,155.513
2917.191,0.13446,16.085,193.02,41.076,21.281,151.944
2980.608,0.13197,15.8,189.6,41.192,21.726,148.408
3044.025,0.12948,15.515,186.18,41.274,22.169,144.906
3107.442,0.12699,15.23,182.76,41.324,22.611,141.436
3170.86,0.1245,14.946,179.352,41.34,23.05,138.012
3234.277,0.12201,14.661,175.932,41.324,23.489,134.608
3297.694,0.11952,14.376,172.512,41.274,23.925,131.238
3361.111,0.11703,14.091,169.092,41.192,24.361,127.9
3424.528,0.11454,13.806,165.672,41.076,24.794,124.596
3487.945,0.11205,13.521,162.252,40.927,25.224,121.325
3551.363,0.10956,13.236,158.832,40.745,25.653,118.087
3614.78,0.10707,12.951,155.412,40.53,26.079,114.882
3678.197,0.10458,12.666,151.992,40.282,26.503,111.71
3741.614,0.10209,12.381,148.572,40.001,26.924,108.571
3805.031,0.0996,12.096,145.152,39.687,27.342,105.465
3868.449,0.09711,11.811,141.732,39.34,27.757,102.392
3931.866,0.09462,11.526,138.312,38.959,28.167,99.353
3995.283,0.09213,11.241,134.892,38.546,28.575,96.346
4058.7,0.08964,10.956,131.472,38.099,28.979,93.373
4122.117,0.08715,10.671,128.052,37.62,29.379,90.432
4185.535,0.08466,10.386,124.632,37.107,29.773,87.525
4248.952,0.08217,10.101,121.212,36.561,30.163,84.651
4312.369,0.07968,9.816,117.792,35.983,30.548,81.809
4375.786,0.07719,9.531,114.372,35.371,30.926,79.001
4439.203,0.0747,9.246,110.952,34.726,31.298,76.226
4502.62,0.07221,8.961,107.532,34.048,31.663,73.484
4566.038,0.06972,8.676,104.112,33.337,32.02,70.775
4629.455,0.06723,8.391,100.692,32.593,32.369,68.099
4692.872,0.06474,8.106,97.272,31.816,32.708,65.456
4756.289,0.06225,7.821,93.852,31.005,33.036,62.847
4819.706,0.05976,7.536,90.432,30.162,33.353,60.27
4883.124,0.05727,7.251,87.012,29.286,33.657,57.726
4946.541,0.05478,6.966,83.592,28.376,33.946,55.216
5009.958,0.05229,6.681,80.172,27.434,34.219,52.738
5073.375,0.0498,6.396,76.752,26.458,34.472,50.294
5136.792,0.04731,6.111,73.332,25.449,34.704,47.883
5200.21,0.04482,5.826,69.912,24.407,34.911,45.505
5263.627,0.04233,5.541,66.492,23.333,35.091,43.159
5327.044,0.03984,5.256,63.072,22.225,35.238,40.847
5390.461,0.03735,4.971,59.652,21.084,35.345,38.568
5453.878,0.03486,4.686,56.232,19.91,35.407,36.322
5517.296,0.03237,4.401,52.812,18.702,35.412,34.11
5580.713,0.02988,4.116,49.392,17.462,35.354,31.93
5644.13,0.02739,3.831,45.972,16.189,35.215,29.783
5707.547,0.0249,3.546,42.552,14.883,34.976,27.669
5770.964,0.02241,3.261,39.132,13.543,34.609,25.589
5834.381,0.01992,2.976,35.712,12.171,34.081,23.541
5897.799,0.01743,2.691,32.292,10.765,33.336,21.527
5961.216,0.01494,2.406,28.872,9.326,32.301,19.546
6024.633,0.01245,2.121,25.452,7.855,30.862,17.597
6088.05,0.00996,1.836,22.032,6.35,28.822,15.682
6151.467,0.00747,1.551,18.612,4.812,25.854,13.8
6214.885,0.00498,1.266,15.192,3.241,21.334,11.951
6278.302,0.00249,0.981,11.772,1.637,13.906,10.135
6341.719,0,0.696,8.352,0,0,8.352
