2V Data,,,,4V Data,,,,6V Data,,,,7.2V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 7.2V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m)
292.277,1.59,2,0.032,292.334,3.45,4.001,0.057,292.36,3.74,6.001,0.075,,,,,292.299,4.58,8.001,0.087,293.099,5.13,10.001,0.098,,,,
292.626,1.59,2,0.032,292.682,3.45,4.001,0.057,292.709,3.75,6.001,0.075,,,,,292.648,4.58,8.001,0.087,293.446,5.13,10.001,0.097,,,,
292.975,1.59,2,0.032,293.06,3.45,4.001,0.057,293.057,3.75,6.001,0.075,,,,,292.997,4.58,8.001,0.087,293.807,5.13,10.001,0.097,,,,
293.325,1.59,2,0.032,293.409,3.45,4.001,0.057,293.407,3.75,6.001,0.075,,,,,293.345,4.58,8.001,0.087,294.19,5.13,10.001,0.098,,,,
293.675,1.59,2,0.032,293.757,3.45,4.001,0.058,293.784,3.75,6.001,0.075,,,,,293.695,4.59,8.001,0.086,294.548,5.13,10.001,0.098,,,,
294.049,1.59,2,0.032,294.107,3.44,4.001,0.057,294.132,3.75,6.001,0.075,,,,,294.071,4.59,8.001,0.086,294.909,5.13,10.001,0.097,,,,
294.399,1.59,2,0.032,294.456,3.44,4.001,0.057,294.483,3.76,6.001,0.075,,,,,294.421,4.59,8.001,0.087,295.264,5.13,10.001,0.098,,,,
294.748,1.59,2,0.032,294.831,3.44,4.001,0.057,294.83,3.75,6.001,0.075,,,,,294.77,4.59,8.001,0.087,295.625,5.13,10.001,0.097,,,,
295.097,1.59,2,0.032,295.18,3.44,4.001,0.057,295.18,3.76,6.001,0.075,,,,,295.119,4.59,8.001,0.086,295.973,5.13,10.001,0.098,,,,
295.473,1.59,2,0.032,295.529,3.44,4.001,0.057,295.528,3.75,6.001,0.075,,,,,295.469,4.59,8.001,0.087,296.323,5.13,10.001,0.098,,,,
295.822,1.59,2,0.032,295.877,3.43,4.001,0.057,295.906,3.76,6.001,0.075,,,,,295.844,4.59,8.001,0.087,296.672,5.13,10.001,0.097,,,,
296.17,1.59,2,0.032,296.255,3.43,4.001,0.057,296.255,3.75,6.001,0.075,,,,,296.193,4.59,8.001,0.086,297.047,5.12,10.001,0.097,,,,
296.52,1.59,2,0.032,296.604,3.43,4.001,0.057,296.604,3.75,6.001,0.075,,,,,296.543,4.59,8.001,0.087,297.397,5.12,10.001,0.094,,,,
296.868,1.59,2,0.032,296.952,3.43,4.001,0.057,296.953,3.75,6.001,0.075,,,,,296.891,4.6,8.001,0.087,297.744,5.06,10.001,0.094,,,,
297.218,1.59,2,0.032,297.302,3.42,4.001,0.057,297.302,3.75,6.001,0.075,,,,,297.242,4.59,8.001,0.087,298.095,5.05,10.001,0.094,,,,
297.594,1.59,2,0.032,297.651,3.42,4.001,0.058,297.679,3.74,6.001,0.075,,,,,297.59,4.59,8.001,0.086,298.444,5.06,10.001,0.095,,,,
297.943,1.59,2,0.032,298.026,3.43,4.001,0.057,298.026,3.74,6.001,0.075,,,,,297.967,4.59,8.001,0.087,298.819,5.06,10.001,0.094,,,,
298.292,1.59,2,0.032,298.376,3.43,4.001,0.057,298.376,3.75,6.001,0.075,,,,,298.316,4.59,8.001,0.086,299.168,5.06,10.001,0.095,,,,
298.642,1.58,2,0.031,298.724,3.43,4.001,0.057,298.724,3.74,6.001,0.075,,,,,298.666,4.59,8.001,0.086,299.518,5.07,10.001,0.095,,,,
298.991,1.58,2,0.032,299.074,3.42,4,0.057,299.076,3.75,6.001,0.075,,,,,299.014,4.59,8.001,0.087,299.867,5.07,10.001,0.094,,,,
299.339,1.58,2,0.032,299.424,3.43,4.001,0.057,299.451,3.74,6.001,0.075,,,,,299.364,4.59,8.001,0.087,300.215,5.07,10.001,0.095,,,,
299.706,1.59,2,0.032,299.773,3.43,4.001,0.057,299.8,3.74,6.001,0.075,,,,,299.711,4.59,8.001,0.086,,,,,,,,
300.064,1.58,2,0.032,300.132,3.43,4.001,0.057,300.149,3.74,6.001,0.075,,,,,300.088,4.59,8.001,0.087,,,,,,,,
300.415,1.59,2,0.032,300.487,3.42,4.001,0.057,300.499,3.74,6.001,0.075,,,,,300.437,4.59,8.001,0.087,,,,,,,,
