Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.072,4.063,48.756,0,0,48.756
19.536,0.07128,4.024,48.288,0.146,0.302,48.142
39.072,0.07056,3.986,47.832,0.289,0.604,47.543
58.609,0.06984,3.947,47.364,0.429,0.906,46.935
78.145,0.06912,3.908,46.896,0.566,1.207,46.33
97.681,0.0684,3.869,46.428,0.7,1.508,45.728
117.217,0.06768,3.831,45.972,0.831,1.808,45.141
136.753,0.06696,3.792,45.504,0.959,2.108,44.545
156.29,0.06624,3.753,45.036,1.084,2.407,43.952
175.826,0.06552,3.714,44.568,1.206,2.706,43.362
195.362,0.0648,3.676,44.112,1.326,3.006,42.786
214.898,0.06408,3.637,43.644,1.442,3.304,42.202
234.435,0.06336,3.598,43.176,1.555,3.602,41.621
253.971,0.06264,3.559,42.708,1.666,3.901,41.042
273.507,0.06192,3.521,42.252,1.773,4.196,40.479
293.043,0.0612,3.482,41.784,1.878,4.495,39.906
312.579,0.06048,3.443,41.316,1.98,4.792,39.336
332.116,0.05976,3.404,40.848,2.078,5.087,38.77
351.652,0.05904,3.366,40.392,2.174,5.382,38.218
371.188,0.05832,3.327,39.924,2.267,5.678,37.657
390.724,0.0576,3.288,39.456,2.357,5.974,37.099
410.26,0.05688,3.249,38.988,2.444,6.269,36.544
429.797,0.05616,3.211,38.532,2.528,6.561,36.004
449.333,0.05544,3.172,38.064,2.609,6.854,35.455
468.869,0.05472,3.133,37.596,2.687,7.147,34.909
488.405,0.054,3.095,37.14,2.762,7.437,34.378
507.941,0.05328,3.056,36.672,2.834,7.728,33.838
527.478,0.05256,3.017,36.204,2.903,8.018,33.301
547.014,0.05184,2.978,35.736,2.97,8.311,32.766
566.55,0.05112,2.94,35.28,3.033,8.597,32.247
586.086,0.0504,2.901,34.812,3.093,8.885,31.719
605.623,0.04968,2.862,34.344,3.151,9.175,31.193
625.159,0.04896,2.823,33.876,3.205,9.461,30.671
644.695,0.04824,2.785,33.42,3.257,9.746,30.163
664.231,0.04752,2.746,32.952,3.305,10.03,29.647
683.767,0.0468,2.707,32.484,3.351,10.316,29.133
703.304,0.04608,2.668,32.016,3.394,10.601,28.622
722.84,0.04536,2.63,31.56,3.434,10.881,28.126
742.376,0.04464,2.591,31.092,3.47,11.16,27.622
761.912,0.04392,2.552,30.624,3.504,11.442,27.12
781.448,0.0432,2.513,30.156,3.535,11.722,26.621
800.985,0.04248,2.475,29.7,3.563,11.997,26.137
820.521,0.04176,2.436,29.232,3.588,12.274,25.644
840.057,0.04104,2.397,28.764,3.61,12.55,25.154
859.593,0.04032,2.358,28.296,3.629,12.825,24.667
879.129,0.0396,2.32,27.84,3.646,13.096,24.194
898.666,0.03888,2.281,27.372,3.659,13.368,23.713
918.202,0.03816,2.242,26.904,3.669,13.637,23.235
937.738,0.03744,2.203,26.436,3.677,13.909,22.759
957.274,0.03672,2.165,25.98,3.681,14.169,22.299
976.811,0.036,2.126,25.512,3.682,14.432,21.83
996.347,0.03528,2.087,25.044,3.681,14.698,21.363
1015.883,0.03456,2.049,24.588,3.677,14.954,20.911
1035.419,0.03384,2.01,24.12,3.669,15.211,20.451
1054.955,0.03312,1.971,23.652,3.659,15.47,19.993
1074.492,0.0324,1.932,23.184,3.646,15.726,19.538
1094.028,0.03168,1.894,22.728,3.629,15.967,19.099
1113.564,0.03096,1.855,22.26,3.61,16.217,18.65
1133.1,0.03024,1.816,21.792,3.588,16.465,18.204
1152.636,0.02952,1.777,21.324,3.563,16.709,17.761
1172.173,0.0288,1.739,20.868,3.535,16.94,17.333
1191.709,0.02808,1.7,20.4,3.504,17.176,16.896
1211.245,0.02736,1.661,19.932,3.47,17.409,16.462
1230.781,0.02664,1.622,19.464,3.434,17.643,16.03
1250.317,0.02592,1.584,19.008,3.394,17.856,15.614
1269.854,0.0252,1.545,18.54,3.351,18.074,15.189
1289.39,0.02448,1.506,18.072,3.305,18.288,14.767
1308.926,0.02376,1.467,17.604,3.257,18.501,14.347
1328.462,0.02304,1.429,17.148,3.205,18.69,13.943
1347.998,0.02232,1.39,16.68,3.151,18.891,13.529
1367.535,0.0216,1.351,16.212,3.093,19.078,13.119
1387.071,0.02088,1.312,15.744,3.033,19.264,12.711
1406.607,0.02016,1.274,15.288,2.97,19.427,12.318
1426.143,0.01944,1.235,14.82,2.903,19.588,11.917
1445.68,0.01872,1.196,14.352,2.834,19.746,11.518
1465.216,0.018,1.158,13.896,2.762,19.876,11.134
1484.752,0.01728,1.119,13.428,2.687,20.01,10.741
1504.288,0.01656,1.08,12.96,2.609,20.131,10.351
1523.824,0.01584,1.041,12.492,2.528,20.237,9.964
1543.361,0.01512,1.003,12.036,2.444,20.306,9.592
1562.897,0.0144,0.964,11.568,2.357,20.375,9.211
1582.433,0.01368,0.925,11.1,2.267,20.423,8.833
1601.969,0.01296,0.886,10.632,2.174,20.448,8.458
1621.505,0.01224,0.848,10.176,2.078,20.421,8.098
1641.042,0.01152,0.809,9.708,1.98,20.396,7.728
1660.578,0.0108,0.77,9.24,1.878,20.325,7.362
1680.114,0.01008,0.731,8.772,1.773,20.212,6.999
1699.65,0.00936,0.693,8.316,1.666,20.034,6.65
1719.186,0.00864,0.654,7.848,1.555,19.814,6.293
1738.723,0.00792,0.615,7.38,1.442,19.539,5.938
1758.259,0.0072,0.576,6.912,1.326,19.184,5.586
1777.795,0.00648,0.538,6.456,1.206,18.68,5.25
1797.331,0.00576,0.499,5.988,1.084,18.103,4.904
1816.868,0.00504,0.46,5.52,0.959,17.373,4.561
1836.404,0.00432,0.421,5.052,0.831,16.449,4.221
1855.94,0.0036,0.383,4.596,0.7,15.231,3.896
1875.476,0.00288,0.344,4.128,0.566,13.711,3.562
1895.012,0.00216,0.305,3.66,0.429,11.721,3.231
1914.549,0.00144,0.266,3.192,0.289,9.054,2.903
1934.085,0.00072,0.228,2.736,0.146,5.336,2.59
1953.621,0,0.189,2.268,0,0,2.268
