Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.11,6.417,77.004,0,0,77.004
25.064,0.1089,6.361,76.332,0.286,0.375,76.046
50.128,0.1078,6.306,75.672,0.566,0.748,75.106
75.192,0.1067,6.25,75,0.84,1.12,74.16
100.256,0.1056,6.194,74.328,1.109,1.492,73.219
125.32,0.1045,6.139,73.668,1.371,1.861,72.297
150.384,0.1034,6.083,72.996,1.628,2.23,71.368
175.449,0.1023,6.027,72.324,1.88,2.599,70.444
200.513,0.1012,5.971,71.652,2.125,2.966,69.527
225.577,0.1001,5.916,70.992,2.365,3.331,68.627
250.641,0.099,5.86,70.32,2.598,3.695,67.722
275.705,0.0979,5.804,69.648,2.827,4.059,66.821
300.769,0.0968,5.749,68.988,3.049,4.42,65.939
325.833,0.0957,5.693,68.316,3.265,4.779,65.051
350.897,0.0946,5.637,67.644,3.476,5.139,64.168
375.961,0.0935,5.582,66.984,3.681,5.495,63.303
401.025,0.0924,5.526,66.312,3.88,5.851,62.432
426.089,0.0913,5.47,65.64,4.074,6.207,61.566
451.153,0.0902,5.414,64.968,4.261,6.559,60.707
476.218,0.0891,5.359,64.308,4.443,6.909,59.865
501.282,0.088,5.303,63.636,4.619,7.258,59.017
526.346,0.0869,5.247,62.964,4.79,7.608,58.174
551.41,0.0858,5.192,62.304,4.954,7.951,57.35
576.474,0.0847,5.136,61.632,5.113,8.296,56.519
601.538,0.0836,5.08,60.96,5.266,8.638,55.694
626.602,0.0825,5.025,60.3,5.413,8.977,54.887
651.666,0.0814,4.969,59.628,5.555,9.316,54.073
676.73,0.0803,4.913,58.956,5.691,9.653,53.265
701.794,0.0792,4.857,58.284,5.821,9.987,52.463
726.858,0.0781,4.802,57.624,5.945,10.317,51.679
751.922,0.077,4.746,56.952,6.063,10.646,50.889
776.986,0.0759,4.69,56.28,6.176,10.974,50.104
802.051,0.0748,4.635,55.62,6.282,11.294,49.338
827.115,0.0737,4.579,54.948,6.384,11.618,48.564
852.179,0.0726,4.523,54.276,6.479,11.937,47.797
877.243,0.0715,4.468,53.616,6.568,12.25,47.048
902.307,0.0704,4.412,52.944,6.652,12.564,46.292
927.371,0.0693,4.356,52.272,6.73,12.875,45.542
952.435,0.0682,4.3,51.6,6.802,13.182,44.798
977.499,0.0671,4.245,50.94,6.869,13.484,44.071
1002.563,0.066,4.189,50.268,6.929,13.784,43.339
1027.627,0.0649,4.133,49.596,6.984,14.082,42.612
1052.691,0.0638,4.078,48.936,7.033,14.372,41.903
1077.755,0.0627,4.022,48.264,7.076,14.661,41.188
1102.82,0.0616,3.966,47.592,7.114,14.948,40.478
1127.884,0.0605,3.911,46.932,7.146,15.226,39.786
1152.948,0.0594,3.855,46.26,7.172,15.504,39.088
1178.012,0.0583,3.799,45.588,7.192,15.776,38.396
1203.076,0.0572,3.743,44.916,7.206,16.043,37.71
1228.14,0.0561,3.688,44.256,7.215,16.303,37.041
1253.204,0.055,3.632,43.584,7.218,16.561,36.366
1278.268,0.0539,3.576,42.912,7.215,16.813,35.697
1303.332,0.0528,3.521,42.252,7.206,17.055,35.046
1328.396,0.0517,3.465,41.58,7.192,17.297,34.388
1353.46,0.0506,3.409,40.908,7.172,17.532,33.736
1378.524,0.0495,3.354,40.248,7.146,17.755,33.102
1403.588,0.0484,3.298,39.576,7.114,17.976,32.462
1428.653,0.0473,3.242,38.904,7.076,18.188,31.828
1453.717,0.0462,3.186,38.232,7.033,18.396,31.199
1478.781,0.0451,3.131,37.572,6.984,18.588,30.588
1503.845,0.044,3.075,36.9,6.929,18.778,29.971
1528.909,0.0429,3.019,36.228,6.869,18.96,29.359
