2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,,,,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m),,,,,
288.651,1.51,2,0.03,288.729,2.97,4.001,0.054,288.775,3.63,6.001,0.078,289.162,4.19,8.002,0.083,289.557,5.26,10.001,0.093,288.953,5.17,12,0.089,,,,,
289.028,1.51,2,0.03,289.105,2.97,4.001,0.054,289.123,3.63,6.001,0.078,289.512,4.19,8.002,0.083,289.907,5.26,10.001,0.092,289.315,5.17,12,0.089,,,,,
289.376,1.51,2,0.03,289.454,2.97,4.001,0.054,289.473,3.63,6.001,0.078,289.861,4.19,8.002,0.083,290.257,5.26,10.001,0.092,289.663,5.17,12,0.089,,,,,
289.725,1.51,2,0.03,289.804,2.97,4.001,0.055,289.821,3.63,6.001,0.078,290.22,4.19,8.002,0.083,290.606,5.26,10.001,0.093,290.04,5.17,12,0.089,,,,,
290.073,1.51,2,0.03,290.152,2.97,4.001,0.055,290.171,3.63,6.001,0.078,290.602,4.19,8.002,0.083,290.954,5.26,10.001,0.092,290.389,5.17,12,0.09,,,,,
290.423,1.51,2,0.03,290.503,2.97,4.001,0.054,290.52,3.63,6.001,0.078,290.963,4.19,8.002,0.083,291.33,5.26,10.001,0.092,290.738,5.17,12,0.089,,,,,
290.799,1.51,2,0.03,290.851,2.97,4.001,0.055,290.896,3.63,6.001,0.078,291.338,4.19,8.002,0.083,291.679,5.25,10.001,0.093,291.088,5.17,12,0.089,,,,,
291.148,1.51,2,0.03,291.228,2.97,4.001,0.054,291.246,3.63,6.001,0.078,291.687,4.19,8.002,0.083,292.028,5.25,10.001,0.092,291.437,5.17,12,0.089,,,,,
291.496,1.51,2,0.03,291.577,2.97,4.001,0.054,291.594,3.62,6.001,0.078,292.036,4.19,8.002,0.083,292.377,5.26,10.001,0.093,291.797,5.17,12,0.089,,,,,
291.846,1.51,2,0.03,291.925,2.97,4.001,0.054,291.944,3.63,6.001,0.078,292.386,4.19,8.002,0.083,292.727,5.26,10.001,0.093,292.151,5.17,12,0.089,,,,,
292.195,1.51,2,0.03,292.275,2.97,4.001,0.054,292.292,3.63,6.001,0.078,292.735,4.19,8.002,0.083,293.102,5.25,10.001,0.092,292.511,5.17,12,0.089,,,,,
292.571,1.51,2,0.031,292.624,2.97,4.001,0.054,292.668,3.62,6.001,0.078,293.084,4.19,8.001,0.083,293.452,5.25,10.001,0.092,292.859,5.17,12,0.089,,,,,
292.92,1.51,2,0.03,292.973,2.96,4.001,0.054,293.017,3.62,6.001,0.078,293.461,4.19,8.002,0.083,293.802,5.25,10.001,0.092,293.209,5.17,12,0.089,,,,,
293.269,1.51,2,0.03,293.348,2.96,4,0.055,293.367,3.62,6.001,0.078,293.808,4.19,8.002,0.083,294.15,5.25,10.001,0.092,293.558,5.17,12,0.089,,,,,
293.618,1.51,2,0.03,293.698,2.97,4.001,0.054,293.715,3.62,6.001,0.078,294.159,4.19,8.002,0.083,294.5,5.25,10.001,0.092,293.933,5.17,12,0.089,,,,,
293.967,1.51,2,0.03,294.046,2.96,4.001,0.055,294.065,3.62,6.001,0.078,294.506,4.19,8.002,0.083,294.876,5.25,10.001,0.092,294.283,5.17,12,0.089,,,,,
294.316,1.51,2,0.03,294.396,2.97,4.001,0.055,294.414,3.62,6.001,0.078,294.882,4.19,8.002,0.083,295.225,5.25,10.001,0.092,294.632,5.17,12,0.089,,,,,
294.694,1.51,2,0.03,294.745,2.96,4.001,0.054,294.79,3.62,6.001,0.078,295.231,4.18,8.002,0.083,295.575,5.25,10.001,0.092,294.981,5.17,12,0.088,,,,,
295.043,1.51,2,0.03,295.12,2.97,4.001,0.054,295.138,3.62,6.001,0.078,295.581,4.19,8.001,0.083,295.922,5.25,10.001,0.092,295.329,5.17,12,0.089,,,,,
295.392,1.51,2,0.03,295.469,2.96,4.001,0.054,295.49,3.62,6.001,0.078,295.929,4.18,8.002,0.083,296.272,5.25,10.001,0.092,295.69,5.16,12,0.088,,,,,
295.741,1.51,2,0.03,295.818,2.96,4,0.054,295.836,3.62,6.001,0.078,296.279,4.19,8.002,0.083,296.621,5.25,10.001,0.092,296.044,5.16,12,0.089,,,,,
296.092,1.51,2,0.031,296.168,2.96,4.001,0.054,296.214,3.62,6.001,0.078,296.628,4.19,8.002,0.082,296.997,5.24,10.001,0.092,296.404,5.17,12,0.089,,,,,
296.466,1.51,2,0.031,296.543,2.97,4.001,0.054,296.562,3.62,6.001,0.078,297.005,4.19,8.002,0.083,297.347,5.24,10.001,0.092,296.754,5.16,12,0.089,,,,,
296.817,1.51,2,0.03,296.892,2.97,4.001,0.055,296.913,3.62,6.001,0.078,297.353,4.19,8.002,0.083,297.696,5.24,10.001,0.092,297.104,5.16,12,0.089,,,,,
297.165,1.51,2,0.031,297.242,2.97,4.001,0.054,297.261,3.62,6.001,0.078,297.702,4.18,8.002,0.083,298.045,5.24,10.001,0.092,297.48,5.16,12,0.088,,,,,
297.515,1.51,2,0.03,297.591,2.96,4.001,0.054,297.611,3.62,6.001,0.078,298.052,4.19,8.002,0.083,298.394,5.24,10.001,0.092,297.828,5.16,12,0.088,,,,,
297.864,1.51,2,0.031,297.94,2.96,4.001,0.054,297.961,3.62,6.001,0.078,298.4,4.19,8.002,0.083,298.754,5.24,10.001,0.092,298.179,5.16,12,0.088,,,,,
298.238,1.51,2,0.03,298.289,2.96,4.001,0.054,298.337,3.61,6.001,0.077,298.749,4.19,8.002,0.083,299.108,5.24,10.001,0.092,298.527,5.16,12,0.089,,,,,
298.588,1.51,2,0.03,298.666,2.96,4.001,0.054,298.685,3.62,6.001,0.078,299.127,4.18,8.002,0.083,299.469,5.24,10.001,0.092,298.877,5.16,12,0.088,,,,,
298.937,1.51,2,0.03,299.014,2.96,4.001,0.054,299.035,3.62,6.001,0.078,299.476,4.19,8.002,0.083,299.816,5.24,10.001,0.092,299.224,5.16,12,0.089,,,,,
299.288,1.51,2,0.03,299.365,2.97,4.001,0.054,299.384,3.62,6.001,0.077,299.826,4.18,8.002,0.083,300.167,5.23,10.001,0.092,299.602,5.16,12,0.088,,,,,
299.635,1.51,2,0.03,299.713,2.97,4.001,0.054,299.733,3.61,6.001,0.077,300.174,4.18,8.002,0.083,,,,,299.95,5.16,12,0.088,,,,,
300.01,1.51,2,0.03,300.063,2.97,4,0.055,300.082,3.61,6.001,0.078,,,,,,,,,300.3,5.16,12,0.088,,,,,
300.359,1.51,2,0.03,300.438,2.96,4.001,0.054,300.458,3.61,6.001,0.078,,,,,,,,,,,,,,,,,
