Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.521,102.108,1225.296,0,0,1225.296
154.219,0.51579,101.087,1213.044,8.33,0.687,1204.714
308.439,0.51058,100.066,1200.792,16.492,1.373,1184.3
462.658,0.50537,99.045,1188.54,24.485,2.06,1164.055
616.878,0.50016,98.024,1176.288,32.31,2.747,1143.978
771.097,0.49495,97.003,1164.036,39.967,3.433,1124.069
925.317,0.48974,95.982,1151.784,47.455,4.12,1104.329
1079.536,0.48453,94.96,1139.52,54.776,4.807,1084.744
1233.755,0.47932,93.939,1127.268,61.927,5.494,1065.341
1387.975,0.47411,92.918,1115.016,68.911,6.18,1046.105
1542.194,0.4689,91.897,1102.764,75.726,6.867,1027.038
1696.414,0.46369,90.876,1090.512,82.374,7.554,1008.138
1850.633,0.45848,89.855,1078.26,88.852,8.24,989.408
2004.852,0.45327,88.834,1066.008,95.163,8.927,970.845
2159.072,0.44806,87.813,1053.756,101.305,9.614,952.451
2313.291,0.44285,86.792,1041.504,107.279,10.3,934.225
2467.511,0.43764,85.771,1029.252,113.085,10.987,916.167
2621.73,0.43243,84.75,1017,118.722,11.674,898.278
2775.95,0.42722,83.729,1004.748,124.191,12.36,880.557
2930.169,0.42201,82.707,992.484,129.492,13.047,862.992
3084.388,0.4168,81.686,980.232,134.625,13.734,845.607
3238.608,0.41159,80.665,967.98,139.589,14.421,828.391
3392.827,0.40638,79.644,955.728,144.385,15.107,811.343
3547.047,0.40117,78.623,943.476,149.013,15.794,794.463
3701.266,0.39596,77.602,931.224,153.472,16.481,777.752
3855.486,0.39075,76.581,918.972,157.764,17.167,761.208
4009.705,0.38554,75.56,906.72,161.886,17.854,744.834
4163.924,0.38033,74.539,894.468,165.841,18.541,728.627
4318.144,0.37512,73.518,882.216,169.627,19.227,712.589
4472.363,0.36991,72.497,869.964,173.245,19.914,696.719
4626.583,0.3647,71.476,857.712,176.695,20.601,681.017
4780.802,0.35949,70.455,845.46,179.977,21.287,665.483
4935.021,0.35428,69.433,833.196,183.09,21.974,650.106
5089.241,0.34907,68.412,820.944,186.035,22.661,634.909
5243.46,0.34386,67.391,808.692,188.811,23.348,619.881
5397.68,0.33865,66.37,796.44,191.42,24.034,605.02
5551.899,0.33344,65.349,784.188,193.86,24.721,590.328
5706.119,0.32823,64.328,771.936,196.132,25.408,575.804
5860.338,0.32302,63.307,759.684,198.235,26.094,561.449
6014.557,0.31781,62.286,747.432,200.17,26.781,547.262
6168.777,0.3126,61.265,735.18,201.937,27.468,533.243
6322.996,0.30739,60.244,722.928,203.536,28.154,519.392
6477.216,0.30218,59.223,710.676,204.966,28.841,505.71
6631.435,0.29697,58.202,698.424,206.229,29.528,492.195
6785.654,0.29176,57.18,686.16,207.322,30.215,478.838
6939.874,0.28655,56.159,673.908,208.248,30.902,465.66
7094.093,0.28134,55.138,661.656,209.005,31.588,452.651
7248.313,0.27613,54.117,649.404,209.594,32.275,439.81
7402.532,0.27092,53.096,637.152,210.015,32.962,427.137
7556.752,0.26571,52.075,624.9,210.267,33.648,414.633
7710.971,0.2605,51.054,612.648,210.351,34.335,402.297
7865.19,0.25529,50.033,600.396,210.267,35.021,390.129
8019.41,0.25008,49.012,588.144,210.015,35.708,378.129
8173.629,0.24487,47.991,575.892,209.594,36.395,366.298
8327.849,0.23966,46.97,563.64,209.005,37.081,354.635
8482.068,0.23445,45.949,551.388,208.248,37.768,343.14
8636.288,0.22924,44.928,539.136,207.322,38.454,331.814
8790.507,0.22403,43.906,526.872,206.229,39.142,320.643
8944.726,0.21882,42.885,514.62,204.966,39.829,309.654
9098.946,0.21361,41.864,502.368,203.536,40.515,298.832
9253.165,0.2084,40.843,490.116,201.937,41.202,288.179
9407.385,0.20319,39.822,477.864,200.17,41.888,277.694
9561.604,0.19798,38.801,465.612,198.235,42.575,267.377
9715.823,0.19277,37.78,453.36,196.132,43.262,257.228
9870.043,0.18756,36.759,441.108,193.86,43.948,247.248
10024.262,0.18235,35.738,428.856,191.42,44.635,237.436
10178.482,0.17714,34.717,416.604,188.811,45.321,227.793
10332.701,0.17193,33.696,404.352,186.035,46.008,218.317
10486.921,0.16672,32.675,392.1,183.09,46.695,209.01
10641.14,0.16151,31.653,379.836,179.977,47.383,199.859
10795.359,0.1563,30.632,367.584,176.695,48.069,190.889
10949.579,0.15109,29.611,355.332,173.245,48.756,182.087
11103.798,0.14588,28.59,343.08,169.627,49.442,173.453
11258.018,0.14067,27.569,330.828,165.841,50.129,164.987
11412.237,0.13546,26.548,318.576,161.886,50.816,156.69
11566.457,0.13025,25.527,306.324,157.764,51.502,148.56
11720.676,0.12504,24.506,294.072,153.472,52.189,140.6
11874.895,0.11983,23.485,281.82,149.013,52.875,132.807
12029.115,0.11462,22.464,269.568,144.385,53.562,125.183
12183.334,0.10941,21.443,257.316,139.589,54.248,117.727
