Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.335,54.696,656.352,0,0,656.352
127.081,0.33165,54.161,649.932,4.414,0.679,645.518
254.162,0.3283,53.626,643.512,8.738,1.358,634.774
381.243,0.32495,53.091,637.092,12.973,2.036,624.119
508.324,0.3216,52.556,630.672,17.119,2.714,613.553
635.405,0.31825,52.021,624.252,21.176,3.392,603.076
762.486,0.3149,51.486,617.832,25.144,4.07,592.688
889.567,0.31155,50.951,611.412,29.023,4.747,582.389
1016.648,0.3082,50.417,605.004,32.812,5.423,572.192
1143.729,0.30485,49.882,598.584,36.512,6.1,562.072
1270.811,0.3015,49.347,592.164,40.123,6.776,552.041
1397.892,0.29815,48.812,585.744,43.645,7.451,542.099
1524.973,0.2948,48.277,579.324,47.078,8.126,532.246
1652.054,0.29145,47.742,572.904,50.422,8.801,522.482
1779.135,0.2881,47.207,566.484,53.676,9.475,512.808
1906.216,0.28475,46.672,560.064,56.841,10.149,503.223
2033.297,0.2814,46.137,553.644,59.917,10.822,493.727
2160.378,0.27805,45.602,547.224,62.904,11.495,484.32
2287.459,0.2747,45.067,540.804,65.802,12.167,475.002
2414.54,0.27135,44.532,534.384,68.611,12.839,465.773
2541.621,0.268,43.997,527.964,71.33,13.51,456.634
2668.702,0.26465,43.462,521.544,73.961,14.181,447.583
2795.783,0.2613,42.928,515.136,76.502,14.851,438.634
2922.864,0.25795,42.393,508.716,78.954,15.52,429.762
3049.945,0.2546,41.858,502.296,81.317,16.189,420.979
3177.026,0.25125,41.323,495.876,83.59,16.857,412.286
3304.107,0.2479,40.788,489.456,85.775,17.525,403.681
3431.188,0.24455,40.253,483.036,87.87,18.191,395.166
3558.269,0.2412,39.718,476.616,89.876,18.857,386.74
3685.35,0.23785,39.183,470.196,91.793,19.522,378.403
3812.432,0.2345,38.648,463.776,93.621,20.187,370.155
3939.513,0.23115,38.113,457.356,95.36,20.85,361.996
4066.594,0.2278,37.578,450.936,97.009,21.513,353.927
4193.675,0.22445,37.043,444.516,98.57,22.175,345.946
4320.756,0.2211,36.508,438.096,100.041,22.835,338.055
4447.837,0.21775,35.973,431.676,101.423,23.495,330.253
4574.918,0.2144,35.439,425.268,102.716,24.153,322.552
4701.999,0.21105,34.904,418.848,103.919,24.811,314.929
4829.08,0.2077,34.369,412.428,105.034,25.467,307.394
4956.161,0.20435,33.834,406.008,106.059,26.122,299.949
5083.242,0.201,33.299,399.588,106.995,26.776,292.593
5210.323,0.19765,32.764,393.168,107.843,27.429,285.325
5337.404,0.1943,32.229,386.748,108.6,28.08,278.148
5464.485,0.19095,31.694,380.328,109.269,28.73,271.059
5591.566,0.1876,31.159,373.908,109.849,29.379,264.059
5718.647,0.18425,30.624,367.488,110.339,30.025,257.149
5845.728,0.1809,30.089,361.068,110.74,30.67,250.328
