Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.111,6.053,72.636,0,0,72.636
38.813,0.10989,5.995,71.94,0.447,0.621,71.493
77.626,0.10878,5.936,71.232,0.884,1.241,70.348
116.439,0.10767,5.878,70.536,1.313,1.861,69.223
155.252,0.10656,5.82,69.84,1.732,2.48,68.108
194.065,0.10545,5.762,69.144,2.143,3.099,67.001
232.877,0.10434,5.703,68.436,2.545,3.719,65.891
271.69,0.10323,5.645,67.74,2.937,4.336,64.803
310.503,0.10212,5.587,67.044,3.321,4.953,63.723
349.316,0.10101,5.529,66.348,3.695,5.569,62.653
388.129,0.0999,5.47,65.64,4.06,6.185,61.58
426.942,0.09879,5.412,64.944,4.417,6.801,60.527
465.755,0.09768,5.354,64.248,4.764,7.415,59.484
504.568,0.09657,5.295,63.54,5.103,8.031,58.437
543.381,0.09546,5.237,62.844,5.432,8.644,57.412
582.194,0.09435,5.179,62.148,5.752,9.255,56.396
621.006,0.09324,5.121,61.452,6.064,9.868,55.388
659.819,0.09213,5.062,60.744,6.366,10.48,54.378
698.632,0.09102,5.004,60.048,6.659,11.089,53.389
737.445,0.08991,4.946,59.352,6.943,11.698,52.409
776.258,0.0888,4.888,58.656,7.219,12.307,51.437
815.071,0.08769,4.829,57.948,7.485,12.917,50.463
853.884,0.08658,4.771,57.252,7.742,13.523,49.51
892.697,0.08547,4.713,56.556,7.99,14.128,48.566
931.51,0.08436,4.655,55.86,8.229,14.731,47.631
970.323,0.08325,4.596,55.152,8.459,15.338,46.693
1009.135,0.08214,4.538,54.456,8.68,15.939,45.776
1047.948,0.08103,4.48,53.76,8.892,16.54,44.868
1086.761,0.07992,4.421,53.052,9.095,17.144,43.957
1125.574,0.07881,4.363,52.356,9.289,17.742,43.067
1164.387,0.0777,4.305,51.66,9.474,18.339,42.186
1203.2,0.07659,4.247,50.964,9.65,18.935,41.314
1242.013,0.07548,4.188,50.256,9.817,19.534,40.439
1280.826,0.07437,4.13,49.56,9.975,20.127,39.585
1319.639,0.07326,4.072,48.864,10.124,20.719,38.74
1358.452,0.07215,4.014,48.168,10.264,21.309,37.904
1397.264,0.07104,3.955,47.46,10.395,21.903,37.065
1436.077,0.06993,3.897,46.764,10.516,22.487,36.248
1474.89,0.06882,3.839,46.068,10.629,23.072,35.439
1513.703,0.06771,3.78,45.36,10.733,23.662,34.627
1552.516,0.0666,3.722,44.664,10.828,24.243,33.836
1591.329,0.06549,3.664,43.968,10.913,24.82,33.055
1630.142,0.06438,3.606,43.272,10.99,25.397,32.282
1668.955,0.06327,3.547,42.564,11.058,25.98,31.506
1707.768,0.06216,3.489,41.868,11.117,26.552,30.751
1746.581,0.06105,3.431,41.172,11.166,27.12,30.006
1785.393,0.05994,3.373,40.476,11.207,27.688,29.269
1824.206,0.05883,3.314,39.768,11.238,28.259,28.53
1863.019,0.05772,3.256,39.072,11.261,28.821,27.811
1901.832,0.05661,3.198,38.376,11.274,29.378,27.102
1940.645,0.0555,3.14,37.68,11.279,29.934,26.401
1979.458,0.05439,3.081,36.972,11.274,30.493,25.698
2018.271,0.05328,3.023,36.276,11.261,31.043,25.015
2057.084,0.05217,2.965,35.58,11.238,31.585,24.342
2095.897,0.05106,2.906,34.872,11.207,32.138,23.665
2134.71,0.04995,2.848,34.176,11.166,32.672,23.01
2173.522,0.04884,2.79,33.48,11.117,33.205,22.363
2212.335,0.04773,2.732,32.784,11.058,33.73,21.726
