10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
16.122,10.01,97.374,16.261,19.99,208.278,16.315,30,299.121,16.249,40.02,375.965,16.298,50.02,428.41,16.178,60.03,458.901
16.473,10.02,94.647,16.625,19.99,202.423,16.718,30.01,298.234,16.623,40.04,375.106,16.663,50,430.051,16.584,60.05,454.472
16.875,10.02,103.569,16.985,19.98,204.171,17.121,30.01,298.997,16.989,40,375.714,17.066,50,433.228,16.948,60,455.685
17.279,9.99,97.465,17.344,19.98,208.237,17.485,30,300.955,17.351,40.01,375.273,17.431,49.99,428.228,17.308,60,459.108
17.667,9.99,99.762,17.708,20,204.251,17.845,29.98,297.987,17.708,40.01,374.08,17.792,49.99,432.689,17.684,60,453.658
18.047,9.98,104.63,18.113,20.01,208.931,18.249,30.02,296.09,18.074,40.01,370.7,18.193,49.99,432.377,18.048,60.08,454.353
18.407,9.98,106.948,18.477,20.03,201.735,18.652,30,292.937,18.46,40.01,375.023,18.598,50.06,429.682,18.408,60.07,454.745
18.812,10.01,106.269,18.837,19.98,206.815,19.018,29.99,300.45,18.827,40.02,377.043,18.962,50.11,429.475,18.785,60.01,454.11
19.176,10.01,97.971,19.241,19.97,205.025,19.377,30,298.616,19.191,39.97,377.294,19.322,50.04,431.318,19.152,60.01,455.343
19.535,10.01,104.09,19.645,20.02,207.057,19.782,30.01,294.147,19.552,40.02,374.523,19.728,49.99,428.709,19.509,60.04,456.788
19.895,9.98,101.273,20.009,19.98,204.781,20.184,30,298.492,19.929,39.97,370.37,20.129,50.03,433.074,19.886,60.01,455.247
20.259,10.02,107.427,20.37,20.03,205.188,20.572,30,297.802,20.293,40.05,369.735,20.493,50.02,430.26,20.251,60,451.483
20.664,9.98,99.743,20.746,20.02,208.278,20.953,30,299.821,20.653,40,376.405,20.852,49.99,429.826,20.61,60.05,451.39
21.03,10,95.207,21.112,20,208.072,21.312,30,298.749,21.029,40.05,374.606,21.257,50,428.751,20.987,60.05,454.151
21.39,10.01,98.007,21.471,19.99,209.947,21.699,30,297.236,21.431,39.98,375.076,21.66,50,426.912,21.39,60.04,452.078
21.792,10.02,101.424,21.847,20,203.601,22.065,30.01,298.245,21.798,39.99,376.405,22.026,50,428.874,21.755,60.06,448.473
22.18,10,105.887,22.213,19.97,205.147,22.468,30.01,294.773,22.158,39.95,373.028,22.386,50.02,432.897,22.116,60.04,453.031
22.543,10.01,105.749,22.572,19.99,202.711,22.835,30,291.503,22.56,40.02,374.743,22.76,50.06,428.582,22.519,59.99,450.449
22.895,10,96.96,22.947,20.02,209.615,23.193,29.98,297.297,22.963,40.01,373.166,23.164,50.05,430.089,22.922,59.96,448.529
23.298,10,100.285,23.336,19.99,205.96,23.569,29.97,298.811,23.329,40.04,375.129,23.529,50.01,431.388,23.287,59.99,452.057
23.664,10,105.887,23.716,19.99,209.004,23.936,30,295.722,23.688,40.02,375.516,23.89,49.99,431.18,23.647,60.04,450.672
24.024,10,106.428,24.077,20,205.391,24.295,30,299.192,24.094,40.04,370.041,24.291,50,425.346,24.049,60.06,449.919
24.427,10,103.608,24.479,20.01,205.96,24.698,29.99,299.13,24.495,39.99,376.069,24.695,49.99,431.732,24.436,60.06,449.022
24.829,10,97.447,24.881,20.01,206.286,25.101,30,299.192,24.86,39.99,369.488,25.06,50.01,426.005,24.819,60.05,450.574
25.195,10,95.695,25.248,20,204.781,25.489,30,296.669,25.22,39.99,372.447,25.42,50.01,428.929,25.179,59.98,446.84
25.553,9.98,105.868,25.607,19.99,206.368,25.855,30.01,293.077,25.623,39.99,372.999,25.798,50.02,426.56,25.58,60.01,445.436
25.93,10.02,99.109,26.011,19.98,206.327,26.229,30.01,301.273,26.009,40.01,375.014,26.172,50.03,428.737,25.986,59.94,445.849
26.296,9.99,100.172,26.414,20.01,207.914,26.631,30,299.068,26.377,40.02,375.315,26.576,50.03,428.201,26.372,60,448.971
26.655,9.99,100.266,26.78,19.96,207.344,27.036,30.02,299.821,26.742,40.01,375.651,26.981,50.02,427.01,26.754,60.05,451.314
27.058,10,97.447,27.14,19.99,202.67,27.401,29.99,299.572,27.1,40.01,372.833,27.345,50.02,432.086,27.113,60.07,444.765
27.462,10,101.443,27.524,20.01,205.676,27.76,30.02,299.13,27.476,40.02,374.795,27.705,50.01,428.098,27.5,60.05,446.189
27.827,9.99,102.526,27.891,19.99,206.205,28.164,30,298.245,27.883,40.04,374.879,28.108,50.02,425.095,27.866,60.04,448.142
28.188,10,100.229,28.294,20,202.223,28.55,30.01,298.563,28.246,39.99,368.525,28.511,50.02,425.733,28.271,60,448.142
