Time,Current (A),Power Output (W),Max Power,,,,,,,,,,,,,,,,,,,,,,,,,
148.191,4.37,23.048,,,,,,,,,,,,,,,,,,,,,,,,,,
148.54,4.37,23.072,,,,,,,,,,,,,,,,,,,,,,,,,,
148.889,4.36,23.392,,,,,,,,,,,,,,,,,,,,,,,,,,
149.266,4.37,23.096,,,,,,,,,,,,,,,,,,,,,,,,,,
149.613,4.36,23.064,,,,,,,,,,,,,,,,,,,,,,,,,,
149.965,4.37,23.392,,,,,,,,,,,,,,,,,,,,,,,,,,
150.351,4.37,23.352,,,,,,,,,,,,,,,,,,,,,,,,,,
150.715,4.37,23.04,,,,,,,,,,,,,,,,,,,,,,,,,,
151.065,4.37,23.088,,,,,,,,,,,,,,,,,,,,,,,,,,
151.414,4.36,22.761,,,,,,,,,,,,,,,,,,,,,,,,,,
151.791,4.36,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
152.139,4.36,23.088,,,,,,,,,,,,,,,,,,,,,,,,,,
152.49,4.36,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,
152.84,4.36,23.072,,,,,,,,,,,,,,,,,,,,,,,,,,
153.188,4.36,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
153.537,4.36,23.376,,,,,,,,,,,,,,,,,,,,,,,,,,
153.915,4.36,23.072,,,,,,,,,,,,,,,,,,,,,,,,,,
154.261,4.36,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
154.613,4.36,23.072,,,,,,,,,,,,,,,,,,,,,,,,,,
155.015,4.36,23.392,,,,,,,,,,,,,,,,,,,,,,,,,,
155.365,4.36,22.784,,,,,,,,,,,,,,,,,,,,,,,,,,
155.714,4.36,23.064,,,,,,,,,,,,,,,,,,,,,,,,,,
156.062,4.35,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,
156.412,4.36,23.408,,,,,,,,,,,,,,,,,,,,,,,,,,
156.761,4.36,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
157.137,4.35,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
157.484,4.35,23.112,,,,,,,,,,,,,,,,,,,,,,,,,,
157.835,4.35,23.048,,,,,,,,,,,,,,,,,,,,,,,,,,
158.184,4.34,23.088,,,,,,,,,,,,,,,,,,,,,,,,,,
158.532,4.35,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
158.884,4.35,22.769,,,,,,,,,,,,,,,,,,,,,,,,,,
159.259,4.35,23.104,,,,,,,,,,,,,,,,,,,,,,,,,,
159.608,4.35,22.761,,,,,,,,,,,,,,,,,,,,,,,,,,
159.958,4.34,23.088,,,,,,,,,,,,,,,,,,,,,,,,,,
160.306,4.34,23.048,,,,,,,,,,,,,,,,,,,,,,,,,,
160.656,4.34,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,
161.032,4.34,22.761,,,,,,,,,,,,,,,,,,,,,,,,,,
161.399,4.34,22.792,,,,,,,,,,,,,,,,,,,,,,,,,,
161.757,4.34,22.745,,,,,,,,,,,,,,,,,,,,,,,,,,
162.131,4.33,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,
162.481,4.33,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
162.83,4.33,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
163.18,4.33,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,
163.53,4.33,23.072,,,,,,,,,,,,,,,,,,,,,,,,,,
163.889,4.33,22.769,,,,,,,,,,,,,,,,,,,,,,,,,,
164.272,4.32,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
164.631,4.32,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
164.99,4.32,22.761,,,,,,,,,,,,,,,,,,,,,,,,,,
165.346,4.32,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
165.705,4.32,22.792,,,,,,,,,,,,,,,,,,,,,,,,,,
166.055,4.32,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
166.457,4.33,22.769,,,,,,,,,,,,,,,,,,,,,,,,,,
166.806,4.32,23.104,,,,,,,,,,,,,,,,,,,,,,,,,,
167.155,4.32,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
167.504,4.31,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,
167.881,4.32,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
168.231,4.32,22.473,,,,,,,,,,,,,,,,,,,,,,,,,,
168.632,4.32,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,
168.998,4.32,23.064,,,,,,,,,,,,,,,,,,,,,,,,,,
169.36,4.31,22.792,,,,,,,,,,,,,,,,,,,,,,,,,,
169.763,4.32,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
170.112,4.32,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
170.514,4.31,22.761,,,,,,,,,,,,,,,,,,,,,,,,,,
170.864,4.31,22.45,,,,,,,,,,,,,,,,,,,,,,,,,,
171.213,4.3,22.784,,,,,,,,,,,,,,,,,,,,,,,,,,
171.563,4.31,22.442,,,,,,,,,,,,,,,,,,,,,,,,,,
171.91,4.31,22.808,,,,,,,,,,,,,,,,,,,,,,,,,,
172.261,4.3,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
172.637,4.3,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
173.004,4.3,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,
173.362,4.31,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
173.737,4.31,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
174.086,4.3,23.088,,,,,,,,,,,,,,,,,,,,,,,,,,
174.436,4.3,23.104,,,,,,,,,,,,,,,,,,,,,,,,,,
174.786,4.3,22.792,,,,,,,,,,,,,,,,,,,,,,,,,,
175.19,4.3,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
175.592,4.31,22.792,,,,,,,,,,,,,,,,,,,,,,,,,,
175.94,4.3,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,
176.289,4.31,22.784,,,,,,,,,,,,,,,,,,,,,,,,,,
176.639,4.31,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
176.988,4.31,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
177.337,4.3,22.465,,,,,,,,,,,,,,,,,,,,,,,,,,
177.685,4.3,22.777,,,,,,,,,,,,,,,,,,,,,,,,,,
178.063,4.3,22.769,,,,,,,,,,,,,,,,,,,,,,,,,,
178.412,4.3,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
178.761,4.3,22.488,,,,,,,,,,,,,,,,,,,,,,,,,,
179.11,4.29,22.737,,,,,,,,,,,,,,,,,,,,,,,,,,
179.514,4.3,22.457,,,,,,,,,,,,,,,,,,,,,,,,,,
179.863,4.29,22.488,,,,,,,,,,,,,,,,,,,,,,,,,,
180.211,4.29,22.769,,,,,,,,,,,,,,,,,,,,,,,,,,
