Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,1.749,9.381,112.572,0,0,112.572
2.165,1.73151,9.294,111.528,0.393,0.352,111.135
4.331,1.71402,9.207,110.484,0.777,0.703,109.707
6.496,1.69653,9.12,109.44,1.154,1.054,108.286
8.662,1.67904,9.033,108.396,1.523,1.405,106.873
10.827,1.66155,8.947,107.364,1.884,1.755,105.48
12.992,1.64406,8.86,106.32,2.237,2.104,104.083
15.158,1.62657,8.773,105.276,2.582,2.453,102.694
17.323,1.60908,8.686,104.232,2.919,2.8,101.313
19.489,1.59159,8.599,103.188,3.248,3.148,99.94
21.654,1.5741,8.512,102.144,3.569,3.494,98.575
23.819,1.55661,8.425,101.1,3.883,3.841,97.217
25.985,1.53912,8.338,100.056,4.188,4.186,95.868
28.15,1.52163,8.251,99.012,4.486,4.531,94.526
30.316,1.50414,8.164,97.968,4.775,4.874,93.193
32.481,1.48665,8.078,96.936,5.057,5.217,91.879
34.646,1.46916,7.991,95.892,5.33,5.558,90.562
36.812,1.45167,7.904,94.848,5.596,5.9,89.252
38.977,1.43418,7.817,93.804,5.854,6.241,87.95
41.143,1.41669,7.73,92.76,6.104,6.58,86.656
43.308,1.3992,7.643,91.716,6.346,6.919,85.37
45.473,1.38171,7.556,90.672,6.58,7.257,84.092
47.639,1.36422,7.469,89.628,6.806,7.594,82.822
49.804,1.34673,7.382,88.584,7.024,7.929,81.56
51.97,1.32924,7.295,87.54,7.234,8.264,80.306
54.135,1.31175,7.209,86.508,7.436,8.596,79.072
56.3,1.29426,7.122,85.464,7.631,8.929,77.833
58.466,1.27677,7.035,84.42,7.817,9.26,76.603
60.631,1.25928,6.948,83.376,7.996,9.59,75.38
62.797,1.24179,6.861,82.332,8.166,9.918,74.166
64.962,1.2243,6.774,81.288,8.329,10.246,72.959
67.127,1.20681,6.687,80.244,8.483,10.572,71.761
69.293,1.18932,6.6,79.2,8.63,10.896,70.57
71.458,1.17183,6.513,78.156,8.769,11.22,69.387
73.624,1.15434,6.426,77.112,8.9,11.542,68.212
75.789,1.13685,6.34,76.08,9.023,11.86,67.057
77.954,1.11936,6.253,75.036,9.138,12.178,65.898
80.12,1.10187,6.166,73.992,9.245,12.495,64.747
82.285,1.08438,6.079,72.948,9.344,12.809,63.604
84.451,1.06689,5.992,71.904,9.435,13.122,62.469
86.616,1.0494,5.905,70.86,9.518,13.432,61.342
88.781,1.03191,5.818,69.816,9.594,13.742,60.222
90.947,1.01442,5.731,68.772,9.661,14.048,59.111
93.112,0.99693,5.644,67.728,9.721,14.353,58.007
95.278,0.97944,5.557,66.684,9.772,14.654,56.912
97.443,0.96195,5.471,65.652,9.816,14.952,55.836
99.608,0.94446,5.384,64.608,9.852,15.249,54.756
101.774,0.92697,5.297,63.564,9.879,15.542,53.685
103.939,0.90948,5.21,62.52,9.899,15.833,52.621
106.105,0.89199,5.123,61.476,9.911,16.122,51.565
108.27,0.8745,5.036,60.432,9.915,16.407,50.517
110.435,0.85701,4.949,59.388,9.911,16.689,49.477
112.601,0.83952,4.862,58.344,9.899,16.967,48.445
114.766,0.82203,4.775,57.3,9.879,17.241,47.421
116.932,0.80454,4.688,56.256,9.852,17.513,46.404
119.097,0.78705,4.602,55.224,9.816,17.775,45.408
121.262,0.76956,4.515,54.18,9.772,18.036,44.408
123.428,0.75207,4.428,53.136,9.721,18.295,43.415
125.593,0.73458,4.341,52.092,9.661,18.546,42.431
127.759,0.71709,4.254,51.048,9.594,18.794,41.454
129.924,0.6996,4.167,50.004,9.518,19.034,40.486
132.089,0.68211,4.08,48.96,9.435,19.271,39.525
134.255,0.66462,3.993,47.916,9.344,19.501,38.572
136.42,0.64713,3.906,46.872,9.245,19.724,37.627
138.586,0.62964,3.819,45.828,9.138,19.94,36.69
140.751,0.61215,3.733,44.796,9.023,20.142,35.773
142.916,0.59466,3.646,43.752,8.9,20.342,34.852
145.082,0.57717,3.559,42.708,8.769,20.532,33.939
147.247,0.55968,3.472,41.664,8.63,20.713,33.034
149.413,0.54219,3.385,40.62,8.483,20.884,32.137
151.578,0.5247,3.298,39.576,8.329,21.046,31.247
153.743,0.50721,3.211,38.532,8.166,21.193,30.366
155.909,0.48972,3.124,37.488,7.996,21.329,29.492
158.074,0.47223,3.037,36.444,7.817,21.449,28.627
160.24,0.45474,2.95,35.4,7.631,21.556,27.769
162.405,0.43725,2.864,34.368,7.436,21.636,26.932
164.57,0.41976,2.777,33.324,7.234,21.708,26.09
166.736,0.40227,2.69,32.28,7.024,21.76,25.256
168.901,0.38478,2.603,31.236,6.806,21.789,24.43
171.067,0.36729,2.516,30.192,6.58,21.794,23.612
173.232,0.3498,2.429,29.148,6.346,21.772,22.802
175.397,0.33231,2.342,28.104,6.104,21.719,22
177.563,0.31482,2.255,27.06,5.854,21.633,21.206
179.728,0.29733,2.168,26.016,5.596,21.51,20.42
181.894,0.27984,2.081,24.972,5.33,21.344,19.642
184.059,0.26235,1.995,23.94,5.057,21.124,18.883
186.224,0.24486,1.908,22.896,4.775,20.855,18.121
188.39,0.22737,1.821,21.852,4.486,20.529,17.366
190.555,0.20988,1.734,20.808,4.188,20.127,16.62
192.721,0.19239,1.647,19.764,3.883,19.647,15.881
194.886,0.1749,1.56,18.72,3.569,19.065,15.151
197.051,0.15741,1.473,17.676,3.248,18.375,14.428
199.217,0.13992,1.386,16.632,2.919,17.551,13.713
201.382,0.12243,1.299,15.588,2.582,16.564,13.006
203.548,0.10494,1.212,14.544,2.237,15.381,12.307
205.713,0.08745,1.126,13.512,1.884,13.943,11.628
207.878,0.06996,1.039,12.468,1.523,12.215,10.945
210.044,0.05247,0.952,11.424,1.154,10.102,10.27
212.209,0.03498,0.865,10.38,0.777,7.486,9.603
214.375,0.01749,0.778,9.336,0.393,4.21,8.943
216.54,0,0.691,8.292,0,0,8.292
