Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.257,47.719,572.628,0,0,572.628
62.571,0.25443,47.264,567.168,1.667,0.294,565.501
125.142,0.25186,46.809,561.708,3.301,0.588,558.407
187.713,0.24929,46.354,556.248,4.9,0.881,551.348
250.284,0.24672,45.899,550.788,6.466,1.174,544.322
312.855,0.24415,45.443,545.316,7.999,1.467,537.317
375.426,0.24158,44.988,539.856,9.498,1.759,530.358
437.997,0.23901,44.533,534.396,10.963,2.051,523.433
500.568,0.23644,44.078,528.936,12.394,2.343,516.542
563.139,0.23387,43.623,523.476,13.792,2.635,509.684
625.71,0.2313,43.168,518.016,15.156,2.926,502.86
688.281,0.22873,42.713,512.556,16.486,3.216,496.07
750.852,0.22616,42.258,507.096,17.783,3.507,489.313
813.423,0.22359,41.803,501.636,19.046,3.797,482.59
875.994,0.22102,41.347,496.164,20.275,4.086,475.889
938.565,0.21845,40.892,490.704,21.471,4.376,469.233
1001.136,0.21588,40.437,485.244,22.633,4.664,462.611
1063.706,0.21331,39.982,479.784,23.761,4.952,456.023
1126.277,0.21074,39.527,474.324,24.855,5.24,449.469
1188.848,0.20817,39.072,468.864,25.916,5.527,442.948
1251.419,0.2056,38.617,463.404,26.944,5.814,436.46
1313.99,0.20303,38.162,457.944,27.937,6.101,430.007
1376.561,0.20046,37.707,452.484,28.897,6.386,423.587
1439.132,0.19789,37.251,447.012,29.823,6.672,417.189
1501.703,0.19532,36.796,441.552,30.716,6.956,410.836
1564.274,0.19275,36.341,436.092,31.574,7.24,404.518
1626.845,0.19018,35.886,430.632,32.4,7.524,398.232
1689.416,0.18761,35.431,425.172,33.191,7.806,391.981
1751.987,0.18504,34.976,419.712,33.949,8.089,385.763
1814.558,0.18247,34.521,414.252,34.673,8.37,379.579
1877.129,0.1799,34.066,408.792,35.363,8.651,373.429
1939.7,0.17733,33.611,403.332,36.02,8.931,367.312
2002.271,0.17476,33.155,397.86,36.643,9.21,361.217
2064.842,0.17219,32.7,392.4,37.233,9.489,355.167
2127.413,0.16962,32.245,386.94,37.788,9.766,349.152
2189.984,0.16705,31.79,381.48,38.31,10.042,343.17
2252.555,0.16448,31.335,376.02,38.799,10.318,337.221
2315.126,0.16191,30.88,370.56,39.253,10.593,331.307
2377.697,0.15934,30.425,365.1,39.674,10.867,325.426
2440.268,0.15677,29.97,359.64,40.062,11.139,319.578
2502.839,0.1542,29.515,354.18,40.415,11.411,313.765
2565.41,0.15163,29.059,348.708,40.735,11.682,307.973
2627.981,0.14906,28.604,343.248,41.022,11.951,302.226
2690.552,0.14649,28.149,337.788,41.274,12.219,296.514
2753.123,0.14392,27.694,332.328,41.493,12.486,290.835
2815.694,0.14135,27.239,326.868,41.678,12.751,285.19
2878.265,0.13878,26.784,321.408,41.83,13.015,279.578
2940.836,0.13621,26.329,315.948,41.948,13.277,274
3003.407,0.13364,25.874,310.488,42.032,13.537,268.456
3065.978,0.13107,25.419,305.028,42.082,13.796,262.946
3128.549,0.1285,24.964,299.568,42.099,14.053,257.469
3191.119,0.12593,24.508,294.096,42.082,14.309,252.014
3253.69,0.12336,24.053,288.636,42.032,14.562,246.604
3316.261,0.12079,23.598,283.176,41.948,14.813,241.228
3378.832,0.11822,23.143,277.716,41.83,15.062,235.886
3441.403,0.11565,22.688,272.256,41.678,15.308,230.578
3503.974,0.11308,22.233,266.796,41.493,15.552,225.303
3566.545,0.11051,21.778,261.336,41.274,15.793,220.062
3629.116,0.10794,21.323,255.876,41.022,16.032,214.854
3691.687,0.10537,20.868,250.416,40.735,16.267,209.681
3754.258,0.1028,20.412,244.944,40.415,16.5,204.529
3816.829,0.10023,19.957,239.484,40.062,16.728,199.422
3879.4,0.09766,19.502,234.024,39.674,16.953,194.35
3941.971,0.09509,19.047,228.564,39.253,17.174,189.311
4004.542,0.09252,18.592,223.104,38.799,17.391,184.305
4067.113,0.08995,18.137,217.644,38.31,17.602,179.334
4129.684,0.08738,17.682,212.184,37.788,17.809,174.396
