Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.052,3.487,41.844,0,0,41.844
14.916,0.05148,3.46,41.52,0.08,0.193,41.44
29.832,0.05096,3.433,41.196,0.159,0.386,41.037
44.747,0.05044,3.405,40.86,0.236,0.578,40.624
59.663,0.04992,3.378,40.536,0.312,0.77,40.224
74.579,0.0494,3.351,40.212,0.386,0.96,39.826
89.495,0.04888,3.324,39.888,0.458,1.148,39.43
104.41,0.04836,3.297,39.564,0.529,1.337,39.035
119.326,0.04784,3.269,39.228,0.598,1.524,38.63
134.242,0.04732,3.242,38.904,0.665,1.709,38.239
149.158,0.0468,3.215,38.58,0.731,1.895,37.849
164.073,0.04628,3.188,38.256,0.795,2.078,37.461
178.989,0.04576,3.16,37.92,0.858,2.263,37.062
193.905,0.04524,3.133,37.596,0.919,2.444,36.677
208.821,0.04472,3.106,37.272,0.978,2.624,36.294
223.736,0.0442,3.079,36.948,1.036,2.804,35.912
238.652,0.04368,3.052,36.624,1.092,2.982,35.532
253.568,0.04316,3.024,36.288,1.146,3.158,35.142
268.484,0.04264,2.997,35.964,1.199,3.334,34.765
283.399,0.04212,2.97,35.64,1.25,3.507,34.39
298.315,0.0416,2.943,35.316,1.3,3.681,34.016
313.231,0.04108,2.916,34.992,1.347,3.849,33.645
328.147,0.04056,2.888,34.656,1.394,4.022,33.262
343.062,0.04004,2.861,34.332,1.438,4.189,32.894
357.978,0.03952,2.834,34.008,1.482,4.358,32.526
372.894,0.039,2.807,33.684,1.523,4.521,32.161
387.81,0.03848,2.78,33.36,1.563,4.685,31.797
402.726,0.03796,2.752,33.024,1.601,4.848,31.423
417.641,0.03744,2.725,32.7,1.637,5.006,31.063
432.557,0.03692,2.698,32.376,1.672,5.164,30.704
447.473,0.0364,2.671,32.052,1.706,5.323,30.346
462.389,0.03588,2.643,31.716,1.737,5.477,29.979
477.304,0.03536,2.616,31.392,1.767,5.629,29.625
492.22,0.03484,2.589,31.068,1.796,5.781,29.272
507.136,0.03432,2.562,30.744,1.823,5.93,28.921
522.052,0.0338,2.535,30.42,1.848,6.075,28.572
536.967,0.03328,2.507,30.084,1.871,6.219,28.213
551.883,0.03276,2.48,29.76,1.893,6.361,27.867
566.799,0.03224,2.453,29.436,1.914,6.502,27.522
581.715,0.03172,2.426,29.112,1.932,6.636,27.18
596.63,0.0312,2.399,28.788,1.949,6.77,26.839
611.546,0.03068,2.371,28.452,1.965,6.906,26.487
626.462,0.03016,2.344,28.128,1.979,7.036,26.149
641.378,0.02964,2.317,27.804,1.991,7.161,25.813
656.293,0.02912,2.29,27.48,2.001,7.282,25.479
671.209,0.0286,2.263,27.156,2.01,7.402,25.146
686.125,0.02808,2.235,26.82,2.018,7.524,24.802
701.041,0.02756,2.208,26.496,2.023,7.635,24.473
715.956,0.02704,2.181,26.172,2.027,7.745,24.145
730.872,0.02652,2.154,25.848,2.03,7.854,23.818
745.788,0.026,2.127,25.524,2.031,7.957,23.493
760.704,0.02548,2.099,25.188,2.03,8.059,23.158
775.62,0.02496,2.072,24.864,2.027,8.152,22.837
790.535,0.02444,2.045,24.54,2.023,8.244,22.517
805.451,0.02392,2.018,24.216,2.018,8.333,22.198
820.367,0.0234,1.99,23.88,2.01,8.417,21.87
835.283,0.02288,1.963,23.556,2.001,8.495,21.555
