Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.385,63.711,764.532,0,0,764.532
89.885,0.38115,63.093,757.116,3.588,0.474,753.528
179.77,0.3773,62.476,749.712,7.103,0.947,742.609
269.654,0.37345,61.858,742.296,10.546,1.421,731.75
359.539,0.3696,61.241,734.892,13.916,1.894,720.976
449.424,0.36575,60.623,727.476,17.214,2.366,710.262
539.309,0.3619,60.005,720.06,20.439,2.839,699.621
629.193,0.35805,59.388,712.656,23.592,3.31,689.064
719.078,0.3542,58.77,705.24,26.672,3.782,678.568
808.963,0.35035,58.153,697.836,29.68,4.253,668.156
898.848,0.3465,57.535,690.42,32.615,4.724,657.805
988.732,0.34265,56.917,683.004,35.478,5.194,647.526
1078.617,0.3388,56.3,675.6,38.268,5.664,637.332
1168.502,0.33495,55.682,668.184,40.986,6.134,627.198
1258.387,0.3311,55.065,660.78,43.632,6.603,617.148
1348.271,0.32725,54.447,653.364,46.205,7.072,607.159
1438.156,0.3234,53.829,645.948,48.705,7.54,597.243
1528.041,0.31955,53.212,638.544,51.133,8.008,587.411
1617.926,0.3157,52.594,631.128,53.489,8.475,577.639
1707.81,0.31185,51.977,623.724,55.772,8.942,567.952
1797.695,0.308,51.359,616.308,57.982,9.408,558.326
1887.58,0.30415,50.741,608.892,60.12,9.874,548.772
1977.465,0.3003,50.124,601.488,62.186,10.339,539.302
2067.349,0.29645,49.506,594.072,64.179,10.803,529.893
2157.234,0.2926,48.889,586.668,66.1,11.267,520.568
2247.119,0.28875,48.271,579.252,67.948,11.73,511.304
2337.004,0.2849,47.653,571.836,69.724,12.193,502.112
2426.889,0.28105,47.036,564.432,71.427,12.655,493.005
2516.773,0.2772,46.418,557.016,73.058,13.116,483.958
2606.658,0.27335,45.801,549.612,74.616,13.576,474.996
2696.543,0.2695,45.183,542.196,76.102,14.036,466.094
2786.428,0.26565,44.565,534.78,77.515,14.495,457.265
2876.312,0.2618,43.948,527.376,78.856,14.953,448.52
2966.197,0.25795,43.33,519.96,80.124,15.41,439.836
3056.082,0.2541,42.713,512.556,81.32,15.866,431.236
3145.967,0.25025,42.095,505.14,82.444,16.321,422.696
3235.851,0.2464,41.477,497.724,83.494,16.775,414.23
3325.736,0.24255,40.86,490.32,84.473,17.228,405.847
3415.621,0.2387,40.242,482.904,85.379,17.68,397.525
3505.506,0.23485,39.625,475.5,86.212,18.131,389.288
3595.39,0.231,39.007,468.084,86.973,18.581,381.111
3685.275,0.22715,38.389,460.668,87.662,19.029,373.006
3775.16,0.2233,37.772,453.264,88.278,19.476,364.986
3865.045,0.21945,37.154,445.848,88.822,19.922,357.026
3954.929,0.2156,36.537,438.444,89.293,20.366,349.151
4044.814,0.21175,35.919,431.028,89.691,20.809,341.337
4134.699,0.2079,35.301,423.612,90.018,21.25,333.594
4224.584,0.20405,34.684,416.208,90.271,21.689,325.937
4314.468,0.2002,34.066,408.792,90.452,22.127,318.34
4404.353,0.19635,33.449,401.388,90.561,22.562,310.827
4494.238,0.1925,32.831,393.972,90.597,22.996,303.375
4584.123,0.18865,32.213,386.556,90.561,23.428,295.995
4674.008,0.1848,31.596,379.152,90.452,23.856,288.7
4763.892,0.18095,30.978,371.736,90.271,24.284,281.465
4853.777,0.1771,30.361,364.332,90.018,24.708,274.314
4943.662,0.17325,29.743,356.916,89.691,25.129,267.225
5033.547,0.1694,29.125,349.5,89.293,25.549,260.207
5123.431,0.16555,28.508,342.096,88.822,25.964,253.274
5213.316,0.1617,27.89,334.68,88.278,26.377,246.402
5303.201,0.15785,27.273,327.276,87.662,26.785,239.614
5393.086,0.154,26.655,319.86,86.973,27.191,232.887
5482.97,0.15015,26.037,312.444,86.212,27.593,226.232
5572.855,0.1463,25.42,305.04,85.379,27.989,219.661
5662.74,0.14245,24.802,297.624,84.473,28.382,213.151
5752.625,0.1386,24.185,290.22,83.495,28.77,206.725
5842.509,0.13475,23.567,282.804,82.444,29.152,200.36
5932.394,0.1309,22.949,275.388,81.32,29.529,194.068
6022.279,0.12705,22.332,267.984,80.124,29.899,187.86
6112.164,0.1232,21.714,260.568,78.856,30.263,181.712
6202.048,0.11935,21.097,253.164,77.515,30.618,175.649
6291.933,0.1155,20.479,245.748,76.102,30.967,169.646
6381.818,0.11165,19.861,238.332,74.616,31.308,163.716
6471.703,0.1078,19.244,230.928,73.058,31.637,157.87
6561.587,0.10395,18.626,223.512,71.427,31.957,152.085
6651.472,0.1001,18.009,216.108,69.724,32.263,146.384
6741.357,0.09625,17.391,208.692,67.948,32.559,140.744
6831.242,0.0924,16.773,201.276,66.1,32.84,135.176
6921.127,0.08855,16.156,193.872,64.179,33.104,129.693
7011.011,0.0847,15.538,186.456,62.186,33.352,124.27
7100.896,0.08085,14.921,179.052,60.12,33.577,118.932
7190.781,0.077,14.303,171.636,57.982,33.782,113.654
7280.666,0.07315,13.685,164.22,55.772,33.962,108.448
7370.55,0.0693,13.068,156.816,53.489,34.109,103.327
