Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.206,37.812,453.744,0,0,453.744
89.911,0.20394,37.441,449.292,1.92,0.427,447.372
179.822,0.20188,37.069,444.828,3.802,0.855,441.026
269.732,0.19982,36.698,440.376,5.644,1.282,434.732
359.643,0.19776,36.326,435.912,7.448,1.709,428.464
449.554,0.1957,35.955,431.46,9.213,2.135,422.247
539.465,0.19364,35.583,426.996,10.939,2.562,416.057
629.375,0.19158,35.212,422.544,12.627,2.988,409.917
719.286,0.18952,34.84,418.08,14.275,3.414,403.805
809.197,0.18746,34.469,413.628,15.885,3.84,397.743
899.108,0.1854,34.097,409.164,17.456,4.266,391.708
989.018,0.18334,33.726,404.712,18.988,4.692,385.724
1078.929,0.18128,33.354,400.248,20.482,5.117,379.766
1168.84,0.17922,32.983,395.796,21.937,5.543,373.859
1258.751,0.17716,32.611,391.332,23.353,5.968,367.979
1348.662,0.1751,32.24,386.88,24.73,6.392,362.15
1438.572,0.17304,31.868,382.416,26.068,6.817,356.348
1528.483,0.17098,31.497,377.964,27.367,7.241,350.597
1618.394,0.16892,31.125,373.5,28.628,7.665,344.872
1708.305,0.16686,30.754,369.048,29.85,8.088,339.198
1798.215,0.1648,30.382,364.584,31.033,8.512,333.551
1888.126,0.16274,30.011,360.132,32.178,8.935,327.954
1978.037,0.16068,29.639,355.668,33.283,9.358,322.385
2067.948,0.15862,29.268,351.216,34.35,9.78,316.866
2157.858,0.15656,28.896,346.752,35.378,10.203,311.374
2247.769,0.1545,28.525,342.3,36.367,10.624,305.933
2337.68,0.15244,28.154,337.848,37.318,11.046,300.53
2427.591,0.15038,27.782,333.384,38.229,11.467,295.155
2517.502,0.14832,27.411,328.932,39.102,11.888,289.83
2607.412,0.14626,27.039,324.468,39.936,12.308,284.532
2697.323,0.1442,26.668,320.016,40.731,12.728,279.285
2787.234,0.14214,26.296,315.552,41.488,13.148,274.064
2877.145,0.14008,25.925,311.1,42.205,13.566,268.895
2967.055,0.13802,25.553,306.636,42.884,13.985,263.752
3056.966,0.13596,25.182,302.184,43.524,14.403,258.66
3146.877,0.1339,24.81,297.72,44.125,14.821,253.595
3236.788,0.13184,24.439,293.268,44.688,15.238,248.58
3326.698,0.12978,24.067,288.804,45.212,15.655,243.592
3416.609,0.12772,23.696,284.352,45.696,16.07,238.656
3506.52,0.12566,23.324,279.888,46.143,16.486,233.745
3596.431,0.1236,22.953,275.436,46.55,16.9,228.886
3686.342,0.12154,22.581,270.972,46.918,17.315,224.054
3776.252,0.11948,22.21,266.52,47.248,17.728,219.272
3866.163,0.11742,21.838,262.056,47.539,18.141,214.517
3956.074,0.11536,21.467,257.604,47.791,18.552,209.813
4045.985,0.1133,21.095,253.14,48.005,18.964,205.135
4135.895,0.11124,20.724,248.688,48.179,19.373,200.509
4225.806,0.10918,20.352,244.224,48.315,19.783,195.909
4315.717,0.10712,19.981,239.772,48.412,20.191,191.36
4405.628,0.10506,19.609,235.308,48.47,20.599,186.838
4495.539,0.103,19.238,230.856,48.489,21.004,182.367
4585.449,0.10094,18.867,226.404,48.47,21.409,177.934
4675.36,0.09888,18.495,221.94,48.412,21.813,173.528
4765.271,0.09682,18.124,217.488,48.315,22.215,169.173
4855.182,0.09476,17.752,213.024,48.179,22.617,164.845
4945.092,0.0927,17.381,208.572,48.005,23.016,160.567
5035.003,0.09064,17.009,204.108,47.791,23.415,156.317
5124.914,0.08858,16.638,199.656,47.539,23.81,152.117
5214.825,0.08652,16.266,195.192,47.248,24.206,147.944
5304.735,0.08446,15.895,190.74,46.918,24.598,143.822
5394.646,0.0824,15.523,186.276,46.55,24.99,139.726
5484.557,0.08034,15.152,181.824,46.143,25.378,135.681
5574.468,0.07828,14.78,177.36,45.696,25.765,131.664
5664.379,0.07622,14.409,172.908,45.212,26.148,127.696
5754.289,0.07416,14.037,168.444,44.688,26.53,123.756
5844.2,0.0721,13.666,163.992,44.125,26.907,119.867
5934.111,0.07004,13.294,159.528,43.524,27.283,116.004
6024.022,0.06798,12.923,155.076,42.884,27.654,112.192
6113.932,0.06592,12.551,150.612,42.205,28.022,108.407
6203.843,0.06386,12.18,146.16,41.488,28.385,104.672
6293.754,0.0618,11.808,141.696,40.731,28.745,100.965
6383.665,0.05974,11.437,137.244,39.936,29.099,97.308
6473.575,0.05768,11.065,132.78,39.102,29.449,93.678
6563.486,0.05562,10.694,128.328,38.229,29.79,90.099
6653.397,0.05356,10.322,123.864,37.318,30.128,86.546
6743.308,0.0515,9.951,119.412,36.367,30.455,83.045
6833.219,0.04944,9.58,114.96,35.378,30.774,79.582
6923.129,0.04738,9.208,110.496,34.35,31.087,76.146
7013.04,0.04532,8.837,106.044,33.283,31.386,72.761
7102.951,0.04326,8.465,101.58,32.178,31.677,69.402
7192.862,0.0412,8.094,97.128,31.033,31.951,66.095
7282.772,0.03914,7.722,92.664,29.85,32.213,62.814
7372.683,0.03708,7.351,88.212,28.628,32.454,59.584
7462.594,0.03502,6.979,83.748,27.367,32.678,56.381
7552.505,0.03296,6.608,79.296,26.068,32.874,53.228
7642.415,0.0309,6.236,74.832,24.73,33.047,50.102
7732.326,0.02884,5.865,70.38,23.353,33.181,47.027
7822.237,0.02678,5.493,65.916,21.937,33.28,43.979
7912.148,0.02472,5.122,61.464,20.482,33.324,40.982
8002.059,0.02266,4.75,57,18.988,33.312,38.012
8091.969,0.0206,4.379,52.548,17.456,33.219,35.092
8181.88,0.01854,4.007,48.084,15.885,33.036,32.199
8271.791,0.01648,3.636,43.632,14.275,32.717,29.357
8361.702,0.01442,3.264,39.168,12.627,32.238,26.541
8451.612,0.01236,2.893,34.716,10.939,31.51,23.777
8541.523,0.0103,2.521,30.252,9.213,30.454,21.039
8631.434,0.00824,2.15,25.8,7.448,28.868,18.352
8721.345,0.00618,1.778,21.336,5.644,26.453,15.692
8811.255,0.00412,1.407,16.884,3.802,22.518,13.082
8901.166,0.00206,1.035,12.42,1.92,15.459,10.5
8991.077,0,0.664,7.968,0,0,7.968
