Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.217,33.344,400.128,0,0,400.128
74.577,0.21483,33.026,396.312,1.678,0.423,394.634
149.155,0.21266,32.707,392.484,3.322,0.846,389.162
223.732,0.21049,32.389,388.668,4.932,1.269,383.736
298.31,0.20832,32.071,384.852,6.508,1.691,378.344
372.887,0.20615,31.753,381.036,8.05,2.113,372.986
447.465,0.20398,31.434,377.208,9.558,2.534,367.65
522.042,0.20181,31.116,373.392,11.033,2.955,362.359
596.62,0.19964,30.798,369.576,12.473,3.375,357.103
671.197,0.19747,30.48,365.76,13.88,3.795,351.88
745.775,0.1953,30.161,361.932,15.252,4.214,346.68
820.352,0.19313,29.843,358.116,16.591,4.633,341.525
894.93,0.19096,29.525,354.3,17.896,5.051,336.404
969.507,0.18879,29.206,350.472,19.167,5.469,331.305
1044.085,0.18662,28.888,346.656,20.404,5.886,326.252
1118.662,0.18445,28.57,342.84,21.608,6.303,321.232
1193.24,0.18228,28.252,339.024,22.777,6.718,316.247
1267.817,0.18011,27.933,335.196,23.912,7.134,311.284
1342.395,0.17794,27.615,331.38,25.014,7.548,306.366
1416.972,0.17577,27.297,327.564,26.082,7.962,301.482
1491.55,0.1736,26.979,323.748,27.115,8.375,296.633
1566.127,0.17143,26.66,319.92,28.115,8.788,291.805
1640.705,0.16926,26.342,316.104,29.081,9.2,287.023
1715.282,0.16709,26.024,312.288,30.013,9.611,282.275
1789.86,0.16492,25.706,308.472,30.912,10.021,277.56
1864.437,0.16275,25.387,304.644,31.776,10.431,272.868
1939.015,0.16058,25.069,300.828,32.606,10.839,268.222
2013.592,0.15841,24.751,297.012,33.403,11.246,263.609
2088.17,0.15624,24.432,293.184,34.165,11.653,259.019
2162.747,0.15407,24.114,289.368,34.894,12.059,254.474
2237.325,0.1519,23.796,285.552,35.589,12.463,249.963
2311.902,0.14973,23.478,281.736,36.25,12.867,245.486
2386.48,0.14756,23.159,277.908,36.877,13.269,241.031
2461.057,0.14539,22.841,274.092,37.47,13.671,236.622
2535.635,0.14322,22.523,270.276,38.029,14.07,232.247
2610.212,0.14105,22.205,266.46,38.555,14.469,227.905
2684.79,0.13888,21.886,262.632,39.046,14.867,223.586
2759.367,0.13671,21.568,258.816,39.504,15.263,219.312
2833.945,0.13454,21.25,255,39.927,15.658,215.073
2908.522,0.13237,20.931,251.172,40.317,16.052,210.855
2983.1,0.1302,20.613,247.356,40.673,16.443,206.683
3057.677,0.12803,20.295,243.54,40.995,16.833,202.545
3132.255,0.12586,19.977,239.724,41.283,17.221,198.441
3206.832,0.12369,19.658,235.896,41.537,17.608,194.359
3281.41,0.12152,19.34,232.08,41.758,17.993,190.322
3355.987,0.11935,19.022,228.264,41.944,18.375,186.32
3430.565,0.11718,18.704,224.448,42.097,18.756,182.351
3505.142,0.11501,18.385,220.62,42.215,19.135,178.405
3579.72,0.11284,18.067,216.804,42.3,19.511,174.504
