Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.29,46.074,552.888,0,0,552.888
101.755,0.2871,45.623,547.476,3.059,0.559,544.417
203.51,0.2842,45.172,542.064,6.057,1.117,536.007
305.266,0.2813,44.722,536.664,8.992,1.676,527.672
407.021,0.2784,44.271,531.252,11.866,2.234,519.386
508.776,0.2755,43.82,525.84,14.678,2.791,511.162
610.531,0.2726,43.369,520.428,17.429,3.349,502.999
712.286,0.2697,42.919,515.028,20.117,3.906,494.911
814.042,0.2668,42.468,509.616,22.744,4.463,486.872
915.797,0.2639,42.017,504.204,25.309,5.02,478.895
1017.552,0.261,41.566,498.792,27.812,5.576,470.98
1119.307,0.2581,41.116,493.392,30.253,6.132,463.139
1221.062,0.2552,40.665,487.98,32.632,6.687,455.348
1322.818,0.2523,40.214,482.568,34.95,7.243,447.618
1424.573,0.2494,39.763,477.156,37.206,7.797,439.95
1526.328,0.2465,39.313,471.756,39.4,8.352,432.356
1628.083,0.2436,38.862,466.344,41.532,8.906,424.812
1729.838,0.2407,38.411,460.932,43.602,9.46,417.33
1831.594,0.2378,37.96,455.52,45.611,10.013,409.909
1933.349,0.2349,37.51,450.12,47.558,10.566,402.562
2035.104,0.232,37.059,444.708,49.443,11.118,395.265
2136.859,0.2291,36.608,439.296,51.266,11.67,388.03
2238.614,0.2262,36.157,433.884,53.027,12.221,380.857
2340.37,0.2233,35.707,428.484,54.727,12.772,373.757
2442.125,0.2204,35.256,423.072,56.365,13.323,366.707
2543.88,0.2175,34.805,417.66,57.941,13.873,359.719
2645.635,0.2146,34.354,412.248,59.455,14.422,352.793
2747.39,0.2117,33.903,406.836,60.907,14.971,345.929
2849.146,0.2088,33.453,401.436,62.298,15.519,339.138
2950.901,0.2059,33.002,396.024,63.627,16.066,332.397
3052.656,0.203,32.551,390.612,64.894,16.613,325.718
3154.411,0.2001,32.1,385.2,66.099,17.16,319.101
3256.166,0.1972,31.65,379.8,67.242,17.705,312.558
3357.922,0.1943,31.199,374.388,68.324,18.25,306.064
3459.677,0.1914,30.748,368.976,69.344,18.794,299.632
3561.432,0.1885,30.297,363.564,70.302,19.337,293.262
3663.187,0.1856,29.847,358.164,71.198,19.879,286.966
3764.942,0.1827,29.396,352.752,72.032,20.42,280.72
3866.698,0.1798,28.945,347.34,72.805,20.961,274.535
3968.453,0.1769,28.494,341.928,73.515,21.5,268.413
4070.208,0.174,28.044,336.528,74.164,22.038,262.364
4171.963,0.1711,27.593,331.116,74.751,22.575,256.365
4273.718,0.1682,27.142,325.704,75.277,23.112,250.427
4375.474,0.1653,26.691,320.292,75.74,23.647,244.552
4477.229,0.1624,26.241,314.892,76.142,24.18,238.75
4578.984,0.1595,25.79,309.48,76.482,24.713,232.998
4680.739,0.1566,25.339,304.068,76.76,25.244,227.308
4782.494,0.1537,24.888,298.656,76.976,25.774,221.68
4884.25,0.1508,24.438,293.256,77.131,26.302,216.125
4986.005,0.1479,23.987,287.844,77.224,26.828,210.62
5087.76,0.145,23.536,282.432,77.254,27.353,205.178
5189.515,0.1421,23.085,277.02,77.223,27.876,199.797
5291.27,0.1392,22.634,271.608,77.131,28.398,194.477
5393.026,0.1363,22.184,266.208,76.976,28.916,189.232
5494.781,0.1334,21.733,260.796,76.76,29.433,184.036
5596.536,0.1305,21.282,255.384,76.482,29.948,178.902
5698.291,0.1276,20.831,249.972,76.142,30.46,173.83
5800.046,0.1247,20.381,244.572,75.74,30.968,168.832
5901.802,0.1218,19.93,239.16,75.277,31.476,163.883
6003.557,0.1189,19.479,233.748,74.751,31.979,158.997
6105.312,0.116,19.028,228.336,74.164,32.48,154.172
6207.067,0.1131,18.578,222.936,73.515,32.976,149.421
6308.822,0.1102,18.127,217.524,72.805,33.47,144.719
6410.578,0.1073,17.676,212.112,72.032,33.959,140.08
6512.333,0.1044,17.225,206.7,71.198,34.445,135.502
6614.088,0.1015,16.775,201.3,70.302,34.924,130.998
6715.843,0.0986,16.324,195.888,69.344,35.4,126.544
6817.598,0.0957,15.873,190.476,68.324,35.87,122.152
6919.354,0.0928,15.422,185.064,67.242,36.334,117.822
7021.109,0.0899,14.972,179.664,66.099,36.79,113.565
7122.864,0.087,14.521,174.252,64.894,37.241,109.358
7224.619,0.0841,14.07,168.84,63.627,37.685,105.213
7326.374,0.0812,13.619,163.428,62.298,38.12,101.13
7428.13,0.0783,13.169,158.028,60.907,38.542,97.121
7529.885,0.0754,12.718,152.616,59.455,38.957,93.161
7631.64,0.0725,12.267,147.204,57.941,39.361,89.263
7733.395,0.0696,11.816,141.792,56.365,39.752,85.427
7835.15,0.0667,11.365,136.38,54.727,40.128,81.653
7936.906,0.0638,10.915,130.98,53.027,40.485,77.953
8038.661,0.0609,10.464,125.568,51.266,40.827,74.302
8140.416,0.058,10.013,120.156,49.443,41.149,70.713
8242.171,0.0551,9.562,114.744,47.558,41.447,67.186
8343.926,0.0522,9.112,109.344,45.611,41.713,63.733
8445.682,0.0493,8.661,103.932,43.602,41.952,60.33
8547.437,0.0464,8.21,98.52,41.532,42.156,56.988
8649.192,0.0435,7.759,93.108,39.4,42.316,53.708
8750.947,0.0406,7.309,87.708,37.206,42.42,50.502
8852.702,0.0377,6.858,82.296,34.95,42.469,47.346
8954.458,0.0348,6.407,76.884,32.632,42.443,44.252
9056.213,0.0319,5.956,71.472,30.253,42.328,41.219
9157.968,0.029,5.506,66.072,27.812,42.093,38.26
9259.723,0.0261,5.055,60.66,25.309,41.723,35.351
9361.478,0.0232,4.604,55.248,22.744,41.167,32.504
9463.234,0.0203,4.153,49.836,20.117,40.366,29.719
9564.989,0.0174,3.703,44.436,17.429,39.223,27.007
9666.744,0.0145,3.252,39.024,14.678,37.613,24.346
9768.499,0.0116,2.801,33.612,11.866,35.303,21.746
9870.254,0.0087,2.35,28.2,8.992,31.887,19.208
9972.01,0.0058,1.9,22.8,6.057,26.566,16.743
10073.765,0.0029,1.449,17.388,3.059,17.593,14.329
10175.52,0,0.998,11.976,0,0,11.976
