Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.168,9.166,109.992,0,0,109.992
59.185,0.16632,9.076,108.912,1.031,0.947,107.881
118.37,0.16464,8.987,107.844,2.041,1.893,105.803
177.554,0.16296,8.897,106.764,3.03,2.838,103.734
236.739,0.16128,8.808,105.696,3.998,3.783,101.698
295.924,0.1596,8.718,104.616,4.946,4.728,99.67
355.109,0.15792,8.629,103.548,5.873,5.672,97.675
414.293,0.15624,8.539,102.468,6.778,6.615,95.69
473.478,0.15456,8.449,101.388,7.663,7.558,93.725
532.663,0.15288,8.36,100.32,8.528,8.501,91.792
591.848,0.1512,8.27,99.24,9.371,9.443,89.869
651.032,0.14952,8.181,98.172,10.194,10.384,87.978
710.217,0.14784,8.091,97.092,10.995,11.324,86.097
769.402,0.14616,8.001,96.012,11.776,12.265,84.236
828.587,0.14448,7.912,94.944,12.536,13.204,82.408
887.771,0.1428,7.822,93.864,13.276,14.144,80.588
946.956,0.14112,7.733,92.796,13.994,15.08,78.802
1006.141,0.13944,7.643,91.716,14.692,16.019,77.024
1065.326,0.13776,7.554,90.648,15.369,16.955,75.279
1124.51,0.13608,7.464,89.568,16.025,17.891,73.543
1183.695,0.1344,7.374,88.488,16.66,18.827,71.828
1242.88,0.13272,7.285,87.42,17.274,19.76,70.146
1302.065,0.13104,7.195,86.34,17.868,20.695,68.472
1361.249,0.12936,7.106,85.272,18.44,21.625,66.832
1420.434,0.12768,7.016,84.192,18.992,22.558,65.2
1479.619,0.126,6.927,83.124,19.523,23.487,63.601
1538.804,0.12432,6.837,82.044,20.033,24.417,62.011
1597.988,0.12264,6.747,80.964,20.523,25.348,60.441
1657.173,0.12096,6.658,79.896,20.991,26.273,58.905
1716.358,0.11928,6.568,78.816,21.439,27.201,57.377
1775.543,0.1176,6.479,77.748,21.866,28.124,55.882
1834.727,0.11592,6.389,76.668,22.272,29.05,54.396
1893.912,0.11424,6.299,75.588,22.657,29.974,52.931
1953.097,0.11256,6.21,74.52,23.022,30.894,51.498
2012.282,0.11088,6.12,73.44,23.365,31.815,50.075
2071.466,0.1092,6.031,72.372,23.688,32.731,48.684
2130.651,0.10752,5.941,71.292,23.99,33.65,47.302
2189.836,0.10584,5.852,70.224,24.271,34.562,45.953
2249.021,0.10416,5.762,69.144,24.531,35.478,44.613
2308.205,0.10248,5.672,68.064,24.771,36.394,43.293
2367.39,0.1008,5.583,66.996,24.99,37.301,42.006
2426.575,0.09912,5.493,65.916,25.187,38.211,40.729
2485.76,0.09744,5.404,64.848,25.364,39.113,39.484
2544.944,0.09576,5.314,63.768,25.521,40.022,38.247
2604.129,0.09408,5.224,62.688,25.656,40.926,37.032
2663.314,0.0924,5.135,61.62,25.771,41.822,35.849
2722.499,0.09072,5.045,60.54,25.864,42.722,34.676
2781.683,0.08904,4.956,59.472,25.937,43.612,33.535
2840.868,0.08736,4.866,58.392,25.989,44.508,32.403
2900.053,0.08568,4.777,57.324,26.02,45.391,31.304
2959.238,0.084,4.687,56.244,26.031,46.282,30.213
3018.422,0.08232,4.597,55.164,26.02,47.168,29.144
3077.607,0.08064,4.508,54.096,25.989,48.042,28.107
3136.792,0.07896,4.418,53.016,25.937,48.923,27.079
3195.977,0.07728,4.329,51.948,25.864,49.788,26.084
3255.161,0.0756,4.239,50.868,25.771,50.662,25.097
3314.346,0.07392,4.15,49.8,25.656,51.518,24.144
3373.531,0.07224,4.06,48.72,25.521,52.383,23.199
3432.716,0.07056,3.97,47.64,25.364,53.241,22.276
3491.9,0.06888,3.881,46.572,25.187,54.082,21.385
3551.085,0.0672,3.791,45.492,24.99,54.933,20.502
3610.27,0.06552,3.702,44.424,24.771,55.76,19.653
3669.455,0.06384,3.612,43.344,24.531,56.596,18.813
3728.639,0.06216,3.522,42.264,24.271,57.427,17.993
3787.824,0.06048,3.433,41.196,23.99,58.234,17.206
3847.009,0.0588,3.343,40.116,23.688,59.049,16.428
3906.194,0.05712,3.254,39.048,23.365,59.837,15.683
3965.378,0.05544,3.164,37.968,23.022,60.635,14.946
4024.563,0.05376,3.075,36.9,22.657,61.401,14.243
4083.748,0.05208,2.985,35.82,22.272,62.178,13.548
4142.933,0.0504,2.895,34.74,21.866,62.942,12.874
4202.117,0.04872,2.806,33.672,21.439,63.67,12.233
4261.302,0.04704,2.716,32.592,20.991,64.405,11.601
4320.487,0.04536,2.627,31.524,20.523,65.103,11.001
4379.672,0.04368,2.537,30.444,20.033,65.803,10.411
4438.856,0.042,2.448,29.376,19.523,66.459,9.853
4498.041,0.04032,2.358,28.296,18.992,67.119,9.304
4557.226,0.03864,2.268,27.216,18.44,67.754,8.776
4616.411,0.03696,2.179,26.148,17.868,68.334,8.28
4675.595,0.03528,2.089,25.068,17.274,68.909,7.794
4734.78,0.0336,2,24,16.66,69.417,7.34
4793.965,0.03192,1.91,22.92,16.025,69.917,6.895
4853.15,0.03024,1.82,21.84,15.369,70.371,6.471
4912.334,0.02856,1.731,20.772,14.692,70.73,6.08
4971.519,0.02688,1.641,19.692,13.994,71.064,5.698
5030.704,0.0252,1.552,18.624,13.276,71.284,5.348
5089.889,0.02352,1.462,17.544,12.536,71.455,5.008
5149.073,0.02184,1.373,16.476,11.776,71.474,4.7
5208.258,0.02016,1.283,15.396,10.995,71.415,4.401
5267.443,0.01848,1.193,14.316,10.194,71.207,4.122
5326.628,0.0168,1.104,13.248,9.371,70.735,3.877
5385.812,0.01512,1.014,12.168,8.528,70.085,3.64
5444.997,0.01344,0.925,11.1,7.663,69.036,3.437
5504.182,0.01176,0.835,10.02,6.778,67.645,3.242
5563.367,0.01008,0.745,8.94,5.873,65.694,3.067
5622.551,0.0084,0.656,7.872,4.946,62.83,2.926
5681.736,0.00672,0.566,6.792,3.998,58.863,2.794
5740.921,0.00504,0.477,5.724,3.03,52.935,2.694
5800.106,0.00336,0.387,4.644,2.041,43.949,2.603
5859.29,0.00168,0.298,3.576,1.031,28.831,2.545
5918.475,0,0.208,2.496,0,0,2.496
