10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
15.99,10,89.728,16.285,20.02,196.242,16.099,29.99,298.332,16.246,40.03,384.498,16.151,50.04,459.691,16.086,60.04,527.681
16.365,10,93.675,16.662,20.02,194.004,16.501,30.01,297.954,16.65,40.04,385.385,16.518,50.06,454.302,16.448,60.07,526.245
16.732,10,81.965,17.038,19.96,196.926,16.904,30.03,296.896,17.054,40.01,381.106,16.876,50.02,457.625,16.851,60.08,521.462
17.091,10.01,85.204,17.441,20,195.89,17.269,30,296.045,17.42,40,384.425,17.279,50,456.146,17.253,60.04,523.056
17.466,10,96.912,17.828,19.99,200.8,17.629,29.99,298.385,17.778,40,383.872,17.629,49.99,454.916,17.647,60.03,520.637
17.869,10,98.149,18.219,20.01,198.463,18.006,29.99,295.886,18.153,40.01,381.251,18.032,50,457.691,18.033,60.05,527.105
18.236,10,96.849,18.607,20.03,203.203,18.371,29.99,299.395,18.557,40.02,386.45,18.397,50.04,458.214,18.399,60.05,525.083
18.595,9.99,100.164,18.972,20.02,202.757,18.73,29.97,297.001,18.922,40.04,385.27,18.757,50.04,458.553,18.757,60.02,524.144
18.982,9.99,100.164,19.359,20.01,195.273,19.134,29.99,293.925,19.282,40.03,381.395,19.133,50.03,455.051,19.132,60.04,523.699
19.347,9.98,96.912,19.741,19.95,198.194,19.536,30,300.241,19.686,40.01,384.163,19.537,50.03,455.325,19.481,60.05,518.93
19.752,9.99,99.497,20.099,19.95,201.967,19.925,30.03,298.649,20.088,39.99,386.669,19.904,50.04,454.711,19.886,60.1,526.972
20.114,10.01,97.515,20.46,19.97,196.442,20.304,30.02,296.949,20.453,40.04,385.634,20.262,50.03,458.984,20.252,60.05,521.616
20.476,10,83.944,20.825,20.02,198.947,20.664,30.01,293.925,20.814,40.12,384.552,20.665,50.02,456.435,20.61,59.99,519.805
20.851,10,87.778,21.231,20.04,197.026,21.067,29.98,295.46,21.217,40.03,382.477,21.068,50.01,456.527,21.014,60,522.587
21.216,9.99,83.89,21.593,19.99,199.632,21.416,29.97,297.847,21.621,39.97,382.066,21.434,49.97,456.71,21.401,60.01,520.126
21.575,10,92.359,21.954,20,202.688,21.765,29.97,296.046,21.986,39.92,383.853,21.793,49.98,456.344,21.767,60.04,519.855
