10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
73.313,10,98.911,73.665,19.98,197.293,73.586,29.99,300.295,73.845,39.98,381.851,73.499,50.04,446.481,73.476,0,0
73.672,10.02,86.575,74.055,19.98,200.386,73.951,29.99,296.151,74.212,40.02,382.52,73.861,49.98,447.632,73.836,0,0
74.049,10.01,91.767,74.448,19.99,201.52,74.309,30,298.851,74.57,40,383.145,74.262,49.98,448.393,74.211,0,0
74.436,10.01,93.72,74.823,19.98,202.688,74.661,30,298.489,74.973,39.98,378.033,74.612,49.97,448.303,74.56,0,0
74.801,10,85.314,75.224,19.99,195.957,75.02,30,297.534,75.375,39.98,380.24,75.014,49.96,446.21,74.963,0,0
75.176,10,91.175,75.614,20,197.912,75.385,30,298.703,75.742,39.97,383.843,75.365,50.01,447.332,75.326,0,0
75.579,9.99,91.782,75.993,19.99,200.868,75.772,29.99,294.72,76.102,39.99,384.801,75.767,50.01,448.121,75.716,0,0
75.945,9.99,85.938,76.352,20.02,200.902,76.155,29.99,295.568,76.478,39.96,380.529,76.134,50.01,450.245,76.082,0,0
76.305,10,96.339,76.741,20.03,197.16,76.514,29.99,295.462,76.881,40.02,384.655,76.494,50.02,450.519,76.454,0,0
76.681,10.01,87.24,77.106,19.99,199.7,76.874,30.02,302.264,77.245,40.04,381.969,76.896,49.99,445.784,76.849,0,0
77.047,10,85.314,77.509,19.98,201.623,77.24,30.03,300.026,77.606,40.01,380.745,77.298,49.95,447.514,77.24,0,0
77.406,9.99,91.782,77.874,20,197.26,77.643,29.99,295.727,77.994,40,385.28,77.647,49.99,449.578,77.639,0,0
77.781,10,85.259,78.235,20.03,203.34,78.008,29.99,297.054,78.357,39.99,380.24,78.036,50.01,449.578,77.999,0,0
78.146,10.01,94.386,78.622,20.03,204.166,78.366,29.99,297.37,78.763,39.97,384.728,78.402,49.99,449.364,78.364,0,0
78.509,10.01,87.24,78.987,19.99,194.135,78.716,29.98,293.236,79.128,39.96,385.28,78.778,49.99,448.849,78.738,0,0
78.867,10,82.018,79.39,19.98,193.55,79.105,29.99,296.204,79.487,40,378.849,79.179,49.99,446.119,79.111,0,0
79.233,9.99,91.827,79.779,19.98,201.52,79.469,30,299.657,79.862,40.01,382.375,79.583,49.99,447.575,79.466,0,0
79.635,9.98,85.979,80.158,19.99,201.418,79.873,30.01,300.349,80.226,40.03,380.792,79.95,49.98,446.572,79.826,0,0
80.023,9.98,85.993,80.517,20,196.09,80.278,30.01,295.356,80.587,40.02,379.4,80.307,49.99,447.818,80.215,0,0
80.399,10,86.575,80.905,20.04,196.642,80.641,30.01,296.949,80.963,40,384.582,80.713,50.03,446.697,80.582,0,0
80.763,10,84.649,81.27,20.02,200.352,80.999,30,298.376,81.366,39.98,379.353,81.115,50.02,447.394,80.957,0,0
81.151,10,93.084,81.678,19.99,202.104,81.35,29.98,297.103,81.733,39.98,378.513,81.48,49.99,451.035,81.329,0,0
81.518,10.01,93.114,82.04,19.98,200.386,81.709,29.97,296.098,82.09,39.99,379.568,81.839,49.98,449.788,81.679,0,0
81.884,10.01,82.669,82.399,20,198.43,82.065,30,296.787,82.494,39.98,381.751,82.242,49.97,447.514,82.029,0,0
82.242,10.01,91.812,82.803,19.99,203.306,82.425,30,300.771,82.896,39.98,382.375,82.647,49.99,449.638,82.378,0,0
82.618,10,89.222,83.206,19.99,197.979,82.827,29.99,300.933,83.263,39.99,378.585,83.01,50.02,447.909,82.752,0,0
82.984,10,87.282,83.569,20,194.688,83.194,30,295.727,83.621,40.05,381.199,83.371,50.01,447.485,83.131,0,0
83.342,10.01,93.099,83.929,19.99,196.09,83.552,29.99,295.568,84.025,40.02,381.679,83.774,50.02,449.547,83.517,0,0
83.704,10.01,98.943,84.335,20,199.531,83.913,30,295.25,84.429,40.01,380.792,84.178,50,447.151,83.883,0,0
84.069,10,93.144,84.737,19.99,198.564,84.278,30.02,294.508,84.794,39.99,378.657,84.566,49.98,448.333,84.23,0,0
84.472,9.98,100.96,85.104,20,203.582,84.681,30.01,296.468,85.154,39.97,381.534,84.947,49.95,447.485,84.58,0,0
84.837,9.98,95.642,85.461,20,203.855,85.069,30,298.596,85.557,39.98,380.576,85.306,49.99,446.181,84.94,0,0
85.196,9.98,88.57,85.849,20.02,199.149,85.443,30,297.21,85.96,39.96,382.158,85.694,49.98,448.666,85.321,0,0
85.602,10,99.61,86.213,20,197.945,85.81,29.99,298.382,86.324,39.97,381.94,86.058,49.98,448.091,85.696,0,0
86.004,10.01,95.067,86.618,20,194.07,86.211,29.99,297.847,86.685,40.03,384.29,86.462,49.99,446.272,86.074,0,0
86.368,10.01,99.577,87.021,19.98,195.57,86.578,29.99,298.114,87.1,40.02,382.593,86.826,50.03,446.061,86.435,0,0
86.729,10,91.841,87.388,19.98,197.979,86.938,29.99,300.653,87.474,40.04,382.782,87.187,50.02,446.939,86.827,0,0
87.13,10.01,100.261,87.747,19.98,201.554,87.34,30.01,297.48,87.84,40,381.94,87.589,49.98,447.212,87.217,0,0
87.518,10.01,93.72,88.149,19.99,196.708,87.743,30.01,297.317,88.244,39.98,379.952,87.94,49.97,450.727,87.589,0,0
87.885,10,99.006,88.552,20.05,196.675,88.109,30.01,297.632,88.609,39.97,383.958,88.341,49.96,447.454,87.938,0,0
88.287,9.99,97.672,88.918,20.02,197.878,88.468,29.99,296.205,88.967,39.97,384.842,88.708,50.01,447.727,88.289,0,0
88.653,9.99,89.265,89.276,19.99,204.097,88.844,29.98,294.72,89.344,39.99,380.982,89.068,50.02,446.243,88.676,0,0
89.013,9.99,83.347,89.684,19.99,198.463,89.209,29.98,297.793,89.71,40.01,382.303,89.442,50,447.212,89.041,0,0
89.4,10,82.736,90.086,20.01,200.25,89.571,30,298.061,90.07,40.02,382.085,89.811,50,448.028,89.43,0,0
89.764,10,85.951,90.451,20,201.657,89.946,30.02,297.691,90.446,40.01,381.606,90.168,49.99,447.636,89.809,0,0.173
90.169,9.99,92.508,90.81,20,199.25,90.348,30.01,295.144,90.849,39.99,382.927,90.545,50,446.939,90.17,0,0.572
90.558,9.97,85.979,91.214,19.99,202.378,90.714,30,297.264,91.215,40,382.303,90.911,49.98,445.394,90.571,38.32,0.033
90.932,9.96,89.265,91.6,19.99,198.598,91.073,30.01,295.781,91.573,39.99,380.503,91.271,49.99,449.331,90.921,0,0
91.296,9.97,91.205,91.966,19.98,203.924,91.477,30,295.621,91.976,40.02,383.333,91.664,49.98,447.969,91.31,38.97,0
91.699,9.97,89.887,92.354,20.02,195.273,91.88,29.98,296.152,92.38,40.01,383.666,92.022,49.98,444.76,91.673,0,0
92.067,9.97,97.751,92.734,20.03,198.295,92.245,29.97,295.727,92.745,39.97,378.849,92.398,49.97,443.85,92.024,13.37,0
92.423,9.94,94.416,93.095,20.01,206.466,92.604,29.99,297.161,93.105,39.99,380.91,92.763,49.96,448.874,92.425,0,0.656
92.801,9.95,97.703,93.482,19.99,202.07,92.981,30,298.275,93.492,40,381.606,93.123,50,447.513,92.792,0,0
93.166,9.99,95.765,93.847,19.99,202.241,93.393,30,296.468,93.857,39.99,383.375,93.527,50.03,443.822,93.151,0,0.18
93.525,10.03,98.974,94.25,19.99,200.902,93.75,30,296.098,94.26,39.99,383.188,93.929,50.01,447.937,93.527,0,0
93.902,10.05,101.546,94.638,20.02,197.878,94.11,29.99,296.361,94.624,40,381.389,94.296,50.02,448.393,93.918,42.54,0.18
94.268,10.04,99.642,95.012,20.02,197.193,94.512,30,296.258,94.984,39.99,382.158,94.654,50.02,449.994,94.281,0,0.683
94.627,10.02,89.222,95.394,19.98,201.759,94.878,30.03,296.574,95.362,39.99,380.91,95.03,50.02,449.331,94.647,42.67,0
94.987,10.01,92.508,95.782,19.99,199.25,95.238,30.03,296.79,95.764,39.99,379.591,95.434,49.96,446.999,95.006,0,0.798
95.353,10,97.719,96.172,20,204.269,95.641,30,299.711,96.129,40.04,382.491,95.8,49.96,443.822,95.411,43.28,0
95.74,9.98,95.067,96.552,20.03,198.463,96.046,29.99,293.974,96.488,40.01,378.082,96.159,49.99,445.184,95.796,0,2.145
96.131,9.98,98.386,96.91,20.01,198.012,96.41,30,296.628,96.892,39.98,381.389,96.584,50,444.942,96.178,32.54,0
96.52,10,91.841,97.314,19.99,204.131,96.768,29.99,297.48,97.295,39.97,378.297,96.981,49.99,442.64,96.536,12.05,0.027
96.883,10.01,90.524,97.681,19.99,200.488,97.144,29.99,296.152,97.662,39.97,384.072,97.341,50.01,448.965,96.902,0,0
97.288,10.01,89.207,98.039,20.01,199.149,97.55,29.98,297.48,98.02,39.98,379.88,97.745,49.99,447.149,97.263,16.98,0.026
97.655,10.06,88.57,98.414,19.98,204.854,97.913,30,298.435,98.423,39.99,383.375,98.11,49.99,446.726,97.611,0,0
98.012,10.05,94.432,98.781,19.97,200.284,98.272,29.99,299.549,98.826,40.01,384.363,98.468,49.99,444.821,98.018,14.31,0
98.399,10.03,88.585,99.138,19.97,196.875,98.622,30,295.515,99.176,40,379.04,98.845,49.98,447.663,98.378,0,0.252
98.766,10.02,87.31,99.515,19.99,198.463,98.999,30.02,296.47,99.578,40.01,378.633,99.249,50,446.544,98.741,6.37,0
99.17,9.95,100.96,99.903,20,203.34,99.364,30.01,296.574,99.946,40,378.489,99.614,50.02,448.268,99.125,35.02,0.216
99.573,9.97,85.383,100.284,20.02,200.868,99.724,29.99,294.667,100.305,40.01,382.418,99.974,50.03,448.028,99.482,0,0
99.938,9.97,86.007,100.643,20.01,199.767,100.126,30,298.596,100.707,39.99,379.04,100.376,49.98,446.394,99.841,0,0.18
100.297,10.01,85.965,101.048,20.01,197.979,100.532,29.99,294.347,101.11,39.96,382.346,100.779,49.96,446.212,100.243,0,0
100.685,10.02,87.296,101.435,20,204.339,100.897,29.98,297.427,101.476,39.97,384.623,101.145,49.96,445.848,100.593,40.34,0
101.049,10.01,87.933,101.815,20.02,202.31,101.255,29.99,296.63,101.835,39.99,380.503,101.504,50,445.816,100.941,0,0
101.455,10,87.961,102.175,20.02,198.665,101.659,30.02,296.949,102.24,39.99,380.142,101.908,49.99,446.453,101.319,11.03,0
101.818,10.02,91.886,102.563,19.99,202.757,102.061,30.02,297.531,102.642,40,380.621,102.312,50.01,447.389,101.694,0,0.051
102.178,10.01,92.522,102.929,19.98,201.14,102.449,30.01,299.126,103.029,40,380.214,102.677,50.01,442.648,102.099,0,0
102.554,9.99,91.161,103.332,19.98,203.34,102.831,30,296.896,103.409,40,378.345,103.036,50.02,446.785,102.486,0,0.203
102.918,9.99,86.658,103.697,19.99,200.352,103.189,29.99,300.34,103.777,39.99,383.999,103.439,50.01,447.331,102.876,0,0
103.279,10.01,93.826,104.058,19.99,195.99,103.593,29.97,296.045,104.174,39.98,379.184,103.844,50.02,446.329,103.264,13.04,0.157
103.655,10,87.296,104.432,20.01,203.513,103.995,29.98,295.356,104.539,39.98,380.882,104.207,50.01,445.879,103.628,0,0
104.02,9.97,87.961,104.797,20.04,197.06,104.381,30.01,300.07,104.899,40.06,378.968,104.566,49.94,444.79,104.018,39.63,0
104.38,9.98,91.841,105.158,20.05,196.642,104.775,30.02,299.019,105.274,40.05,384.954,104.943,49.96,446.511,104.381,0,12.22
104.756,9.99,89.265,105.535,20.02,196.09,105.141,30.01,295.938,105.664,39.98,382.606,105.309,49.98,446.842,104.752,39.15,0
105.159,10.02,87.254,105.9,19.98,197.811,105.499,30,298.429,106.045,40.01,379.519,105.668,50,444.368,105.107,0,0
105.526,10.04,95.067,106.259,19.96,196.875,105.859,29.97,299.81,106.403,39.96,381.244,106.045,50.03,445.244,105.484,38.39,0
105.885,10.02,98.339,106.634,19.95,202.481,106.225,29.97,295.94,106.806,40,380.07,106.411,50.06,445.848,105.885,0,0.101
106.287,10.01,86.644,107.024,19.98,203.444,106.628,30,296.949,107.209,39.95,380.07,106.769,50,443.16,106.248,0,0
106.691,9.98,91.131,107.406,20.03,197.293,106.993,30.01,294.985,107.574,39.98,382.273,107.145,49.99,444.307,106.602,19.59,0.178
107.056,9.99,85.951,107.765,20.01,199.97,107.353,30.01,295.09,107.934,39.99,381.577,107.55,49.99,445.667,106.96,0,0
107.43,10,100.357,108.167,20,202.928,107.728,30,295.781,108.338,40.02,379.302,107.916,50,444.065,107.337,31.08,0
107.819,10.02,96.463,108.557,20.02,201.657,108.095,30.01,298.118,108.741,40.03,382.128,108.276,49.98,443.19,107.701,0,0
108.223,9.98,86.617,108.936,20.02,204.131,108.454,30,297.531,109.105,40.04,382.606,108.678,49.97,445.998,108.063,1.64,0
108.59,9.98,93.81,109.296,20.05,203.444,108.858,30,297.798,109.466,40.02,382.2,109.081,49.98,441.379,108.436,0,0.189
108.948,9.98,97.703,109.699,20.02,203.444,109.261,30,298.114,109.869,39.98,379.184,109.447,49.98,445.667,108.788,0,0
109.352,10.01,98.371,110.101,19.95,200.182,109.626,29.99,298.376,110.273,39.97,380.287,109.806,50.02,446.204,109.19,0,0.237
109.738,10.01,90.582,110.467,19.98,197.394,109.987,30.01,299.649,110.637,39.96,378.968,110.208,50,446.089,109.556,0,0
110.13,9.98,95.159,110.827,19.98,199.835,110.378,30,299.442,110.996,39.97,378.68,110.612,50.03,443.492,109.915,0,0
110.534,9.98,89.974,111.23,19.98,203.993,110.767,30,299.434,111.372,40.01,378.345,110.99,49.99,444.154,110.28,0,0
110.898,10,94.462,111.634,20.01,201.277,111.142,30,299.335,111.776,40.01,378.129,111.391,49.96,446.089,110.639,0,0
111.257,10.01,86.007,112,19.99,200.42,111.545,29.99,294.453,112.141,39.99,382.2,111.794,49.95,445.335,110.988,0,0
111.634,10,93.144,112.359,20.02,202.378,111.912,30,295.038,112.499,40.01,383.156,112.174,49.98,444.398,111.395,0,0
112.038,10.02,87.961,112.761,20.01,203.65,112.27,29.98,297.37,112.904,39.99,379.375,112.573,49.84,9.218,111.758,0,0
112.404,10.01,89.916,113.165,20.01,198.833,112.673,29.99,294.561,113.307,40.02,380.882,112.939,0,4.207,112.118,0,0
112.763,10.01,88.004,113.553,19.99,194.885,113.077,30,295.568,113.673,39.99,382.824,113.299,0,0.055,112.505,0,0
113.166,9.99,91.886,113.928,19.97,196.09,113.443,29.99,300.026,114.031,39.97,380.548,113.674,0,0,112.87,0,0
113.553,9.99,92.552,114.292,19.95,197.494,113.8,29.99,296.098,114.434,39.98,381.577,114.078,0,0,113.258,0,0
113.935,10.02,89.959,114.68,19.98,196.542,114.177,30.01,297.32,114.838,40.01,381.982,114.443,0,0,113.622,0,0
114.294,10.02,86.658,115.045,20.01,199.284,114.581,30.01,297.107,115.204,40.04,379.23,114.801,0,0,114.027,0,0
114.697,10.01,85.355,115.448,20.04,203.409,114.946,30.02,300.761,115.563,40.03,377.579,115.153,0,0,114.39,0,0
115.102,9.98,87.919,115.814,20.04,201.242,115.31,30,298.172,115.939,40,381.722,115.555,0,0,114.759,0,0
115.467,10,91.175,116.174,20.04,203.409,115.709,29.99,295.409,116.327,40,379.23,115.958,0,0,115.154,0,0
115.827,10.01,87.338,116.561,20,197.293,116.111,29.98,296.628,116.691,39.98,380.476,116.346,0,0,115.557,0,0
116.213,9.99,94.492,116.928,20,197.494,116.477,29.98,296.258,117.067,39.99,379.925,116.727,0,0,115.945,0,0
116.579,10,95.749,117.33,19.99,200.97,116.874,30,297.579,117.469,39.97,377.244,117.086,0,0,116.32,0,0
116.982,10,93.871,117.696,19.99,196.156,117.239,30.01,295.727,117.872,39.97,381.171,117.473,0,0,116.684,0,0
117.349,10.01,97.735,118.055,19.96,200.454,117.644,30.01,295.887,118.238,39.98,381.577,117.838,0,0,117.072,0,0
117.707,10,93.204,118.43,20,199.183,118.009,30.01,296.521,118.597,39.98,383.634,118.241,0,0,117.45,0,0
118.084,10,92.478,118.797,20,205.577,118.368,30.01,298.744,119.002,40.01,380.259,118.629,0,0,117.841,0,0
118.448,9.98,97.751,119.155,20,202.997,118.743,29.98,299.818,119.406,40.01,379.925,118.995,0,0,118.217,0,0
118.809,9.98,95.765,119.531,19.97,194.853,119.133,29.99,300.717,119.777,40.02,383.156,119.396,0,0,118.603,0,0
119.185,9.98,93.901,119.896,19.99,199.351,119.513,30,297.74,120.129,40.03,379.158,119.771,0,0,118.969,0,0
119.55,10,93.174,120.257,20.03,196.675,119.872,30,297.161,120.533,40.03,377.507,120.135,0,0,119.372,0,0
119.909,10.02,86.686,120.633,20.02,196.09,120.275,30.01,298.275,120.936,39.97,379.708,120.51,0,0,119.737,0,0
120.285,10.02,92.478,120.998,20.02,194.82,120.642,30,293.394,121.3,39.96,381.287,120.873,0,0,120.097,0,0
120.674,9.99,88.599,121.358,20.01,198.766,121.001,30,296.204,121.661,39.95,379.375,121.236,0,0,120.456,0,0
121.039,9.95,97.829,121.733,19.98,202.825,121.375,30.01,295.462,122.036,39.99,379.419,121.611,0,0,120.839,0,0
121.414,10,89.931,122.13,19.93,204.269,121.78,30,296.524,122.43,40.02,383.415,121.99,0,0,121.197,0,0
121.818,10.02,91.886,122.503,19.98,204.2,122.15,29.97,294.72,122.808,40.04,383.269,122.353,0,0,121.56,0,0
122.19,10.03,86.714,122.861,20.01,202.997,122.506,29.97,297.744,123.164,40.02,380.042,122.708,0,0,121.924,0,0
122.596,10.01,86.728,123.265,20.03,198.631,122.906,29.99,293.71,123.515,40.02,379.302,123.09,0,0,122.294,0,0
122.983,9.98,99.706,123.666,20.06,198.631,123.31,30,300.07,123.89,39.98,380.737,123.463,0,0,122.649,0,0
123.348,10.01,97.177,124.031,19.99,198.53,123.674,30.03,297.851,124.255,39.98,382.792,123.842,0,0,123.024,0,0
123.736,9.99,89.322,124.393,20,199.284,124.034,30.03,297.374,124.613,40,380.114,124.201,0,0,123.412,0,0
124.117,9.97,97.177,124.781,19.99,196.908,124.422,30.01,298.851,124.964,39.99,379.302,124.605,0,0,123.793,0,0
124.476,9.99,100.39,125.145,19.98,196.841,124.788,30,297.103,125.34,40.01,380.548,124.995,0,0,124.151,0,0
124.879,10.03,99.054,125.549,19.98,201.106,125.192,29.98,296.683,125.743,39.99,382.314,125.359,0,0,124.527,0,0
125.265,10.04,91.205,125.914,20.01,201.862,125.595,29.96,296.205,126.109,40.01,378.464,125.734,0,0,124.903,0,0
125.657,10.03,100.944,126.274,20,206.745,125.959,29.99,293.71,126.467,40.01,380.882,126.122,0,0,125.259,0,0
126.07,10.02,99.69,126.652,19.98,204.854,126.319,30,296.414,126.871,40,381.287,126.475,0,0,125.642,0,0
126.449,9.98,95.159,127.038,20.01,201.52,126.722,30.01,297.21,127.274,39.99,383.269,126.848,0,0,126.005,0,0
126.832,9.95,99.006,127.402,20.02,198.665,127.125,30.01,295.143,127.639,39.98,377.842,127.223,0,0,126.356,0,0
127.189,9.98,97.115,127.779,20.02,195.67,127.49,30,299.442,127.998,39.98,379.781,127.576,0,0,126.759,0,0
127.593,9.99,90.582,128.182,19.98,196.056,127.85,29.99,298.328,128.375,39.99,382.719,127.937,0,0,127.145,0,0
127.982,10.02,99.658,128.57,19.99,203.616,128.253,30,298.59,128.739,40,381.214,128.286,0,0,127.511,0,0
128.345,10.02,98.386,128.95,20,196.875,128.602,29.99,297.374,129.1,40,380.664,128.663,0,0,127.858,0,0
128.711,10,99.086,129.31,20.01,196.222,128.954,30,295.197,129.459,39.98,379.781,129.038,0,0,128.207,0,0
129.071,10.01,99.706,129.714,19.97,199.419,129.356,30.01,297.157,129.844,40.01,382.646,129.442,0,0,128.557,0,0
129.474,10.01,99.77,130.079,19.98,200.488,129.744,30.01,299.073,130.23,39.99,382.169,129.828,0,0,128.917,0,0
129.877,10,97.735,130.438,20.01,196.742,130.107,30,293.184,130.617,40.02,380.519,130.195,0,0,129.299,0,0
130.242,10,86.714,130.813,20.04,196.808,130.458,29.98,294.244,131.007,40.01,382.096,130.583,0,0,129.671,0,0
130.601,10,87.31,131.202,20,199.284,130.861,29.99,295.781,131.358,39.99,376.742,130.949,0,0,130.051,0,0
130.96,10.01,99.69,131.567,20,194.885,131.227,30.01,297.851,131.76,39.98,376.813,131.312,0,0,130.411,0,0
131.326,9.98,91.307,131.943,20,204.373,131.586,30.01,298.959,132.125,39.98,378.392,131.684,0,0,130.787,0,0
131.73,9.99,88.641,132.345,19.99,201.004,131.961,30.01,299.019,132.486,39.99,382.242,132.058,0,0,131.152,0,0
132.096,10,95.159,132.749,20,196.575,132.328,29.99,296.734,132.889,40.01,379.564,132.411,0,0,131.525,0,0
132.454,10.05,89.293,133.115,20.02,196.189,132.686,29.98,297.157,133.293,40.02,378.392,132.786,0,0,131.888,0,0
132.843,10.02,88.018,133.475,20.01,201.623,133.091,29.98,297.691,133.656,40.01,378.392,133.159,0,0,132.261,0,0
133.226,10.01,100.341,133.877,19.99,201.208,133.494,30,295.674,134.015,40.02,380.042,133.513,0,0,132.627,0,0
133.61,10,94.538,134.281,20.01,203.719,133.858,30.01,296.045,134.39,40,380.447,133.873,0,0,133.006,0,0
133.978,10,87.99,134.645,19.99,200.623,134.218,30,299.019,134.741,39.97,380.447,134.223,0,0,133.365,0,0
134.338,9.99,88.641,135.006,20,202.378,134.593,30,295.568,135.144,39.98,379.014,134.583,0,0,133.714,0,0
134.741,10,85.437,135.41,19.99,199.452,134.997,30,295.356,135.51,39.99,378.32,134.965,0,0,134.064,0,0
135.128,9.99,89.931,135.797,19.98,203.65,135.363,30,297.37,135.868,40.02,378.942,135.337,0,0,134.424,0,0
135.493,10.02,95.78,136.161,20,200.555,135.723,30,297.37,136.244,40.01,382.646,135.717,0,0,134.806,0,0
135.895,9.99,91.249,136.528,20,199.385,136.126,30,299.281,136.609,40.01,382.096,136.077,0,0,135.178,0,0
136.263,9.99,86.7,136.886,20.01,202.378,136.528,30,297.531,136.969,40.01,379.014,136.48,0,0,135.557,0,0
136.622,10.02,89.293,137.261,20.02,203.134,136.894,29.99,294.558,137.346,40.01,379.014,136.829,0,0,135.917,0,0
137.008,10,86.048,137.667,20.02,197.627,137.254,30,297.531,137.713,39.96,385.688,137.178,0,0,136.32,0,0
137.374,9.98,94.462,138.031,19.98,195.149,137.64,30,295.674,138.072,39.95,378.176,137.527,0,0,136.669,0,0
137.778,10,89.959,138.389,20,198.012,138.006,30.01,297.157,138.447,39.99,377.914,137.887,0,0,137.018,0,0
138.142,10.01,95.749,138.794,19.98,202.344,138.409,30.01,295.568,138.834,40,375.905,138.252,0,0,137.393,0,0
138.5,10,95.734,139.18,19.97,195.471,138.812,30.01,297.21,139.2,40.03,379.275,138.602,0,0,137.76,0,0
138.878,10.01,88.018,139.545,20.01,196.908,139.177,29.99,294.296,139.575,40.03,379.347,138.989,0,0,138.133,0,0
139.243,10,96.463,139.935,20.01,195.603,139.538,29.99,299.549,139.98,40.01,380.229,139.355,0,0,138.512,0,0
139.602,9.97,101.677,140.314,20.01,195.116,139.94,29.99,293.766,140.383,39.99,379.897,139.743,0,0,138.872,0,0
139.98,9.98,98.434,140.674,20.02,201.14,140.29,30,299.764,140.747,39.98,378.536,140.11,0,0,139.222,0,0
140.344,10.01,90.655,141.078,20.01,201.242,140.693,29.99,295.938,141.108,39.99,381.256,140.474,0,0,139.611,0,0
140.704,10.02,99.054,141.443,19.98,202.275,141.059,29.99,300.771,141.512,39.99,380.592,140.831,0,0,139.974,0,0
141.08,10.01,95.78,141.804,19.98,198.146,141.418,29.99,296.045,141.913,39.98,375.713,141.235,0,0,140.326,34.02,0.147
141.469,10.01,97.813,142.179,20,203.547,141.793,29.99,297.744,142.279,39.99,376.933,141.639,0,0,140.727,0,0
141.85,10,99.102,142.569,20.02,202.173,142.143,30.01,299.918,142.64,40.01,380.374,142.002,0,0,141.114,31.66,0
142.209,9.99,97.766,142.932,20,197.945,142.545,30.02,295.94,143.043,40.02,381.951,142.365,0,0,141.479,0,4.819
142.611,9.98,96.509,143.308,19.97,200.42,142.912,30.01,297.851,143.444,40.02,379.13,142.74,0,0,141.83,6.11,0
142.977,10.02,93.886,143.754,19.98,205.403,143.271,30,293.868,143.796,39.99,377.482,143.116,0,0,142.232,0,0.113
143.337,10.01,91.974,144.113,20.02,201.208,143.674,29.99,296.521,144.181,39.98,382.023,143.494,0,0,142.598,0,0
143.711,10.02,90.655,144.49,20.03,202.928,144.061,29.99,294.772,144.548,39.99,375.427,143.868,0,0,142.957,0,0.109
144.116,10,86.048,144.893,20,200.454,144.427,29.99,295.832,144.924,39.98,378.725,144.273,0,0,143.332,0,0
144.482,10.01,96.432,145.258,20,204.097,144.83,29.98,296.361,145.326,40.01,379.825,144.66,0,0,143.698,0,0.203
144.841,10,93.189,145.616,19.99,202.378,145.196,30,297.214,145.73,40.01,379.535,145.027,0,0,144.057,0,0
145.245,10,91.871,145.993,20.01,203.547,145.557,30.01,296.896,146.095,40.02,378.725,145.4,0,0,144.417,36.75,0
145.633,9.98,89.322,146.382,19.99,195.149,145.96,30.02,297.851,146.453,40.01,378.437,145.803,0,0,144.796,0,0
146.023,10,99.102,146.762,19.98,204.373,146.361,30.01,298.429,146.858,39.98,379.419,146.192,0,0,145.185,36.36,0
146.427,10,93.901,147.121,19.99,197.527,146.729,30,297.686,147.236,39.96,376.67,146.557,0,0,145.552,0,0.615
146.792,9.99,91.974,147.509,20,204.131,147.088,29.98,298.429,147.61,39.97,379.825,146.921,0,0,145.912,39.64,0
147.151,10,97.751,147.875,19.99,200.072,147.492,29.98,296.734,147.977,40,380.302,147.281,0,0,146.299,0.69,0.036
147.528,10,99.134,148.278,20.03,201.004,147.893,30,297.691,148.334,40.01,380.012,147.684,0,0,146.663,0,0
147.916,10.01,97.099,148.665,20.02,203.066,148.259,30.01,300.771,148.738,40.01,378.581,148.048,0,0,147.014,1.65,0.194
148.296,10.02,97.13,149.045,20.01,201.106,148.62,30.01,299.335,149.142,40.01,380.084,148.423,0,0,147.361,0,0.953
148.655,10.01,93.871,149.406,20.01,203.823,149.022,30.01,293.078,149.509,40.02,380.084,148.786,0,0,147.737,7.71,0
149.059,10,99.054,149.793,20.01,195.017,149.409,29.99,293.661,149.866,39.99,378.914,149.175,0,0,148.102,0,0.214
149.425,9.98,99.738,150.16,20,198.766,149.774,29.98,295.674,150.243,39.99,379.608,149.553,0,0,148.507,30.22,0
149.784,9.99,93.264,150.56,19.98,200.106,150.141,30,297.001,150.609,39.99,381.732,149.913,0,0,148.864,13.99,0.2
150.16,10,100.406,150.927,19.96,204.888,150.498,30,297.686,150.967,40,380.084,150.262,0,0,149.217,0,0
150.565,10,98.418,151.293,20,202.997,150.874,30,296.787,151.327,39.99,379.203,150.638,0,0,149.603,39.52,0.194
150.929,9.98,89.351,151.69,20.02,200.657,151.225,30.01,297.958,151.694,40,378.841,150.987,0,0,149.969,0,0
151.289,10.01,98.45,152.093,20,196.222,151.628,29.99,297.632,152.096,39.99,380.779,151.336,0,0,150.37,41.41,0
151.694,10.02,87.45,152.459,20.02,196.875,151.994,30,297.214,152.484,39.99,380.374,151.686,0,0,150.719,0,0
152.098,10.01,88.67,152.82,20,197.108,152.353,30,296.736,152.859,40,381.732,152.089,0,0,151.068,0,0
152.461,10,94.583,153.222,19.98,200.589,152.729,30,297.793,153.226,39.99,380.157,152.439,0,0,151.418,0,0.517
152.822,9.98,88.641,153.609,19.99,200.555,153.117,29.99,296.681,153.628,40,379.752,152.843,58.02,0,151.824,0,0
153.244,9.98,91.234,153.99,20.02,201.379,153.497,30,297.32,153.993,40.02,379.535,153.207,35.01,0,152.207,0,0.16
153.628,10.01,100.39,154.349,20.01,202.549,153.858,30,298.376,154.353,40.02,378.653,153.568,34.81,0,152.593,0,0
