Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.318,36.988,443.856,0,0,443.856
84.928,0.31482,36.626,439.512,2.8,0.637,436.712
169.857,0.31164,36.265,435.18,5.543,1.274,429.637
254.785,0.30846,35.903,430.836,8.23,1.91,422.606
339.713,0.30528,35.542,426.504,10.86,2.546,415.644
424.642,0.3021,35.18,422.16,13.434,3.182,408.726
509.57,0.29892,34.818,417.816,15.951,3.818,401.865
594.498,0.29574,34.457,413.484,18.411,4.453,395.073
679.427,0.29256,34.095,409.14,20.815,5.088,388.325
764.355,0.28938,33.734,404.808,23.163,5.722,381.645
849.283,0.2862,33.372,400.464,25.454,6.356,375.01
934.212,0.28302,33.01,396.12,27.688,6.99,368.432
1019.14,0.27984,32.649,391.788,29.866,7.623,361.922
1104.068,0.27666,32.287,387.444,31.987,8.256,355.457
1188.997,0.27348,31.926,383.112,34.051,8.888,349.061
1273.925,0.2703,31.564,378.768,36.059,9.52,342.709
1358.853,0.26712,31.202,374.424,38.011,10.152,336.413
1443.782,0.26394,30.841,370.092,39.906,10.783,330.186
1528.71,0.26076,30.479,365.748,41.744,11.413,324.004
1613.638,0.25758,30.118,361.416,43.526,12.043,317.89
1698.567,0.2544,29.756,357.072,45.251,12.673,311.821
1783.495,0.25122,29.394,352.728,46.92,13.302,305.808
1868.423,0.24804,29.033,348.396,48.532,13.93,299.864
1953.352,0.24486,28.671,344.052,50.087,14.558,293.965
2038.28,0.24168,28.31,339.72,51.586,15.185,288.134
2123.209,0.2385,27.948,335.376,53.029,15.812,282.347
2208.137,0.23532,27.586,331.032,54.414,16.438,276.618
2293.065,0.23214,27.225,326.7,55.744,17.063,270.956
2377.994,0.22896,26.863,322.356,57.016,17.687,265.34
2462.922,0.22578,26.502,318.024,58.232,18.311,259.792
2547.85,0.2226,26.14,313.68,59.392,18.934,254.288
2632.779,0.21942,25.778,309.336,60.495,19.556,248.841
2717.707,0.21624,25.417,305.004,61.541,20.177,243.463
2802.635,0.21306,25.055,300.66,62.531,20.798,238.129
2887.564,0.20988,24.694,296.328,63.465,21.417,232.863
2972.492,0.2067,24.332,291.984,64.341,22.036,227.643
3057.42,0.20352,23.97,287.64,65.161,22.654,222.479
3142.349,0.20034,23.609,283.308,65.925,23.27,217.383
3227.277,0.19716,23.247,278.964,66.632,23.886,212.332
3312.205,0.19398,22.886,274.632,67.283,24.499,207.349
3397.134,0.1908,22.524,270.288,67.877,25.113,202.411
3482.062,0.18762,22.162,265.944,68.414,25.725,197.53
3566.99,0.18444,21.801,261.612,68.895,26.335,192.717
3651.919,0.18126,21.439,257.268,69.319,26.944,187.949
3736.847,0.17808,21.078,252.936,69.687,27.551,183.249
3821.775,0.1749,20.716,248.592,69.998,28.158,178.594
3906.704,0.17172,20.354,244.248,70.252,28.763,173.996
3991.632,0.16854,19.993,239.916,70.45,29.364,169.466
4076.56,0.16536,19.631,235.572,70.592,29.966,164.98
4161.489,0.16218,19.27,231.24,70.676,30.564,160.564
4246.417,0.159,18.908,226.896,70.705,31.162,156.191
4331.345,0.15582,18.546,222.552,70.676,31.757,151.876
4416.274,0.15264,18.185,218.22,70.592,32.349,147.628
4501.202,0.14946,17.823,213.876,70.45,32.94,143.426
4586.13,0.14628,17.462,209.544,70.252,33.526,139.292
4671.059,0.1431,17.1,205.2,69.998,34.112,135.202
4755.987,0.13992,16.738,200.856,69.687,34.695,131.169
4840.915,0.13674,16.377,196.524,69.319,35.273,127.205
4925.844,0.13356,16.015,192.18,68.895,35.849,123.285
5010.772,0.13038,15.654,187.848,68.414,36.42,119.434
5095.7,0.1272,15.292,183.504,67.877,36.989,115.627
5180.629,0.12402,14.93,179.16,67.283,37.555,111.877
5265.557,0.12084,14.569,174.828,66.632,38.113,108.196
5350.485,0.11766,14.207,170.484,65.925,38.669,104.559
5435.414,0.11448,13.846,166.152,65.161,39.218,100.991
5520.342,0.1113,13.484,161.808,64.341,39.764,97.467
5605.27,0.10812,13.122,157.464,63.465,40.304,93.999
5690.199,0.10494,12.761,153.132,62.531,40.835,90.601
5775.127,0.10176,12.399,148.788,61.541,41.362,87.247
5860.055,0.09858,12.038,144.456,60.495,41.878,83.961
5944.984,0.0954,11.676,140.112,59.392,42.389,80.72
6029.912,0.09222,11.314,135.768,58.232,42.891,77.536
6114.84,0.08904,10.953,131.436,57.016,43.379,74.42
6199.769,0.08586,10.591,127.092,55.744,43.861,71.348
6284.697,0.08268,10.23,122.76,54.414,44.326,68.346
6369.626,0.0795,9.868,118.416,53.029,44.782,65.387
6454.554,0.07632,9.506,114.072,51.586,45.222,62.486
6539.482,0.07314,9.145,109.74,50.087,45.642,59.653
6624.411,0.06996,8.783,105.396,48.532,46.047,56.864
6709.339,0.06678,8.422,101.064,46.92,46.426,54.144
6794.267,0.0636,8.06,96.72,45.251,46.786,51.469
6879.196,0.06042,7.698,92.376,43.526,47.118,48.85
6964.124,0.05724,7.337,88.044,41.744,47.413,46.3
7049.052,0.05406,6.975,83.7,39.906,47.677,43.794
7133.981,0.05088,6.614,79.368,38.011,47.892,41.357
7218.909,0.0477,6.252,75.024,36.059,48.063,38.965
7303.837,0.04452,5.89,70.68,34.051,48.176,36.629
7388.766,0.04134,5.529,66.348,31.987,48.211,34.361
7473.694,0.03816,5.167,62.004,29.866,48.168,32.138
7558.622,0.03498,4.806,57.672,27.688,48.009,29.984
7643.551,0.0318,4.444,53.328,25.454,47.731,27.874
7728.479,0.02862,4.082,48.984,23.163,47.287,25.821
7813.407,0.02544,3.721,44.652,20.815,46.616,23.837
7898.336,0.02226,3.359,40.308,18.412,45.678,21.896
7983.264,0.01908,2.998,35.976,15.951,44.338,20.025
8068.192,0.0159,2.636,31.632,13.434,42.47,18.198
8153.121,0.01272,2.274,27.288,10.86,39.798,16.428
8238.049,0.00954,1.913,22.956,8.23,35.851,14.726
8322.977,0.00636,1.551,18.612,5.543,29.782,13.069
8407.906,0.00318,1.19,14.28,2.8,19.608,11.48
8492.834,0,0.828,9.936,0,0,9.936
