Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.165,9.403,112.836,0,0,112.836
36.184,0.16335,9.315,111.78,0.619,0.554,111.161
72.368,0.1617,9.228,110.736,1.225,1.106,109.511
108.551,0.16005,9.14,109.68,1.819,1.658,107.861
144.735,0.1584,9.052,108.624,2.401,2.21,106.223
180.919,0.15675,8.964,107.568,2.97,2.761,104.598
217.103,0.1551,8.877,106.524,3.526,3.31,102.998
253.287,0.15345,8.789,105.468,4.07,3.859,101.398
289.47,0.1518,8.701,104.412,4.602,4.408,99.81
325.654,0.15015,8.614,103.368,5.12,4.953,98.248
361.838,0.1485,8.526,102.312,5.627,5.5,96.685
398.022,0.14685,8.438,101.256,6.121,6.045,95.135
434.205,0.1452,8.35,100.2,6.602,6.589,93.598
470.389,0.14355,8.263,99.156,7.071,7.131,92.085
506.573,0.1419,8.175,98.1,7.528,7.674,90.572
542.757,0.14025,8.087,97.044,7.971,8.214,89.073
578.941,0.1386,7.999,95.988,8.403,8.754,87.585
615.124,0.13695,7.912,94.944,8.822,9.292,86.122
651.308,0.1353,7.824,93.888,9.228,9.829,84.66
687.492,0.13365,7.736,92.832,9.622,10.365,83.21
723.676,0.132,7.649,91.788,10.003,10.898,81.785
759.86,0.13035,7.561,90.732,10.372,11.431,80.36
796.043,0.1287,7.473,89.676,10.729,11.964,78.947
832.227,0.12705,7.385,88.62,11.072,12.494,77.548
868.411,0.1254,7.298,87.576,11.404,13.022,76.172
904.595,0.12375,7.21,86.52,11.723,13.549,74.797
940.779,0.1221,7.122,85.464,12.029,14.075,73.435
976.962,0.12045,7.035,84.42,12.323,14.597,72.097
1013.146,0.1188,6.947,83.364,12.604,15.119,70.76
1049.33,0.11715,6.859,82.308,12.873,15.64,69.435
1085.514,0.1155,6.771,81.252,13.129,16.158,68.123
1121.697,0.11385,6.684,80.208,13.373,16.673,66.835
1157.881,0.1122,6.596,79.152,13.605,17.188,65.547
1194.065,0.11055,6.508,78.096,13.823,17.7,64.273
1230.249,0.1089,6.421,77.052,14.03,18.208,63.022
1266.433,0.10725,6.333,75.996,14.224,18.717,61.772
1302.616,0.1056,6.245,74.94,14.405,19.222,60.535
1338.8,0.10395,6.157,73.884,14.574,19.726,59.31
1374.984,0.1023,6.07,72.84,14.73,20.222,58.11
1411.168,0.10065,5.982,71.784,14.874,20.72,56.91
1447.352,0.099,5.894,70.728,15.005,21.215,55.723
1483.535,0.09735,5.806,69.672,15.124,21.707,54.548
1519.719,0.0957,5.719,68.628,15.23,22.192,53.398
1555.903,0.09405,5.631,67.572,15.324,22.678,52.248
1592.087,0.0924,5.543,66.516,15.405,23.16,51.111
1628.271,0.09075,5.456,65.472,15.474,23.635,49.998
1664.454,0.0891,5.368,64.416,15.53,24.109,48.886
1700.638,0.08745,5.28,63.36,15.574,24.58,47.786
1736.822,0.0858,5.192,62.304,15.605,25.047,46.699
1773.006,0.08415,5.105,61.26,15.624,25.504,45.636
1809.19,0.0825,5.017,60.204,15.63,25.962,44.574
1845.373,0.08085,4.929,59.148,15.624,26.415,43.524
1881.557,0.0792,4.842,58.104,15.605,26.857,42.499
1917.741,0.07755,4.754,57.048,15.574,27.3,41.474
1953.925,0.0759,4.666,55.992,15.53,27.736,40.462
1990.108,0.07425,4.578,54.936,15.474,28.167,39.462
2026.292,0.0726,4.491,53.892,15.405,28.585,38.487
2062.476,0.07095,4.403,52.836,15.324,29.003,37.512
2098.66,0.0693,4.315,51.78,15.23,29.413,36.55
2134.844,0.06765,4.228,50.736,15.124,29.809,35.612
2171.027,0.066,4.14,49.68,15.005,30.203,34.675
2207.211,0.06435,4.052,48.624,14.874,30.59,33.75
2243.395,0.0627,3.964,47.568,14.73,30.966,32.838
2279.579,0.06105,3.877,46.524,14.574,31.326,31.95
2315.763,0.0594,3.789,45.468,14.405,31.682,31.063
2351.946,0.05775,3.701,44.412,14.224,32.027,30.188
2388.13,0.0561,3.613,43.356,14.03,32.36,29.326
2424.314,0.05445,3.526,42.312,13.823,32.669,28.489
2460.498,0.0528,3.438,41.256,13.605,32.977,27.651
2496.682,0.05115,3.35,40.2,13.373,33.266,26.827
2532.865,0.0495,3.263,39.156,13.129,33.53,26.027
2569.049,0.04785,3.175,38.1,12.873,33.787,25.227
2605.233,0.0462,3.087,37.044,12.604,34.024,24.44
2641.417,0.04455,2.999,35.988,12.323,34.242,23.665
2677.6,0.0429,2.912,34.944,12.029,34.424,22.915
2713.784,0.04125,2.824,33.888,11.723,34.593,22.165
