2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N á m),Time,Amps,Volts,Torque 4V (N á m),Time,Amps,Volts,Torque 6V (N á m),Time,Amps,Volts,Torque 8V (N á m),Time,Amps,Volts,Torque 10V (N á m),Time,Amps,Volts,Torque 12V (N á m)
164.859,22.01,2,0.13,164.28,33.49,4.001,0.206,164.161,43.23,6.001,0.156,,,,,,,,,,,,
165.21,22.02,2,0.13,164.629,33.48,4.001,0.206,164.538,43.21,6.001,0.156,,,,,,,,,,,,
165.559,22.01,2,0.13,164.979,33.47,4.001,0.205,164.886,43.21,6.001,0.156,,,,,,,,,,,,
165.933,22.01,2,0.13,165.355,33.46,4.001,0.205,165.236,43.2,6.001,0.157,,,,,,,,,,,,
166.284,22.01,2,0.13,165.703,33.45,4,0.205,165.584,43.2,6.001,0.156,,,,,,,,,,,,
166.632,22.01,2,0.13,166.053,33.44,4.001,0.205,165.934,43.19,6.001,0.156,,,,,,,,,,,,
166.982,22.01,2,0.13,166.403,33.43,4,0.205,166.312,43.18,6.001,0.156,,,,,,,,,,,,
167.329,22,2,0.13,166.753,33.42,4.001,0.205,166.66,43.16,6.001,0.156,,,,,,,,,,,,
167.706,22.01,2,0.13,167.101,33.41,4.001,0.205,167.009,43.16,6.001,0.156,,,,,,,,,,,,
168.054,22.01,2,0.13,167.478,33.4,4.001,0.205,167.358,43.14,6.001,0.156,,,,,,,,,,,,
168.404,22.01,2,0.13,167.826,33.39,4.001,0.205,167.707,43.13,6.001,0.156,,,,,,,,,,,,
168.752,22,2,0.13,168.177,33.38,4.001,0.204,168.084,43.12,6.001,0.156,,,,,,,,,,,,
169.102,22,2,0.13,168.524,33.37,4.001,0.204,168.432,43.12,6.001,0.155,,,,,,,,,,,,
169.479,22,2,0.13,168.875,33.34,4.001,0.204,168.78,43.1,6.001,0.155,,,,,,,,,,,,
169.827,22,2,0.13,169.223,33.33,4.001,0.204,169.131,43.09,6.001,0.156,,,,,,,,,,,,
170.176,21.99,2,0.13,169.599,33.31,4.001,0.204,169.479,43.08,6.001,0.155,,,,,,,,,,,,
170.526,21.99,2,0.13,169.948,33.3,4.001,0.204,169.855,43.07,6.001,0.155,,,,,,,,,,,,
170.876,21.98,2,0.13,170.299,33.29,4.001,0.203,170.204,43.04,6.001,0.155,,,,,,,,,,,,
171.252,21.98,2,0.13,170.648,33.27,4,0.203,170.553,43.03,6.001,0.155,,,,,,,,,,,,
171.628,21.98,2,0.13,170.997,33.26,4.001,0.204,170.903,43.02,6.001,0.155,,,,,,,,,,,,
171.977,21.98,2,0.13,171.372,33.24,4.001,0.203,171.252,42.98,6.001,0.155,,,,,,,,,,,,
172.326,21.97,2,0.13,171.721,33.23,4.001,0.203,171.628,42.95,6.001,0.155,,,,,,,,,,,,
172.702,21.97,2,0.13,172.07,33.22,4.001,0.203,171.977,42.95,6.001,0.155,,,,,,,,,,,,
173.051,21.96,2,0.13,172.419,33.22,4.001,0.203,172.326,42.93,6.001,0.154,,,,,,,,,,,,
173.399,21.96,2,0.13,172.795,33.2,4.001,0.203,172.675,42.88,6.001,0.154,,,,,,,,,,,,
173.75,21.96,2,0.129,173.143,33.19,4.001,0.202,173.023,42.83,6.001,0.154,,,,,,,,,,,,
174.097,21.96,2,0.13,173.492,33.19,4,0.203,173.374,42.76,6.001,0.154,,,,,,,,,,,,
174.473,21.95,2,0.13,173.843,33.18,4.001,0.202,173.733,42.71,6.001,0.154,,,,,,,,,,,,
174.824,21.95,2,0.13,174.191,33.17,4.001,0.202,174.089,42.68,6.001,0.153,,,,,,,,,,,,
175.172,21.95,2,0.129,174.541,33.16,4.001,0.202,174.448,42.61,6.001,0.153,,,,,,,,,,,,
175.522,21.95,2,0.13,174.917,33.16,4.001,0.202,174.798,42.56,6.001,0.153,,,,,,,,,,,,
175.897,21.94,2,0.129,175.266,33.16,4.001,0.202,175.146,42.53,6.001,0.153,,,,,,,,,,,,
176.263,21.94,2,0.13,175.615,33.16,4.001,0.202,175.496,42.48,6.001,0.153,,,,,,,,,,,,
176.623,21.94,2,0.13,175.963,33.15,4.001,0.202,175.873,42.45,6.001,0.153,,,,,,,,,,,,
176.972,21.94,2,0.13,176.313,33.16,4.001,0.202,176.222,42.44,6.001,0.152,,,,,,,,,,,,
177.348,21.93,2,0.129,176.663,33.17,4.001,0.202,176.572,42.37,6.001,0.152,,,,,,,,,,,,
177.697,21.93,2,0.13,177.039,33.19,4,0.202,176.921,42.34,6.001,0.152,,,,,,,,,,,,
178.046,21.92,2,0.129,177.387,33.19,4.001,0.201,177.269,42.31,6.001,0.152,,,,,,,,,,,,
178.395,21.93,2,0.13,177.737,33.2,4.001,0.202,177.645,42.3,6.001,0.152,,,,,,,,,,,,
178.745,21.92,2,0.129,178.086,33.21,4.001,0.201,177.994,42.32,6.001,0.152,,,,,,,,,,,,
179.104,21.92,2,0.129,178.436,33.22,4.001,0.201,178.342,42.28,6.001,0.152,,,,,,,,,,,,
179.459,21.92,2,0.129,178.812,33.23,4.001,0.201,178.693,42.26,6.001,0.152,,,,,,,,,,,,
179.82,21.92,2,0.129,179.161,33.23,4.001,0.201,179.04,42.22,6.001,0.151,,,,,,,,,,,,
180.167,21.91,2,0.129,179.509,33.23,4.001,0.201,179.416,42.23,6.001,0.149,,,,,,,,,,,,
180.517,21.91,2,0.129,179.859,33.23,4.001,0.201,179.766,54.59,6.001,0.146,,,,,,,,,,,,
180.865,21.9,2,0.129,180.209,33.23,4.001,0.201,180.116,55.38,6.001,0.146,,,,,,,,,,,,
181.242,21.9,2,0.129,180.558,33.22,4.001,0.201,,,,,,,,,,,,,,,,
181.59,21.9,2,0.129,180.932,33.22,4.001,0.201,,,,,,,,,,,,,,,,
181.94,21.9,2,0.129,181.282,33.22,4.001,0.201,,,,,,,,,,,,,,,,
182.294,21.9,2,0.129,181.632,33.21,4.001,0.2,,,,,,,,,,,,,,,,
182.665,21.89,2,0.129,181.98,33.2,4.001,0.201,,,,,,,,,,,,,,,,
183.013,21.89,2,0.129,182.356,33.2,4.001,0.201,,,,,,,,,,,,,,,,
183.363,21.89,2,0.129,182.717,33.19,4.001,0.2,,,,,,,,,,,,,,,,
183.712,21.89,2,0.129,183.109,33.18,4.001,0.2,,,,,,,,,,,,,,,,
184.06,21.89,2,0.129,183.483,33.18,4.001,0.2,,,,,,,,,,,,,,,,
184.41,21.89,2,0.129,183.833,33.16,4.001,0.2,,,,,,,,,,,,,,,,
184.769,21.89,2,0.129,184.183,33.16,4.001,0.2,,,,,,,,,,,,,,,,
185.152,21.88,2,0.129,184.53,33.15,4.001,0.2,,,,,,,,,,,,,,,,
185.511,21.88,2,0.129,184.907,33.18,4.001,0.2,,,,,,,,,,,,,,,,
185.888,21.88,2,0.129,185.256,33.1,4.001,0.199,,,,,,,,,,,,,,,,
186.235,21.87,2,0.129,185.605,32.94,4.001,0.199,,,,,,,,,,,,,,,,
186.585,21.87,2,0.129,185.954,32.94,4.001,0.198,,,,,,,,,,,,,,,,
186.934,21.87,2,0.129,186.33,32.91,4.001,0.198,,,,,,,,,,,,,,,,
187.284,21.87,2,0.129,186.679,32.89,4.001,0.198,,,,,,,,,,,,,,,,
187.658,21.86,2,0.129,187.028,32.86,4.001,0.198,,,,,,,,,,,,,,,,
188.009,21.86,2,0.129,187.377,32.83,4.001,0.198,,,,,,,,,,,,,,,,
188.359,21.86,2,0.129,187.727,32.79,4.001,0.198,,,,,,,,,,,,,,,,
188.708,21.86,2,0.129,188.076,32.78,4.001,0.197,,,,,,,,,,,,,,,,
189.056,21.85,2,0.129,188.452,32.76,4.001,0.197,,,,,,,,,,,,,,,,
189.433,21.85,2,0.129,188.801,32.76,4.001,0.197,,,,,,,,,,,,,,,,
189.781,21.85,2,0.129,189.158,32.75,4.001,0.197,,,,,,,,,,,,,,,,
190.131,21.85,2,0.129,189.553,32.74,4.001,0.196,,,,,,,,,,,,,,,,
190.48,21.84,2,0.129,189.901,32.72,4.001,0.197,,,,,,,,,,,,,,,,
190.829,21.84,2,0.129,190.251,32.72,4,0.197,,,,,,,,,,,,,,,,
191.178,21.84,2,0.129,190.601,32.71,4.001,0.196,,,,,,,,,,,,,,,,
191.555,21.84,2,0.129,190.976,32.71,4.001,0.196,,,,,,,,,,,,,,,,
191.902,21.84,2,0.129,191.326,32.71,4.001,0.196,,,,,,,,,,,,,,,,
192.253,21.83,2,0.129,191.675,32.71,4.001,0.196,,,,,,,,,,,,,,,,
192.602,21.83,2,0.129,192.024,32.7,4.001,0.196,,,,,,,,,,,,,,,,
192.952,21.83,2,0.129,192.373,32.69,4.001,0.195,,,,,,,,,,,,,,,,
193.328,21.83,2,0.129,192.722,32.69,4.001,0.195,,,,,,,,,,,,,,,,
193.677,21.82,2,0.129,193.099,32.69,4.001,0.195,,,,,,,,,,,,,,,,
194.026,21.82,2,0.129,193.447,32.69,4.001,0.195,,,,,,,,,,,,,,,,
194.376,21.82,2,0.129,193.798,32.68,4.001,0.195,,,,,,,,,,,,,,,,
194.724,21.81,2,0.129,194.146,32.67,4.001,0.195,,,,,,,,,,,,,,,,
195.098,21.82,2,0.129,194.496,32.66,4.001,0.195,,,,,,,,,,,,,,,,
195.449,21.82,2,0.129,194.843,32.64,4.001,0.195,,,,,,,,,,,,,,,,
195.797,21.81,2,0.129,195.221,32.65,4,0.194,,,,,,,,,,,,,,,,
196.148,21.81,2,0.129,195.57,32.56,4.001,0.194,,,,,,,,,,,,,,,,
196.496,21.81,2,0.129,195.918,32.58,4.001,0.194,,,,,,,,,,,,,,,,
196.871,21.81,2,0.129,196.267,32.59,4.001,0.194,,,,,,,,,,,,,,,,
197.22,21.81,2,0.128,196.618,32.57,4.001,0.194,,,,,,,,,,,,,,,,
197.57,21.8,2,0.129,196.967,32.57,4.001,0.194,,,,,,,,,,,,,,,,
197.919,21.8,2,0.129,197.342,32.57,4.001,0.194,,,,,,,,,,,,,,,,
198.268,21.8,2,0.129,197.692,32.57,4.001,0.194,,,,,,,,,,,,,,,,
198.644,21.79,2,0.128,198.039,32.55,4.001,0.194,,,,,,,,,,,,,,,,
198.994,21.79,2,0.128,198.39,32.54,4.001,0.193,,,,,,,,,,,,,,,,
199.342,21.79,2,0.129,198.738,32.53,4.001,0.194,,,,,,,,,,,,,,,,
199.691,21.79,2,0.129,199.114,32.53,4.001,0.194,,,,,,,,,,,,,,,,
200.04,21.78,2,0.129,199.462,32.54,4.001,0.193,,,,,,,,,,,,,,,,
200.417,21.78,2,0.129,199.812,32.54,4.001,0.193,,,,,,,,,,,,,,,,
200.765,21.78,2,0.128,200.162,32.54,4.001,0.193,,,,,,,,,,,,,,,,
201.115,21.78,2,0.129,200.537,32.56,4.001,0.193,,,,,,,,,,,,,,,,
201.465,21.77,2,0.128,200.886,32.57,4.001,0.193,,,,,,,,,,,,,,,,
201.828,21.77,2,0.129,201.237,32.57,4.001,0.193,,,,,,,,,,,,,,,,
202.216,21.77,2,0.129,201.586,32.57,4.001,0.193,,,,,,,,,,,,,,,,
202.565,21.77,2,0.129,201.935,32.56,4.001,0.193,,,,,,,,,,,,,,,,
202.914,21.76,2,0.129,202.284,32.57,4.001,0.193,,,,,,,,,,,,,,,,
203.264,21.76,2,0.129,202.66,32.57,4.001,0.193,,,,,,,,,,,,,,,,
203.64,21.76,2,0.129,203.01,32.55,4.001,0.193,,,,,,,,,,,,,,,,
203.989,21.76,2,0.129,203.359,32.55,4.001,0.192,,,,,,,,,,,,,,,,
204.338,21.76,2,0.129,203.707,32.54,4.001,0.192,,,,,,,,,,,,,,,,
204.686,21.75,2,0.129,204.057,32.55,4.001,0.192,,,,,,,,,,,,,,,,
205.036,21.75,2,0.129,204.433,32.56,4.001,0.192,,,,,,,,,,,,,,,,
205.386,21.75,2,0.128,204.782,32.57,4.001,0.192,,,,,,,,,,,,,,,,
205.763,21.75,2,0.128,205.131,32.56,4.001,0.192,,,,,,,,,,,,,,,,
206.111,21.74,2,0.129,205.481,32.56,4.001,0.191,,,,,,,,,,,,,,,,
206.462,21.74,2,0.128,205.83,32.56,4.001,0.192,,,,,,,,,,,,,,,,
206.81,21.74,2,0.128,206.179,32.54,4.001,0.191,,,,,,,,,,,,,,,,
207.159,21.73,2,0.128,206.555,32.52,4.001,0.191,,,,,,,,,,,,,,,,
207.536,21.73,2,0.128,206.903,32.51,4.001,0.191,,,,,,,,,,,,,,,,
207.885,21.73,2,0.128,207.253,32.5,4.001,0.191,,,,,,,,,,,,,,,,
208.234,21.73,2,0.128,207.601,32.49,4.001,0.191,,,,,,,,,,,,,,,,
208.583,21.72,2,0.128,207.995,32.49,4.001,0.191,,,,,,,,,,,,,,,,
208.932,21.72,2,0.128,208.354,32.49,4.001,0.191,,,,,,,,,,,,,,,,
209.307,21.72,2,0.128,208.702,32.47,4.001,0.191,,,,,,,,,,,,,,,,
209.656,21.72,2,0.128,209.061,32.46,4.001,0.191,,,,,,,,,,,,,,,,
210.005,21.72,2,0.128,209.417,32.46,4.001,0.191,,,,,,,,,,,,,,,,
210.355,21.71,2,0.128,209.776,32.44,4.001,0.191,,,,,,,,,,,,,,,,
210.704,21.71,2,0.128,210.126,32.46,4.001,0.19,,,,,,,,,,,,,,,,
211.079,21.71,2,0.128,210.474,32.45,4.001,0.19,,,,,,,,,,,,,,,,
211.428,21.7,2,0.128,210.824,32.44,4.001,0.19,,,,,,,,,,,,,,,,
211.777,21.7,2,0.128,211.201,32.45,4.001,0.19,,,,,,,,,,,,,,,,
212.127,21.7,2,0.128,211.551,32.45,4.001,0.189,,,,,,,,,,,,,,,,
212.476,21.7,2,0.128,211.898,32.42,4.001,0.19,,,,,,,,,,,,,,,,
212.852,21.7,2,0.128,212.248,32.41,4.001,0.19,,,,,,,,,,,,,,,,
213.201,21.69,2,0.128,212.597,32.41,4.001,0.189,,,,,,,,,,,,,,,,
213.55,21.7,2,0.128,212.972,32.39,4.001,0.189,,,,,,,,,,,,,,,,
213.899,21.69,2,0.128,213.322,32.39,4.001,0.189,,,,,,,,,,,,,,,,
214.249,21.69,2,0.128,213.67,32.38,4.001,0.189,,,,,,,,,,,,,,,,
214.625,21.69,2,0.128,214.019,32.37,4.001,0.189,,,,,,,,,,,,,,,,
214.973,21.68,2,0.128,214.368,32.37,4.001,0.188,,,,,,,,,,,,,,,,
215.324,21.68,2,0.128,214.744,32.34,4.001,0.188,,,,,,,,,,,,,,,,
215.672,21.68,2,0.128,215.092,32.33,4.001,0.188,,,,,,,,,,,,,,,,
216.021,21.67,2,0.128,215.443,32.32,4.001,0.188,,,,,,,,,,,,,,,,
216.37,21.67,2,0.128,215.792,32.31,4.001,0.188,,,,,,,,,,,,,,,,
216.746,21.67,2,0.128,216.141,32.3,4.001,0.188,,,,,,,,,,,,,,,,
217.095,21.67,2,0.128,216.517,32.29,4.001,0.188,,,,,,,,,,,,,,,,
217.445,21.66,2,0.128,216.866,32.28,4.001,0.188,,,,,,,,,,,,,,,,
217.794,21.65,2,0.128,217.215,32.26,4.001,0.188,,,,,,,,,,,,,,,,
218.143,21.65,2,0.128,217.564,32.26,4.001,0.187,,,,,,,,,,,,,,,,
218.519,21.65,2,0.128,217.913,32.25,4.001,0.187,,,,,,,,,,,,,,,,
218.868,21.65,2,0.128,218.29,32.24,4.001,0.187,,,,,,,,,,,,,,,,
219.218,21.65,2,0.128,218.639,32.23,4.001,0.187,,,,,,,,,,,,,,,,
219.567,21.64,2,0.128,218.989,32.21,4.001,0.187,,,,,,,,,,,,,,,,
219.916,21.64,2,0.128,219.356,32.2,4.001,0.186,,,,,,,,,,,,,,,,
220.291,21.64,2,0.128,219.741,32.19,4.001,0.186,,,,,,,,,,,,,,,,
220.639,21.63,2,0.128,220.09,32.17,4.001,0.186,,,,,,,,,,,,,,,,
220.989,21.63,2,0.128,220.44,32.15,4.001,0.186,,,,,,,,,,,,,,,,
221.339,21.63,2,0.128,220.788,32.14,4.001,0.186,,,,,,,,,,,,,,,,
221.687,21.63,2,0.128,221.164,32.11,4.001,0.186,,,,,,,,,,,,,,,,
222.064,21.62,2,0.128,221.513,32.1,4.001,0.185,,,,,,,,,,,,,,,,
222.412,21.62,2,0.128,221.863,32.09,4.001,0.185,,,,,,,,,,,,,,,,
222.761,21.61,2,0.127,222.211,32.07,4.001,0.185,,,,,,,,,,,,,,,,
223.112,21.61,2,0.128,222.561,32.05,4.001,0.185,,,,,,,,,,,,,,,,
223.46,21.6,2,0.127,222.911,32.02,4.001,0.185,,,,,,,,,,,,,,,,
223.811,21.6,2,0.128,223.27,32.01,4.001,0.185,,,,,,,,,,,,,,,,
224.187,21.6,2,0.128,223.626,31.99,4.001,0.184,,,,,,,,,,,,,,,,
224.535,21.59,2,0.128,223.985,31.99,4.001,0.184,,,,,,,,,,,,,,,,
224.885,21.59,2,0.128,224.335,31.97,4.001,0.184,,,,,,,,,,,,,,,,
225.234,21.59,2,0.127,224.682,31.95,4.001,0.184,,,,,,,,,,,,,,,,
225.585,21.59,2,0.127,225.033,31.94,4.001,0.184,,,,,,,,,,,,,,,,
225.959,21.59,2,0.127,225.409,31.92,4.001,0.184,,,,,,,,,,,,,,,,
226.308,21.58,2,0.127,225.758,31.91,4.001,0.183,,,,,,,,,,,,,,,,
226.658,21.58,2,0.127,226.107,31.9,4.001,0.183,,,,,,,,,,,,,,,,
227.008,21.58,2,0.127,226.456,31.88,4.001,0.183,,,,,,,,,,,,,,,,
227.355,21.58,2,0.127,226.806,31.86,4.001,0.183,,,,,,,,,,,,,,,,
227.731,21.57,2,0.128,227.18,31.84,4.001,0.183,,,,,,,,,,,,,,,,
228.08,21.57,2,0.127,227.531,31.84,4.001,0.182,,,,,,,,,,,,,,,,
228.43,21.57,2,0.127,227.878,31.82,4.001,0.182,,,,,,,,,,,,,,,,
228.779,21.57,2,0.127,228.229,31.81,4.001,0.182,,,,,,,,,,,,,,,,
229.127,21.57,2,0.127,228.576,31.8,4.001,0.182,,,,,,,,,,,,,,,,
229.503,21.57,2,0.127,228.953,31.79,4.001,0.182,,,,,,,,,,,,,,,,
229.852,21.57,2,0.127,229.302,31.77,4.001,0.182,,,,,,,,,,,,,,,,
230.201,21.56,2,0.127,229.651,31.79,4.001,0.181,,,,,,,,,,,,,,,,
230.55,21.56,2,0.127,230.001,31.78,4.001,0.181,,,,,,,,,,,,,,,,
230.901,21.56,2,0.127,230.376,31.77,4.001,0.181,,,,,,,,,,,,,,,,
231.275,21.56,2,0.127,230.726,31.77,4.001,0.181,,,,,,,,,,,,,,,,
231.624,21.56,2,0.127,231.075,31.77,4.001,0.181,,,,,,,,,,,,,,,,
231.975,21.56,2,0.127,231.423,31.76,4.001,0.181,,,,,,,,,,,,,,,,
232.323,21.56,2,0.127,231.772,31.75,4.001,0.18,,,,,,,,,,,,,,,,
232.673,21.55,2,0.127,232.121,31.22,4.001,0.18,,,,,,,,,,,,,,,,
233.049,21.55,2,0.127,232.498,31.2,4.001,0.179,,,,,,,,,,,,,,,,
233.397,21.55,2,0.127,232.848,31.16,4.001,0.179,,,,,,,,,,,,,,,,
233.748,21.55,2,0.127,233.197,31.13,4.001,0.179,,,,,,,,,,,,,,,,
234.095,21.54,2,0.127,233.546,31.13,4.001,0.179,,,,,,,,,,,,,,,,
234.445,21.54,2,0.127,233.896,31.13,4.001,0.179,,,,,,,,,,,,,,,,
234.793,21.54,2,0.127,234.243,31.12,4.001,0.179,,,,,,,,,,,,,,,,
235.17,21.54,2,0.127,234.621,31.1,4.001,0.178,,,,,,,,,,,,,,,,
235.519,21.53,2,0.127,234.969,31.07,4.001,0.178,,,,,,,,,,,,,,,,
235.869,21.53,2,0.127,235.318,31.06,4.001,0.178,,,,,,,,,,,,,,,,
236.218,21.53,2,0.127,235.668,31.04,4.001,0.178,,,,,,,,,,,,,,,,
236.567,21.53,2,0.127,236.016,31.03,4.001,0.178,,,,,,,,,,,,,,,,
236.917,21.53,2,0.127,236.393,31.02,4.001,0.177,,,,,,,,,,,,,,,,
237.291,21.53,2,0.127,236.743,30.99,4.001,0.177,,,,,,,,,,,,,,,,
237.641,21.53,2,0.127,237.093,30.98,4.001,0.177,,,,,,,,,,,,,,,,
237.99,21.52,2,0.127,237.441,30.95,4.001,0.177,,,,,,,,,,,,,,,,
238.342,21.52,2,0.127,237.79,30.92,4.001,0.176,,,,,,,,,,,,,,,,
238.743,21.52,2,0.127,238.166,30.89,4.001,0.176,,,,,,,,,,,,,,,,
239.092,21.52,2,0.127,238.514,30.89,4.001,0.176,,,,,,,,,,,,,,,,
239.441,21.52,2,0.127,238.864,30.85,4.001,0.176,,,,,,,,,,,,,,,,
239.791,21.51,2,0.127,239.212,30.84,4.001,0.175,,,,,,,,,,,,,,,,
240.167,21.51,2,0.127,239.562,30.85,4.001,0.175,,,,,,,,,,,,,,,,
240.517,21.51,2,0.127,239.938,30.81,4.001,0.175,,,,,,,,,,,,,,,,
240.865,21.51,2,0.127,240.288,30.8,4.001,0.175,,,,,,,,,,,,,,,,
241.214,21.5,2,0.127,240.637,30.78,4.001,0.175,,,,,,,,,,,,,,,,
241.563,21.5,2,0.127,240.986,30.75,4.001,0.174,,,,,,,,,,,,,,,,
241.938,21.5,2,0.127,241.334,30.71,4.001,0.174,,,,,,,,,,,,,,,,
242.288,21.5,2,0.127,241.684,30.71,4.001,0.174,,,,,,,,,,,,,,,,
242.643,21.5,2,0.127,242.081,30.71,4.001,0.174,,,,,,,,,,,,,,,,
243.041,21.5,2,0.127,242.462,30.7,4.001,0.174,,,,,,,,,,,,,,,,
243.388,21.49,2,0.127,242.849,30.67,4.001,0.174,,,,,,,,,,,,,,,,
243.738,21.49,2,0.127,243.242,30.65,4.001,0.173,,,,,,,,,,,,,,,,
244.086,21.49,2,0.127,243.592,30.6,4.001,0.173,,,,,,,,,,,,,,,,
244.437,21.49,2,0.127,243.94,30.56,4.001,0.173,,,,,,,,,,,,,,,,
244.813,21.49,2,0.127,244.289,30.55,4.001,0.172,,,,,,,,,,,,,,,,
245.162,21.48,2,0.127,244.638,30.53,4.001,0.172,,,,,,,,,,,,,,,,
245.511,21.48,2,0.127,244.988,30.52,4.001,0.172,,,,,,,,,,,,,,,,
245.859,21.48,2,0.127,245.335,30.5,4.001,0.172,,,,,,,,,,,,,,,,
246.208,21.48,2,0.127,245.712,30.5,4.001,0.172,,,,,,,,,,,,,,,,
246.584,21.48,2,0.127,246.061,30.52,4.001,0.172,,,,,,,,,,,,,,,,
246.934,21.47,2,0.127,246.41,30.51,4.001,0.172,,,,,,,,,,,,,,,,
247.289,21.47,2,0.127,246.76,30.52,4.001,0.172,,,,,,,,,,,,,,,,
247.687,21.47,2,0.127,247.136,30.52,4.001,0.172,,,,,,,,,,,,,,,,
248.034,21.46,2,0.127,247.483,30.55,4.001,0.172,,,,,,,,,,,,,,,,
248.384,21.46,2,0.127,247.833,30.55,4.001,0.172,,,,,,,,,,,,,,,,
248.733,21.46,2,0.126,248.183,30.54,4.001,0.172,,,,,,,,,,,,,,,,
249.084,21.45,2,0.126,248.532,30.54,4.001,0.171,,,,,,,,,,,,,,,,
249.432,21.45,2,0.127,248.881,30.54,4.001,0.171,,,,,,,,,,,,,,,,
249.808,21.45,2,0.126,249.258,30.51,4.001,0.171,,,,,,,,,,,,,,,,
250.157,21.45,2,0.127,249.608,30.52,4.001,0.171,,,,,,,,,,,,,,,,
250.507,21.45,2,0.126,249.957,30.51,4.001,0.17,,,,,,,,,,,,,,,,
250.856,21.44,2,0.127,250.304,30.46,4.001,0.17,,,,,,,,,,,,,,,,
251.204,21.43,2,0.126,250.655,30.44,4.001,0.17,,,,,,,,,,,,,,,,
251.581,21.43,2,0.127,251.03,30.41,4.001,0.17,,,,,,,,,,,,,,,,
251.929,21.43,2,0.126,251.38,30.37,4.001,0.17,,,,,,,,,,,,,,,,
252.278,21.43,2,0.126,251.729,30.34,4.001,0.169,,,,,,,,,,,,,,,,
252.626,21.42,2,0.126,252.078,30.27,4.001,0.169,,,,,,,,,,,,,,,,
253.003,21.42,2,0.127,252.426,30.29,4.001,0.169,,,,,,,,,,,,,,,,
253.352,21.42,2,0.126,252.775,30.29,4.001,0.169,,,,,,,,,,,,,,,,
253.701,21.42,2,0.126,253.152,30.29,4.001,0.169,,,,,,,,,,,,,,,,
254.051,21.42,2,0.127,253.501,30.31,4.001,0.169,,,,,,,,,,,,,,,,
254.399,21.41,2,0.126,253.852,30.3,4.001,0.169,,,,,,,,,,,,,,,,
254.749,21.41,2,0.127,254.2,30.3,4.001,0.169,,,,,,,,,,,,,,,,
255.108,21.41,2,0.127,254.575,30.27,4.001,0.169,,,,,,,,,,,,,,,,
255.49,21.41,2,0.126,254.925,30.27,4.001,0.168,,,,,,,,,,,,,,,,
255.849,21.4,2,0.126,255.274,30.26,4.001,0.168,,,,,,,,,,,,,,,,
256.209,21.4,2,0.126,255.623,30.25,4.001,0.168,,,,,,,,,,,,,,,,
256.565,21.4,2,0.126,255.972,30.25,4.001,0.168,,,,,,,,,,,,,,,,
256.924,21.4,2,0.126,256.321,30.24,4.001,0.168,,,,,,,,,,,,,,,,
257.274,21.39,2,0.126,256.697,30.23,4.001,0.168,,,,,,,,,,,,,,,,
257.623,21.4,2,0.126,257.046,30.22,4.001,0.168,,,,,,,,,,,,,,,,
257.999,21.39,2,0.126,257.396,30.21,4.001,0.167,,,,,,,,,,,,,,,,
258.349,21.39,2,0.126,257.745,30.2,4.001,0.167,,,,,,,,,,,,,,,,
258.697,21.39,2,0.126,258.094,30.19,4.001,0.167,,,,,,,,,,,,,,,,
259.047,21.38,2,0.126,258.452,30.2,4.001,0.167,,,,,,,,,,,,,,,,
259.395,21.38,2,0.126,258.81,30.14,4.001,0.167,,,,,,,,,,,,,,,,
259.77,21.38,2,0.126,259.168,30.1,4.001,0.167,,,,,,,,,,,,,,,,
260.119,21.38,2,0.126,259.518,30.05,4.001,0.166,,,,,,,,,,,,,,,,
260.471,21.38,2,0.126,259.866,30.04,4.001,0.166,,,,,,,,,,,,,,,,
260.819,21.38,2,0.126,260.216,30.03,4.001,0.166,,,,,,,,,,,,,,,,
261.168,21.38,2,0.126,260.591,30,4.001,0.166,,,,,,,,,,,,,,,,
261.545,21.38,2,0.126,260.941,29.99,4.001,0.166,,,,,,,,,,,,,,,,
261.893,21.37,2,0.126,261.29,29.99,4.001,0.166,,,,,,,,,,,,,,,,
262.242,21.37,2,0.126,261.64,29.99,4.001,0.166,,,,,,,,,,,,,,,,
262.591,21.37,2,0.126,261.989,29.98,4.001,0.166,,,,,,,,,,,,,,,,
262.94,21.37,2,0.126,262.364,29.98,4.001,0.166,,,,,,,,,,,,,,,,
263.317,21.36,2,0.126,262.714,29.97,4.001,0.165,,,,,,,,,,,,,,,,
263.666,21.36,2,0.126,263.062,29.97,4.001,0.165,,,,,,,,,,,,,,,,
264.015,21.36,2,0.126,263.412,29.96,4.001,0.165,,,,,,,,,,,,,,,,
264.364,21.35,2,0.126,263.76,29.96,4.001,0.165,,,,,,,,,,,,,,,,
264.714,21.35,2,0.126,264.136,29.97,4.001,0.165,,,,,,,,,,,,,,,,
265.062,21.35,2,0.126,264.486,30.03,4.001,0.165,,,,,,,,,,,,,,,,
265.412,21.35,2,0.126,264.835,30.05,4.001,0.165,,,,,,,,,,,,,,,,
265.771,21.35,2,0.126,265.184,30.08,4.001,0.165,,,,,,,,,,,,,,,,
266.127,21.34,2,0.126,265.533,30.09,4.001,0.165,,,,,,,,,,,,,,,,
266.486,21.34,2,0.126,265.909,30.08,4.001,0.165,,,,,,,,,,,,,,,,
266.835,21.34,2,0.126,266.258,30.08,4.001,0.165,,,,,,,,,,,,,,,,
