Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.262,32.102,385.224,0,0,385.224
42.839,0.25938,31.794,381.528,1.164,0.305,380.364
85.677,0.25676,31.485,377.82,2.304,0.61,375.516
128.516,0.25414,31.177,374.124,3.42,0.914,370.704
171.354,0.25152,30.869,370.428,4.513,1.218,365.915
214.193,0.2489,30.56,366.72,5.583,1.522,361.137
257.031,0.24628,30.252,363.024,6.629,1.826,356.395
299.87,0.24366,29.944,359.328,7.651,2.129,351.677
342.708,0.24104,29.635,355.62,8.651,2.433,346.969
385.547,0.23842,29.327,351.924,9.626,2.735,342.298
428.385,0.2358,29.019,348.228,10.578,3.038,337.65
471.224,0.23318,28.71,344.52,11.507,3.34,333.013
514.062,0.23056,28.402,340.824,12.412,3.642,328.412
556.901,0.22794,28.093,337.116,13.293,3.943,323.823
599.739,0.22532,27.785,333.42,14.151,4.244,319.269
642.578,0.2227,27.477,329.724,14.986,4.545,314.738
685.416,0.22008,27.168,326.016,15.797,4.845,310.219
728.255,0.21746,26.86,322.32,16.584,5.145,305.736
771.094,0.21484,26.552,318.624,17.348,5.445,301.276
813.932,0.21222,26.243,314.916,18.089,5.744,296.827
856.771,0.2096,25.935,311.22,18.805,6.042,292.415
899.609,0.20698,25.627,307.524,19.499,6.341,288.025
942.448,0.20436,25.318,303.816,20.169,6.639,283.647
985.286,0.20174,25.01,300.12,20.815,6.936,279.305
1028.125,0.19912,24.702,296.424,21.438,7.232,274.986
1070.963,0.1965,24.393,292.716,22.038,7.529,270.678
1113.802,0.19388,24.085,289.02,22.614,7.824,266.406
1156.64,0.19126,23.777,285.324,23.166,8.119,262.158
1199.479,0.18864,23.468,281.616,23.695,8.414,257.921
1242.317,0.18602,23.16,277.92,24.2,8.708,253.72
1285.156,0.1834,22.852,274.224,24.682,9.001,249.542
1327.994,0.18078,22.543,270.516,25.141,9.294,245.375
1370.833,0.17816,22.235,266.82,25.575,9.585,241.245
1413.671,0.17554,21.926,263.112,25.987,9.877,237.125
1456.51,0.17292,21.618,259.416,26.375,10.167,233.041
1499.349,0.1703,21.31,255.72,26.739,10.456,228.981
1542.187,0.16768,21.001,252.012,27.08,10.746,224.932
1585.026,0.16506,20.693,248.316,27.397,11.033,220.919
1627.864,0.16244,20.385,244.62,27.691,11.32,216.929
1670.703,0.15982,20.076,240.912,27.961,11.606,212.951
1713.541,0.1572,19.768,237.216,28.208,11.891,209.008
1756.38,0.15458,19.46,233.52,28.432,12.175,205.088
1799.218,0.15196,19.151,229.812,28.631,12.458,201.181
1842.057,0.14934,18.843,226.116,28.808,12.74,197.308
1884.895,0.14672,18.535,222.42,28.96,13.02,193.46
1927.734,0.1441,18.226,218.712,29.09,13.301,189.622
1970.572,0.14148,17.918,215.016,29.196,13.579,185.82
2013.411,0.13886,17.61,211.32,29.278,13.855,182.042
2056.249,0.13624,17.301,207.612,29.337,14.131,178.275
2099.088,0.13362,16.993,203.916,29.372,14.404,174.544
2141.927,0.131,16.685,200.22,29.384,14.676,170.836
2184.765,0.12838,16.376,196.512,29.372,14.947,167.14
2227.604,0.12576,16.068,192.816,29.337,15.215,163.479
