Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.259,52.419,629.028,0,0,629.028
128.147,0.25641,51.895,622.74,3.441,0.553,619.299
256.294,0.25382,51.371,616.452,6.812,1.105,609.64
384.441,0.25123,50.846,610.152,10.114,1.658,600.038
512.589,0.24864,50.322,603.864,13.347,2.21,590.517
640.736,0.24605,49.798,597.576,16.509,2.763,581.067
768.883,0.24346,49.274,591.288,19.603,3.315,571.685
897.03,0.24087,48.75,585,22.627,3.868,562.373
1025.177,0.23828,48.225,578.7,25.581,4.42,553.119
1153.324,0.23569,47.701,572.412,28.466,4.973,543.946
1281.471,0.2331,47.177,566.124,31.281,5.525,534.843
1409.618,0.23051,46.653,559.836,34.027,6.078,525.809
1537.766,0.22792,46.129,553.548,36.703,6.63,516.845
1665.913,0.22533,45.605,547.26,39.31,7.183,507.95
1794.06,0.22274,45.08,540.96,41.847,7.736,499.113
1922.207,0.22015,44.556,534.672,44.315,8.288,490.357
2050.354,0.21756,44.032,528.384,46.713,8.841,481.671
2178.501,0.21497,43.508,522.096,49.042,9.393,473.054
2306.648,0.21238,42.984,515.808,51.301,9.946,464.507
2434.795,0.20979,42.459,509.508,53.49,10.498,456.018
2562.943,0.2072,41.935,503.22,55.611,11.051,447.609
2691.09,0.20461,41.411,496.932,57.661,11.603,439.271
2819.237,0.20202,40.887,490.644,59.642,12.156,431.002
2947.384,0.19943,40.363,484.356,61.554,12.708,422.802
3075.531,0.19684,39.838,478.056,63.396,13.261,414.66
3203.678,0.19425,39.314,471.768,65.169,13.814,406.599
3331.825,0.19166,38.79,465.48,66.872,14.366,398.608
3459.973,0.18907,38.266,459.192,68.505,14.919,390.687
3588.12,0.18648,37.742,452.904,70.069,15.471,382.835
3716.267,0.18389,37.217,446.604,71.564,16.024,375.04
3844.414,0.1813,36.693,440.316,72.989,16.577,367.327
3972.561,0.17871,36.169,434.028,74.344,17.129,359.684
4100.708,0.17612,35.645,427.74,75.63,17.681,352.11
4228.855,0.17353,35.121,421.452,76.847,18.234,344.605
4357.002,0.17094,34.597,415.164,77.994,18.786,337.17
4485.15,0.16835,34.072,408.864,79.071,19.339,329.793
4613.297,0.16576,33.548,402.576,80.079,19.892,322.497
4741.444,0.16317,33.024,396.288,81.018,20.444,315.27
4869.591,0.16058,32.5,390,81.887,20.997,308.113
4997.738,0.15799,31.976,383.712,82.686,21.549,301.026
5125.885,0.1554,31.451,377.412,83.416,22.102,293.996
5254.032,0.15281,30.927,371.124,84.076,22.654,287.048
5382.179,0.15022,30.403,364.836,84.667,23.207,280.169
5510.327,0.14763,29.879,358.548,85.188,23.759,273.36
5638.474,0.14504,29.355,352.26,85.64,24.312,266.62
5766.621,0.14245,28.83,345.96,86.023,24.865,259.937
5894.768,0.13986,28.306,339.672,86.335,25.417,253.337
6022.915,0.13727,27.782,333.384,86.579,25.97,246.805
6151.062,0.13468,27.258,327.096,86.752,26.522,240.344
6279.209,0.13209,26.734,320.808,86.857,27.074,233.951
6407.357,0.1295,26.21,314.52,86.892,27.627,227.628
6535.504,0.12691,25.685,308.22,86.857,28.18,221.363
6663.651,0.12432,25.161,301.932,86.752,28.732,215.18
6791.798,0.12173,24.637,295.644,86.579,29.285,209.065
6919.945,0.11914,24.113,289.356,86.335,29.837,203.021
7048.092,0.11655,23.589,283.068,86.023,30.39,197.045
7176.239,0.11396,23.064,276.768,85.64,30.943,191.128
7304.386,0.11137,22.54,270.48,85.188,31.495,185.292
7432.534,0.10878,22.016,264.192,84.667,32.048,179.525
7560.681,0.10619,21.492,257.904,84.076,32.6,173.828
7688.828,0.1036,20.968,251.616,83.416,33.152,168.2
7816.975,0.10101,20.443,245.316,82.686,33.706,162.63
7945.122,0.09842,19.919,239.028,81.887,34.258,157.141
8073.269,0.09583,19.395,232.74,81.018,34.811,151.722
8201.416,0.09324,18.871,226.452,80.079,35.362,146.373
8329.563,0.09065,18.347,220.164,79.071,35.915,141.093
8457.711,0.08806,17.822,213.864,77.994,36.469,135.87
8585.858,0.08547,17.298,207.576,76.847,37.021,130.729
8714.005,0.08288,16.774,201.288,75.63,37.573,125.658
8842.152,0.08029,16.25,195,74.344,38.125,120.656
8970.299,0.0777,15.726,188.712,72.989,38.677,115.723
9098.446,0.07511,15.202,182.424,71.564,39.229,110.86
9226.593,0.07252,14.677,176.124,70.069,39.784,106.055
9354.74,0.06993,14.153,169.836,68.505,40.336,101.331
9482.888,0.06734,13.629,163.548,66.872,40.888,96.676
9611.035,0.06475,13.105,157.26,65.169,41.44,92.091
9739.182,0.06216,12.581,150.972,63.396,41.992,87.576
9867.329,0.05957,12.056,144.672,61.554,42.547,83.118
9995.476,0.05698,11.532,138.384,59.642,43.099,78.742
10123.623,0.05439,11.008,132.096,57.661,43.651,74.435
10251.77,0.0518,10.484,125.808,55.611,44.203,70.197
10379.918,0.04921,9.96,119.52,53.49,44.754,66.03
10508.065,0.04662,9.435,113.22,51.301,45.311,61.919
10636.212,0.04403,8.911,106.932,49.042,45.863,57.89
10764.359,0.04144,8.387,100.644,46.713,46.414,53.931
10892.506,0.03885,7.863,94.356,44.315,46.966,50.041
11020.653,0.03626,7.339,88.068,41.847,47.517,46.221
11148.8,0.03367,6.814,81.768,39.31,48.075,42.458
11276.947,0.03108,6.29,75.48,36.703,48.626,38.777
11405.095,0.02849,5.766,69.192,34.027,49.178,35.165
11533.242,0.0259,5.242,62.904,31.281,49.728,31.623
11661.389,0.02331,4.718,56.616,28.466,50.279,28.15
11789.536,0.02072,4.194,50.328,25.581,50.829,24.747
11917.683,0.01813,3.669,44.028,22.627,51.392,21.401
12045.83,0.01554,3.145,37.74,19.603,51.942,18.137
12173.977,0.01295,2.621,31.452,16.509,52.49,14.943
12302.124,0.01036,2.097,25.164,13.347,53.04,11.817
12430.272,0.00777,1.573,18.876,10.114,53.581,8.762
12558.419,0.00518,1.048,12.576,6.812,54.167,5.764
12686.566,0.00259,0.524,6.288,3.441,54.723,2.847
12814.713,0,0,0,0,0,0
