Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.06,3.538,42.456,0,0,42.456
18.993,0.0594,3.505,42.06,0.118,0.281,41.942
37.986,0.0588,3.472,41.664,0.234,0.562,41.43
56.978,0.0582,3.439,41.268,0.347,0.841,40.921
75.971,0.0576,3.406,40.872,0.458,1.121,40.414
94.964,0.057,3.373,40.476,0.567,1.401,39.909
113.957,0.0564,3.34,40.08,0.673,1.679,39.407
132.95,0.0558,3.307,39.684,0.777,1.958,38.907
151.942,0.0552,3.274,39.288,0.878,2.235,38.41
170.935,0.0546,3.241,38.892,0.977,2.512,37.915
189.928,0.054,3.208,38.496,1.074,2.79,37.422
208.921,0.0534,3.175,38.1,1.168,3.066,36.932
227.914,0.0528,3.142,37.704,1.26,3.342,36.444
246.907,0.0522,3.109,37.308,1.35,3.619,35.958
265.899,0.0516,3.076,36.912,1.437,3.893,35.475
284.892,0.051,3.043,36.516,1.522,4.168,34.994
303.885,0.0504,3.01,36.12,1.604,4.441,34.516
322.878,0.0498,2.977,35.724,1.684,4.714,34.04
341.871,0.0492,2.944,35.328,1.761,4.985,33.567
360.863,0.0486,2.911,34.932,1.837,5.259,33.095
379.856,0.048,2.878,34.536,1.909,5.528,32.627
398.849,0.0474,2.845,34.14,1.98,5.8,32.16
417.842,0.0468,2.812,33.744,2.048,6.069,31.696
436.835,0.0462,2.779,33.348,2.113,6.336,31.235
455.827,0.0456,2.746,32.952,2.177,6.607,30.775
474.82,0.045,2.714,32.568,2.238,6.872,30.33
493.813,0.0444,2.681,32.172,2.296,7.137,29.876
512.806,0.0438,2.648,31.776,2.352,7.402,29.424
531.799,0.0432,2.615,31.38,2.406,7.667,28.974
550.791,0.0426,2.582,30.984,2.457,7.93,28.527
569.784,0.042,2.549,30.588,2.506,8.193,28.082
588.777,0.0414,2.516,30.192,2.553,8.456,27.639
607.77,0.0408,2.483,29.796,2.597,8.716,27.199
626.763,0.0402,2.45,29.4,2.639,8.976,26.761
645.756,0.0396,2.417,29.004,2.678,9.233,26.326
664.748,0.039,2.384,28.608,2.715,9.49,25.893
683.741,0.0384,2.351,28.212,2.749,9.744,25.463
702.734,0.0378,2.318,27.816,2.782,10.001,25.034
721.727,0.0372,2.285,27.42,2.812,10.255,24.608
740.72,0.0366,2.252,27.024,2.839,10.505,24.185
759.712,0.036,2.219,26.628,2.864,10.756,23.764
778.705,0.0354,2.186,26.232,2.887,11.006,23.345
797.698,0.0348,2.153,25.836,2.907,11.252,22.929
816.691,0.0342,2.12,25.44,2.925,11.498,22.515
